Compound,DrugClass,InChIKey,InChIKeyShort,SMILES,Predicted_IE,Low_IE_boundary,High_IE_boundary
"(±)CP-47,497",Cannabinoids,ZWWRREXSUJTKNN-AEFFLSMTSA-N,ZWWRREXSUJTKNN,OC1=CC(C(CCCCCC)(C)C)=CC=C1[C@H]2C[C@@H](O)CCC2,2.880280951247564,2.576145724766895,3.081432869766682
"(±)CP-47,497-C8-homolog",Cannabinoids,HNMJDLVMIUDJNH-HKUYNNGSSA-N,HNMJDLVMIUDJNH,OC1=CC(C(CCCCCCC)(C)C)=CC=C1[C@@H]2C[C@@H](O)CCC2,2.921703855119675,2.575268914170624,3.0381338767293715
(Iso)butyryl-F-fentanyl N-benzyl analogue,Opioids,XNQGKYHSTDKIKG-UHFFFAOYSA-N,XNQGKYHSTDKIKG,C(C1=CC=CC=C1)N1CCC(CC1)N(C(C(C)C)=O)C1=CC=C(C=C1)F,4.34150171484225,3.7272448884736855,4.34150171484225
"1-(1,3-Diphenylpropan-2-yl)pyrrolidine",Piperidines & pyrrolidines,VQECHRQHFMUVRS-UHFFFAOYSA-N,VQECHRQHFMUVRS,C1CCN(C1)C(CC2=CC=CC=C2)CC3=CC=CC=C3,4.755760063827898,4.028849094699488,4.755760063827898
1-(1-Phenylcyclohexyl)azepane,Arylcyclohexylamines,VEDJSGPEAMLSIO-UHFFFAOYSA-N,VEDJSGPEAMLSIO,C1(=CC=CC=C1)C1(CCCCC1)N1CCCCCC1,3.8624674004976445,3.5617913511815678,3.9624394222448913
1-(1-Phenylcyclohexyl)azetidine,Arylcyclohexylamines,BVCUADKHOPRZJF-UHFFFAOYSA-N,BVCUADKHOPRZJF,C1(=CC=CC=C1)C1(CCCCC1)N1CCC1,4.070815796781699,3.5810037651125093,4.070815796781699
"1-(2,3,4-Trimethoxybenzyl)piperazine",Piperazine derivates,UHWVSEOVJBQKBE-UHFFFAOYSA-N,UHWVSEOVJBQKBE,COC1=CC=C(C(OC)=C1OC)CN2CCNCC2,3.6519222066288837,2.883150244056104,3.6519222066288837
"1-(2,3-dichlorophenyl)-piperazine",Piperazine derivates,UDQMXYJSNNCRAS-UHFFFAOYSA-N,UDQMXYJSNNCRAS,ClC1=C(Cl)C(N2CCNCC2)=CC=C1,2.8990594834648267,2.6542767332947337,3.1104461901551916
"1-(2,3-dihydro-1H-inden-5-yl)-2-phenyl-2-(pyrrolidinyl-1-yl)ethan-1-one",Cathinones,JFDZZTSFBTYYDF-UHFFFAOYSA-N,JFDZZTSFBTYYDF,O=C(C1=CC2=C(CCC2)C=C1)C(C3=CC=CC=C3)N4CCCC4,4.249032847535084,3.5288810276928064,4.249032847535084
"1-(2,5-Dimethoxybenzyl)piperazine",Piperazine derivates,KITIJFNTLBMYQD-UHFFFAOYSA-N,KITIJFNTLBMYQD,COC1=CC=C(OC)C(CN2CCNCC2)=C1,3.422575480449209,2.802967825565945,3.422575480449209
