iter	RMSE
0	1.122895887
1	1.043509431
2	0.9772737762
3	0.9206986205
4	0.8708033482
5	0.8322971077
6	0.8002297923
7	0.7692086048
8	0.7398700892
9	0.7186786607
10	0.7022477037
11	0.6841218974
12	0.6676888342
13	0.6562687847
14	0.6463696826
15	0.6391918237
16	0.6322705897
17	0.6190184934
18	0.6135204792
19	0.6054696582
20	0.6009915564
21	0.5972768335
22	0.5955120623
23	0.5923162225
24	0.5904692853
25	0.5847774168
26	0.5808002974
27	0.5787439754
28	0.5761014968
29	0.5750248319
30	0.5730415385
31	0.5726871824
32	0.5718527298
33	0.5703981831
34	0.5672487625
35	0.5668751547
36	0.5655470215
37	0.5639977232
38	0.5618581469
39	0.5608964416
40	0.5584880021
41	0.5563140119
42	0.5547391928
43	0.5513119752
44	0.5491521819
45	0.5468283576
46	0.5463934504
47	0.5460683626
48	0.5456323995
49	0.5435996274
50	0.5421600122
51	0.5385294626
52	0.5356643308
53	0.534638158
54	0.5321194598
55	0.5307203807
56	0.5277937523
57	0.5264032716
58	0.5262652593
59	0.5257796076
60	0.5226904172
61	0.5209227477
62	0.520627281
63	0.5189799265
64	0.5163696272
65	0.5140205152
66	0.5122315538
67	0.5120144111
68	0.5104150956
69	0.5102076388
70	0.5097255306
71	0.5090800573
72	0.5075251211
73	0.5073231175
74	0.5050596014
75	0.5046340839
76	0.502545562
77	0.5021234717
78	0.5016502557
79	0.5012203329
80	0.4998821512
81	0.4962069454
82	0.4959796195
83	0.4952602653
84	0.4914550119
85	0.491066613
86	0.4902559794
87	0.4901369712
88	0.4898577402
89	0.4888921296
90	0.4879300628
91	0.4869378953
92	0.4868260601
93	0.4865732943
94	0.4824800853
95	0.4823389787
96	0.4800534158
97	0.4789783162
98	0.4788704256
99	0.4771542451
100	0.4770090169
101	0.4760649982
102	0.4760208277
103	0.4733359221
104	0.4732230019
105	0.4703123764
106	0.4686398374
107	0.4684150423
108	0.4673720204
109	0.4669919487
110	0.4659135234
111	0.4658451111
112	0.4654271362
113	0.4645084127
114	0.4644086168
115	0.4623574882
116	0.4622878369
117	0.4622383506
118	0.4613076555
119	0.4583391115
120	0.4582969723
121	0.4577866152
122	0.4574996401
123	0.4563736791
124	0.4557036182
125	0.4552613631
126	0.4532912634
127	0.4527498888
128	0.4516427113
129	0.4509392996
130	0.450830824
131	0.4507187826
132	0.4506649706
133	0.4500751881
134	0.4497431098
135	0.4494771092
136	0.4490072218
137	0.4486992275
138	0.4483719464
139	0.4483402324
140	0.4476006626
141	0.4460247289
142	0.4446390174
143	0.4437253429
144	0.442021355
145	0.4416624797
146	0.4388757465
147	0.438703864
148	0.4386241586
149	0.4385920426
150	0.4385066644
151	0.4361013901
152	0.4357940633
153	0.435255876
154	0.4346290922
155	0.4344262737
156	0.4340364928
157	0.4333330155
158	0.4332945872
159	0.4326971816
160	0.43233895
161	0.4322119771
162	0.4321150938
163	0.4317374409
164	0.4315824201
165	0.4312269103
166	0.4311966653
167	0.4307992066
168	0.4294753045
169	0.4294270243
170	0.4289894402
171	0.42871711
172	0.428700789
173	0.4266332237
174	0.425894958
175	0.4257935832
176	0.4256176404
177	0.4251232614
178	0.4243705196
179	0.4242291644
180	0.4232869673
181	0.4232096872
182	0.4230573635
183	0.4227931361
184	0.4226814572
185	0.4224406245
186	0.4215759798
187	0.4215576093
188	0.4215105221
189	0.4198755513
190	0.4190900878
191	0.4183839549
192	0.4183089551
193	0.4182719936
194	0.4180227455
195	0.4180036442
196	0.4170363364
197	0.41670921
198	0.4161817481
199	0.4159700068
200	0.4159572228
201	0.4158973607
202	0.4154932453
203	0.4154194708
204	0.4144648454
205	0.4129093603
206	0.4128182754
207	0.4120116926
208	0.4119943284
209	0.4116887276
210	0.4116502187
211	0.4116308628
212	0.4104385522
213	0.4096717357
214	0.4094598738
215	0.409380888
216	0.4091593819
217	0.4090965611
218	0.4083912595
219	0.4081339196
220	0.4077492716
221	0.4074977737
222	0.407415998
223	0.4073799984
224	0.4073423606
225	0.4073006306
226	0.4072282478
227	0.4065421525
228	0.406516074
229	0.4061824307
230	0.406040318
231	0.4056898771
232	0.4052854597
233	0.4052651103
234	0.4046374384
235	0.4045237806
236	0.4044390273
237	0.4041257292
238	0.4040738468
239	0.4031169613
240	0.4029705186
241	0.4024380865
242	0.4022438422
243	0.4022304787
244	0.40216285
245	0.4020353526
246	0.4020154126
247	0.401765164
248	0.4014489644
249	0.4011215943
250	0.4010881229
251	0.4008796821
252	0.4004528836
253	0.4004045701
254	0.4003135706
255	0.4001020858
256	0.3997964128
257	0.3997892264
258	0.3996049183
259	0.3995179314
260	0.3993660332
261	0.3991489849
262	0.3991396079
263	0.3991352862
264	0.3988610644
265	0.3983601526
266	0.3981633258
267	0.3981555434
268	0.3981308161
269	0.3979334742
270	0.3967874117
271	0.3965872989
272	0.3963256334
273	0.3959160303
274	0.3959057071
275	0.3954846492
276	0.3954634522
277	0.3953335439
278	0.3952516782
279	0.3952290203
280	0.3944147336
281	0.3940302359
282	0.3938948657
283	0.3928462657
284	0.392732639
285	0.3923608315
286	0.3920912874
287	0.3918584796
288	0.3918049624
289	0.3918016137
290	0.3915149396
291	0.3914801607
292	0.3911556515
293	0.3910518341
294	0.391033513
295	0.3909419047
296	0.3909364621
297	0.3909199212
298	0.3908472468
299	0.3906599387
300	0.3904049876
301	0.3903551309
302	0.390346633
303	0.3902720056
304	0.3896788355
305	0.3894138661
306	0.3893569602
307	0.3892106082
308	0.3891430138
309	0.3891236121
310	0.3890684168
311	0.3890570883
312	0.3886561634
313	0.3886309357
314	0.3886115507
315	0.3886094814
316	0.3880760744
317	0.387986179
318	0.3879189328
319	0.3877874828
320	0.3876491765
321	0.3871725778
322	0.3871283401
323	0.3869611046
324	0.3869561835
325	0.3862352676
326	0.386232383
327	0.386227566
328	0.3862242526
329	0.3861699472
330	0.3861076564
331	0.3859284279
332	0.3859241982
333	0.3852130212
334	0.3851274371
335	0.3851129671
336	0.3850591334
337	0.3850111422
338	0.3850033941
339	0.3849643555
340	0.3843079156
341	0.3842418822
342	0.3841468884
343	0.384105925
344	0.3840252421
345	0.3840206069
346	0.3839804941
347	0.3839185884
348	0.3838347267
349	0.3837702385
350	0.3837181468
351	0.3837082413
352	0.383240322
353	0.3832314303
354	0.3831980116
355	0.3831919493
356	0.3830862179
357	0.3830369604
358	0.3829281106
359	0.3829006269
360	0.3828284445
361	0.3827364181
362	0.3822169116
363	0.3821944195
364	0.3820690508
365	0.3817208151
366	0.3816953555
367	0.3810488971
368	0.3810321167
369	0.3810232071
370	0.3805837232
371	0.3804980175
372	0.3804499437
373	0.3804056615
374	0.3803541849
375	0.380349781
376	0.380272598
377	0.3802718517
378	0.3798647732
379	0.3792818116
380	0.3790953391
381	0.3789585403
382	0.3788373379
383	0.3787157011
384	0.3785717499
385	0.3785042973
386	0.3785006881
387	0.3779418967
388	0.3779391346
389	0.3779362312
390	0.3779227861
391	0.3778386379
392	0.3778111221
393	0.3777055844
394	0.3775316069
395	0.3772287161
396	0.3772253284
397	0.3772090893
398	0.3771889631
399	0.3771557723
400	0.3771146943
401	0.3770676068
402	0.3768193306
403	0.3767645061
404	0.376241191
405	0.3762308887
406	0.3761918238
407	0.3761361001
408	0.3760563847
409	0.3760298627
410	0.3755813921
411	0.3755744362
412	0.3755101519
413	0.3754182391
414	0.3752389965
415	0.3752120067
416	0.3752076696
417	0.375203656
418	0.3752025
419	0.3750080599
420	0.374593423
421	0.3745872256
422	0.3745545456
423	0.3745527855
424	0.3745263505
425	0.374513307
426	0.3745123742
427	0.3744846268
428	0.374445196
429	0.3741658689
430	0.3741010745
431	0.3740409951
432	0.3736808314
433	0.3734610943
434	0.3731161847
435	0.3730169775
436	0.37301506
437	0.3729461711
438	0.3728082089
439	0.372715284
440	0.3727046555
441	0.3726983709
442	0.372673187
443	0.3726542567
444	0.3726445256
445	0.3725803846
446	0.3724554521
447	0.3724172493
448	0.372389228
449	0.3723105587
450	0.3723048181
451	0.3719786584
452	0.3719546802
453	0.3719231616
454	0.3718130798
455	0.3718039591
456	0.371761072
457	0.3717310762
458	0.3717172684
459	0.3716795596
460	0.3716733576
461	0.3716589527
462	0.3716580867
463	0.3712830029
464	0.3712815869
465	0.3708070428
466	0.3706650496
467	0.3706582685
468	0.3703891199
469	0.3701708341
470	0.37001831
471	0.3697511894
472	0.3697499416
473	0.3697408894
474	0.3697397125
475	0.3697188497
476	0.3696917314
477	0.3696126946
478	0.3694897005
479	0.3694731198
480	0.3694614013
481	0.369390262
482	0.3693870385
483	0.3693804461
484	0.3693561776
485	0.3693206665
486	0.3692512611
487	0.3690466997
488	0.3687046712
489	0.3686878161
490	0.3684303648
491	0.3684234818
492	0.36826461
493	0.3682053195
494	0.3681471785
495	0.3680785534
496	0.3680496708
497	0.3680416514
498	0.3680149582
499	0.3680126254
500	0.3680107912
501	0.3680065452
502	0.3680007404
503	0.3677983931
504	0.367376642
505	0.3673730144
506	0.3672297484
507	0.3672124121
508	0.3667484625
509	0.3666661945
510	0.3665670771
511	0.3665631362
512	0.3665537522
513	0.3664835944
514	0.3664295283
515	0.3664188973
