Compound;DrugClass;InChIKey;InChIKeyShort;SMILES
(±)CP-47,497;Cannabinoids;ZWWRREXSUJTKNN-AEFFLSMTSA-N;ZWWRREXSUJTKNN;OC1=CC(C(CCCCCC)(C)C)=CC=C1[C@H]2C[C@@H](O)CCC2
(±)CP-47,497-C8-homolog;Cannabinoids;HNMJDLVMIUDJNH-HKUYNNGSSA-N;HNMJDLVMIUDJNH;OC1=CC(C(CCCCCCC)(C)C)=CC=C1[C@@H]2C[C@@H](O)CCC2
(Iso)butyryl-F-fentanyl N-benzyl analogue;Opioids;XNQGKYHSTDKIKG-UHFFFAOYSA-N;XNQGKYHSTDKIKG;C(C1=CC=CC=C1)N1CCC(CC1)N(C(C(C)C)=O)C1=CC=C(C=C1)F
1-(1,3-Diphenylpropan-2-yl)pyrrolidine;Piperidines & pyrrolidines;VQECHRQHFMUVRS-UHFFFAOYSA-N;VQECHRQHFMUVRS;C1CCN(C1)C(CC2=CC=CC=C2)CC3=CC=CC=C3
1-(1-Phenylcyclohexyl)azepane;Arylcyclohexylamines;VEDJSGPEAMLSIO-UHFFFAOYSA-N;VEDJSGPEAMLSIO;C1(=CC=CC=C1)C1(CCCCC1)N1CCCCCC1
1-(1-Phenylcyclohexyl)azetidine;Arylcyclohexylamines;BVCUADKHOPRZJF-UHFFFAOYSA-N;BVCUADKHOPRZJF;C1(=CC=CC=C1)C1(CCCCC1)N1CCC1
1-(2,3,4-Trimethoxybenzyl)piperazine;Piperazine derivates;UHWVSEOVJBQKBE-UHFFFAOYSA-N;UHWVSEOVJBQKBE;COC1=CC=C(C(OC)=C1OC)CN2CCNCC2
1-(2,3-dichlorophenyl)-piperazine;Piperazine derivates;UDQMXYJSNNCRAS-UHFFFAOYSA-N;UDQMXYJSNNCRAS;ClC1=C(Cl)C(N2CCNCC2)=CC=C1
1-(2,3-dihydro-1H-inden-5-yl)-2-phenyl-2-(pyrrolidinyl-1-yl)ethan-1-one;Cathinones;JFDZZTSFBTYYDF-UHFFFAOYSA-N;JFDZZTSFBTYYDF;O=C(C1=CC2=C(CCC2)C=C1)C(C3=CC=CC=C3)N4CCCC4
1-(2,5-Dimethoxybenzyl)piperazine;Piperazine derivates;KITIJFNTLBMYQD-UHFFFAOYSA-N;KITIJFNTLBMYQD;COC1=CC=C(OC)C(CN2CCNCC2)=C1
1-(2-Chloro-3-fluorophenyl)piperazine;Piperazine derivates;UFRAAIGOXGTHQX-UHFFFAOYSA-N;UFRAAIGOXGTHQX;ClC1=C(C=CC=C1F)N1CCNCC1
1-(3-Methoxyphenyl)piperazine;Piperazine derivates;PZIBVWUXWNYTNL-UHFFFAOYSA-N;PZIBVWUXWNYTNL;COC1=CC(N2CCNCC2)=CC=C1
