name,pH_aq,logIE,instrument,source,solvent,doi,INCHIKEY,EStateFP1,EStateFP10,EStateFP11,EStateFP12,EStateFP13,EStateFP14,EStateFP15,EStateFP16,EStateFP17,EStateFP18,EStateFP19,EStateFP2,EStateFP20,EStateFP21,EStateFP22,EStateFP23,EStateFP24,EStateFP25,EStateFP26,EStateFP27,EStateFP28,EStateFP29,EStateFP3,EStateFP30,EStateFP31,EStateFP32,EStateFP33,EStateFP34,EStateFP35,EStateFP36,EStateFP37,EStateFP38,EStateFP39,EStateFP4,EStateFP40,EStateFP41,EStateFP42,EStateFP43,EStateFP44,EStateFP45,EStateFP46,EStateFP47,EStateFP48,EStateFP49,EStateFP5,EStateFP50,EStateFP51,EStateFP52,EStateFP53,EStateFP54,EStateFP55,EStateFP56,EStateFP57,EStateFP58,EStateFP59,EStateFP6,EStateFP60,EStateFP61,EStateFP62,EStateFP63,EStateFP64,EStateFP65,EStateFP66,EStateFP67,EStateFP68,EStateFP69,EStateFP7,EStateFP70,EStateFP71,EStateFP72,EStateFP73,EStateFP74,EStateFP75,EStateFP76,EStateFP77,EStateFP78,EStateFP79,EStateFP8,EStateFP9
Aloe-emodin,6.0,1.705,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,YDQWDHRMZQUTBA-UHFFFAOYSA-N,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fenarimol,6.0,1.846,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,NHOWDZOIZKMVAI-UHFFFAOYSA-N,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triflumizole,6.0,1.675,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,HSMVPDGQOIQYSR-UHFFFAOYSA-N,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sulfisoxazole,6.0,1.048,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,NHUHCSRWZMLRLA-UHFFFAOYSA-N,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fluroxypyr,6.0,1.476,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,MEFQWPUMEMWTJP-UHFFFAOYSA-N,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4,4',4""-Ethane-1,1,1-triyltriphenol",6.0,1.675,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,BRPSWMCDEYMRPE-UHFFFAOYSA-N,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chloramphenicol,6.0,1.169,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,WIIZWVCIJKGZOK-RKDXNWHRSA-N,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zearalenone,6.0,1.336,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,MBMQEIFVQACCCH-QBODLPLBSA-N,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bicalutamide,6.0,1.937,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,LKJPYSCBVHEWIU-UHFFFAOYSA-N,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Carminic acid,6.0,2.302,LC-QTOF,ESI,ACN/H2O (4mM ammonium formate),10.1007/s00216-022-04118,DGQLVPJVXFOQEV-JNVSTXMASA-N,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
