leaves,trees,FP_type,state,accuracy_train,accuracy_test
4.0,100.0,12.0,2.0,0.8642875276094439,0.7176045128712962
4.0,900.0,12.0,2.0,0.8615982742699928,0.7146576096008503
4.0,200.0,12.0,2.0,0.8607020589123293,0.7142696017716749
4.0,600.0,12.0,2.0,0.8622155163449604,0.7131559983073159
6.0,400.0,12.0,2.0,0.8003457265017054,0.7130851095483359
6.0,400.0,12.0,2.0,0.8003457265017053,0.7130851095483358
6.0,700.0,12.0,2.0,0.7992189679354832,0.7123513450543756
6.0,700.0,12.0,2.0,0.7992189679354832,0.7123513450543756
6.0,300.0,12.0,2.0,0.79782840430766,0.709401066057973
6.0,200.0,12.0,2.0,0.7962122469546882,0.7045484373024964
8.0,500.0,12.0,2.0,0.7471284724595972,0.6976000143430672
8.0,400.0,12.0,2.0,0.7478679992713109,0.6955948946560719
8.0,200.0,12.0,2.0,0.7430957981651073,0.6932263783586867
6.0,1000.0,0.0,2.0,0.8508338905497529,0.6912026017011703
8.0,250.0,12.0,2.0,0.7451792582810366,0.6910841156672405
6.0,800.0,0.0,2.0,0.8506478351393634,0.6897355175843498
6.0,700.0,0.0,2.0,0.8506684322629454,0.6880996878371162
4.0,150.0,0.0,2.0,0.9039518793010747,0.6880498037769962
4.0,1000.0,0.0,2.0,0.9011341431348425,0.6879020587598474
10.0,800.0,12.0,2.0,0.7043351997367684,0.687328469831263
8.0,150.0,12.0,2.0,0.745889955816744,0.6869335595802857
10.0,700.0,12.0,2.0,0.7047586372874141,0.6861961228963958
10.0,700.0,12.0,2.0,0.7047586372874141,0.6861961228963958
10.0,700.0,12.0,2.0,0.7047586372874142,0.6861961228963958
10.0,150.0,12.0,2.0,0.7065592145808598,0.6859480282961894
10.0,500.0,12.0,2.0,0.7050087258876289,0.6852711392326586
4.0,250.0,0.0,2.0,0.9023147672892267,0.6847378726599069
4.0,100.0,0.0,2.0,0.903099020089936,0.6841414080256796
4.0,900.0,0.0,2.0,0.9013582106195698,0.6841367647226693
8.0,200.0,0.0,2.0,0.8001583409278896,0.6773750589626062
8.0,700.0,0.0,2.0,0.8025706691725826,0.6728823256432304
8.0,900.0,0.0,2.0,0.8017871727040516,0.6718699611837808
10.0,50.0,12.0,2.0,0.7104954135830539,0.6715168647681274
10.0,200.0,0.0,2.0,0.7563747431524072,0.6572571094789147
10.0,250.0,0.0,2.0,0.7576331295357759,0.6551371922297811
10.0,300.0,0.0,2.0,0.7585767255053868,0.6529967398242666
4.0,600.0,12.0,1.0,0.8587379716313457,0.6503449055661328
4.0,1000.0,12.0,1.0,0.8589635249687106,0.648995113059057
4.0,150.0,0.0,1.0,0.9002417706201898,0.6392904645783016
4.0,400.0,0.0,1.0,0.8976633501916474,0.6299077650104938
4.0,150.0,5.0,1.0,0.7970062784916259,0.6277212888701733
4.0,900.0,0.0,1.0,0.897349038864236,0.6265547726730227
4.0,900.0,0.0,1.0,0.897349038864236,0.6265547726730227
4.0,300.0,5.0,1.0,0.7941104314639612,0.6202382377942302
6.0,100.0,0.0,1.0,0.8572075541778702,0.6183567945894073
4.0,800.0,6.0,1.0,0.7895133020116294,0.6180083450695193
4.0,1000.0,5.0,1.0,0.7953774042840429,0.6173940615550018
6.0,800.0,12.0,1.0,0.788655016507356,0.6173628668475275
6.0,800.0,12.0,1.0,0.788655016507356,0.6173628668475275
4.0,800.0,5.0,1.0,0.7955812460571993,0.6159478779056743
4.0,300.0,6.0,1.0,0.7909831197840747,0.6149035156794076
4.0,400.0,6.0,1.0,0.7883147742636358,0.6137533755585999
4.0,250.0,6.0,1.0,0.7923337248890174,0.6135268879881908
6.0,150.0,12.0,1.0,0.7904925265402697,0.610671066781056
6.0,150.0,12.0,1.0,0.7904925265402697,0.610671066781056
6.0,250.0,0.0,1.0,0.8507186841838498,0.6072302862585535
8.0,300.0,12.0,1.0,0.7371875708510596,0.6015539936315948
6.0,800.0,0.0,1.0,0.8483278853647283,0.5999515205098441
4.0,900.0,5.0,3.0,0.7829824172353506,0.5990323189454971
4.0,900.0,5.0,3.0,0.7829824172353507,0.5990323189454971
8.0,200.0,12.0,1.0,0.7384016032862093,0.5972927909779979
4.0,250.0,11.0,1.0,0.7494895319143562,0.5956853811520713
4.0,150.0,10.0,1.0,0.7516904999069429,0.5922096489547326
4.0,100.0,12.0,3.0,0.8488134142267474,0.5921795231605942
4.0,200.0,10.0,1.0,0.7488831660765066,0.5921540684509153
6.0,300.0,5.0,1.0,0.7246049629715356,0.5914153342386088
6.0,300.0,5.0,1.0,0.7246049629715356,0.5914153342386088
6.0,400.0,5.0,1.0,0.7249668671612393,0.5913124399765871
4.0,700.0,10.0,1.0,0.7498742532626639,0.5905658925434841
4.0,250.0,5.0,3.0,0.7791178709659268,0.5902856340823222
6.0,250.0,5.0,1.0,0.7267135243517953,0.589667924873561
4.0,400.0,5.0,3.0,0.7809991226875028,0.5885006839233857
4.0,150.0,5.0,3.0,0.7743401880615919,0.5879254087063698
8.0,100.0,0.0,1.0,0.7984533871406577,0.5876489756018953
4.0,300.0,0.0,3.0,0.8911638461068668,0.5867563786133889
4.0,50.0,5.0,1.0,0.7926686761104469,0.5839353706688273
4.0,150.0,12.0,3.0,0.8522588301300446,0.5827962150280248
4.0,150.0,12.0,3.0,0.8522588301300444,0.5827962150280248
6.0,600.0,6.0,1.0,0.7013839873115912,0.581312852160258
4.0,200.0,0.0,3.0,0.8909836726457093,0.5809916064024736
4.0,600.0,0.0,3.0,0.8922147952875495,0.5789070231958393
8.0,150.0,0.0,1.0,0.8015577190107497,0.5781412497832246
8.0,200.0,0.0,1.0,0.7995049932344941,0.5778731991599099
4.0,700.0,0.0,3.0,0.8919274062967685,0.5769230746727233
4.0,700.0,0.0,3.0,0.8919274062967684,0.5769230746727232
8.0,400.0,5.0,1.0,0.6657936579098758,0.5750027118545016
6.0,200.0,8.0,1.0,0.6232592919981528,0.5744892909024286
4.0,800.0,0.0,3.0,0.891564630260241,0.5740381221262169
4.0,1000.0,0.0,3.0,0.8915161707665197,0.5739439801896968
4.0,400.0,12.0,3.0,0.8531359942860159,0.5734142283858681
6.0,300.0,10.0,1.0,0.664241303910853,0.5733897656716604
6.0,300.0,11.0,1.0,0.664241303910853,0.5733897656716604
6.0,400.0,10.0,1.0,0.6616452154485606,0.5733574823143619
6.0,400.0,10.0,1.0,0.6616452154485606,0.5733574823143619
6.0,800.0,11.0,1.0,0.6625533069868572,0.5706409722399627
6.0,500.0,11.0,1.0,0.6634664649712181,0.5704856392613263
6.0,700.0,11.0,1.0,0.6632967558176207,0.5701775264005272
