min_CNLs,accuracy_train,accuracy_test,random_seed,tree,leaf,learn_rate
1,0.791315712004889,0.104068469463236,2,1600,6,0.01
1,0.8827715000637368,-0.3713265726150945,1,400,6,0.15
1,0.8695847618292092,-0.054686949594758394,2,1600,4,0.05
1,0.7534283042840053,0.17819040694269617,2,50,10,0.2
1,0.7373444016787258,0.2052813719426988,2,50,6,0.15
1,0.8328087103491802,-0.44909054386674163,1,200,8,0.1
1,0.8970381237786442,-0.3848548923368593,1,800,4,0.15
1,0.8837448123310281,0.1174837351786765,2,1400,6,0.15
1,0.8833009967404573,-0.09712810226220348,3,1400,8,0.05
1,0.4787482097094613,0.17503836017100527,2,100,6,0.01
2,0.49026678947577695,0.11114479524340148,3,100,8,0.01
2,0.7499643777531219,0.1027754369860785,1,50,10,0.1
2,0.7407842030672747,-0.2054098072017485,2,100,8,0.05
2,0.7659658024108866,0.17438048646323867,3,1200,6,0.01
2,0.8835239077549806,-0.05709243237418127,2,1200,6,0.05
2,0.8901004669876059,0.2956894844590039,1,1400,8,0.05
2,0.8412898432331777,0.13476746654281602,3,600,8,0.05
2,0.9071242758034612,0.30853519180522937,1,1600,6,0.2
2,0.8943174617259514,-0.1424403122663518,2,600,8,0.2
2,0.8875742594866703,0.30004223790771645,1,400,6,0.15
3,0.8368184877426598,0.367571690917048,2,200,4,0.15
3,0.7573866022836301,-0.14431452590233462,3,200,6,0.05
3,0.8882218292461747,0.09237066810267747,1,800,10,0.15
3,0.589677360763866,0.2640122537112053,2,200,4,0.01
3,0.8867774282279344,0.27179698192851676,2,1600,10,0.15
3,0.6487663750655829,-0.2179179663975288,3,50,6,0.05
3,0.859594114471794,0.06810184322867907,1,800,4,0.05
3,0.7535953986419774,-0.053630802735072924,3,100,4,0.1
3,0.884237142216673,0.1012563972198709,3,600,8,0.15
3,0.7751349582382813,0.3404558280702079,2,1400,4,0.01
4,0.6929640710014364,0.23759817513941328,2,50,4,0.1
4,0.8765194640161997,0.36962338419563867,2,600,6,0.2
4,0.6867683439787075,0.29086985399005816,1,600,6,0.01
4,0.8788443164124707,0.34355087334699264,2,1600,4,0.1
4,0.7353162271111696,0.28072472440293283,1,100,8,0.1
4,0.841492763437857,-0.0667127091276265,3,100,4,0.2
4,0.8741235840361099,0.4077277349075228,2,1000,8,0.1
4,0.8545983997822786,0.30707094289874826,1,1400,4,0.05
4,0.8681043843785907,0.3504452314911415,1,1000,8,0.2
4,0.8677241462218457,0.24707602712644028,1,1000,4,0.2
5,0.8891968706070935,-0.9966889350972312,2,1400,6,0.1
5,0.8822542982956868,-0.07877024818984824,1,800,10,0.2
5,0.8150627536289596,0.02564723440270822,3,400,10,0.05
5,0.8563836257702561,-1.078231971362178,2,200,10,0.15
5,0.3533346617925056,-0.10169019504946375,2,50,8,0.01
5,0.8783026265226038,-0.10706680158861803,1,1000,4,0.1
5,0.8672473534432148,-0.9779970585965658,2,200,10,0.2
5,0.8830952390474791,-1.3970307314730719,2,800,8,0.1
5,0.8671387842978591,-0.7920566622590155,2,400,4,0.1
5,0.7175903348910193,-0.020104000571219638,3,50,6,0.1
6,0.8792142814823073,-0.11803547803513514,2,1000,4,0.05
6,0.8207342189828049,-0.17872580807874505,2,100,10,0.15
6,0.8792142814823073,-0.11803547803513514,2,1000,4,0.05
6,0.8829639256879972,-0.14215086625813522,2,400,10,0.15
6,0.7857672042242574,-0.1779810751735713,2,100,4,0.1
6,0.8771171673615157,-0.11884043294044888,1,600,10,0.2
6,0.8710897050599062,-0.7020204365533396,3,1200,10,0.15
6,0.8723229534770532,-0.07131355182006516,2,400,4,0.1
6,0.8749417062727046,-0.07716305111037203,1,1000,8,0.1
6,0.8956449731141793,-0.1322615569452661,2,1600,10,0.1
7,0.6247992664769193,0.14150303888911853,3,50,4,0.05
7,0.6986140178492978,0.18231565540252592,1,400,10,0.01
7,0.4689890689692604,0.04374152955633981,3,100,4,0.01
7,0.8709046846159607,0.10921720295665516,1,1000,8,0.1
7,0.8726189475564129,0.07692230511113196,1,600,4,0.2
7,0.8678357091506081,0.13970460132599993,1,1600,10,0.05
7,0.858640389294103,-0.38061532947000987,2,200,10,0.1
7,0.8568699414646263,-0.4066349218361236,2,100,8,0.2
7,0.8833537930138256,-0.5634849975622402,2,200,6,0.2
7,0.7657231556104553,0.1249792005996836,1,50,8,0.2
8,0.9045756411428274,-0.5121221163251288,3,1600,8,0.2
8,0.9011622303672159,-0.4831622381233953,3,1200,6,0.1
8,0.7218116831191566,-0.18311365773885102,1,50,6,0.1
8,0.8655188011335304,-0.17193131776023152,1,1000,10,0.05
8,0.9038788557651461,-0.4389005719549812,3,1600,10,0.15
8,0.8931465762297032,-0.3541118305669444,3,600,4,0.1
8,0.674454341547331,-0.17873156727776207,3,200,4,0.01
8,0.8736782134019043,-0.15650303173554625,1,1600,10,0.05
8,0.8970319753841803,-0.11802612728114248,2,400,10,0.2
8,0.8598266136292124,-0.24812712911922397,1,400,8,0.1
9,0.8764973170423016,-0.559326337385629,2,1400,8,0.05
9,0.9012906009058326,-0.6772530454068117,3,600,4,0.2
9,0.8218216781391938,-0.5575789307281915,2,100,8,0.15
9,0.8562550424814437,-0.5939105384094234,2,600,8,0.05
9,0.8037975385696979,-0.48840185407524817,2,1200,6,0.01
9,0.8528714879769456,-0.0026752313045479426,1,600,4,0.05
9,0.8772357470100496,-0.005777160883585042,1,400,8,0.2
9,0.9051010080011604,-0.6333711581806545,3,1400,4,0.2
9,0.9051010080011604,-0.6333711581806545,3,1400,4,0.2
9,0.8841895004375995,-0.8208187979174295,3,200,8,0.2
10,0.8371777219287172,0.06444239215531444,1,1400,6,0.01
10,0.812065346375027,0.020209525162084185,1,200,8,0.05
10,0.8596614075364576,0.03861047425803055,3,600,4,0.05
10,0.8827303202325821,-0.27298247278833965,3,600,6,0.15
10,0.8277523967253327,-0.1598737405334718,3,100,6,0.15
10,0.8784941728199389,-0.9521018229937424,2,1400,6,0.1
10,0.8853618730969861,-0.11688238692126474,3,1400,8,0.1
10,0.9006060931323654,0.015366269425976853,1,1400,10,0.2
10,0.8583809874839303,-0.22685152149653742,3,200,6,0.15
10,0.8691866958296801,0.048699836831777144,3,800,4,0.05
11,0.8259084037737792,0.0419469885129482,3,1600,8,0.01
11,0.8710888013994296,0.0453573755411234,3,800,6,0.1
11,0.8756694794706034,0.022290088879305392,3,1400,4,0.2
11,0.8641145674592802,-0.054461113017834295,2,200,8,0.2
11,0.6245039871305147,0.12023809262749752,2,200,10,0.01
11,0.8259084037737792,0.0419469885129482,3,1600,8,0.01
11,0.7952652189496451,0.07063549294311411,1,1200,10,0.01
11,0.8784850222547391,-0.07739616801755345,2,1200,4,0.15
11,0.3346905971476015,0.07509286817677996,2,50,4,0.01
11,0.8775381089091393,-0.052137307911068076,2,1400,8,0.1
12,0.3280678586130923,0.19747843729777192,2,50,4,0.01
12,0.8766132101367291,0.4437025431938796,2,1000,4,0.1
12,0.785460616183174,0.35452142096638306,3,100,8,0.1
12,0.8813411803656007,-0.06429020061142299,1,200,8,0.15
12,0.8846635986856216,0.4085113251628453,3,1000,4,0.15
12,0.785460616183174,0.35452142096638306,3,100,8,0.1
12,0.873315369950073,0.4162934616104531,2,1400,8,0.05
12,0.8425413244915313,-0.0582127300782862,1,100,6,0.15
12,0.7406601895967182,0.3284270561976044,2,50,6,0.1
12,0.8837815228741123,0.4150169537058952,3,600,4,0.2
13,0.720707592944583,0.2908595917588468,1,50,6,0.15
13,0.88019969135606,-0.8396432837046146,3,1200,8,0.1
13,0.8775346722721864,-0.7083453067086141,3,400,6,0.2
13,0.7556907515088358,0.30247257704908237,1,1000,8,0.01
13,0.910695050348411,-0.6514730873326702,2,400,6,0.1
