leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_test_size
4.0,1000.0,3.0,0.07,0.8136598476651705,0.6251732441725601,0.1956
9.0,250.0,3.0,0.07,0.7954289540499346,0.6212778924263904,0.1956
8.0,900.0,3.0,0.07,0.8130628916959073,0.619063728088108,0.1956
7.0,800.0,3.0,0.1,0.8143146391815339,0.6161433281358508,0.1956
6.0,900.0,3.0,0.1,0.8146106010369898,0.6151165828417584,0.1956
5.0,300.0,3.0,0.4,0.8153429063704046,0.6150245235500147,0.1956
6.0,1000.0,3.0,0.1,0.8148769776333925,0.614596408528135,0.1956
10.0,500.0,3.0,0.2,0.815037729488939,0.6129700923501702,0.1956
5.0,200.0,3.0,0.08,0.79568564351947,0.6129146242705026,0.1956
7.0,1000.0,3.0,0.14,0.8155780065513052,0.6127872075420433,0.1956
10.0,700.0,3.0,0.09,0.8133181930170215,0.6123787973069992,0.1956
8.0,700.0,3.0,0.13,0.8145902795119517,0.6115839586790007,0.1956
7.0,600.0,3.0,0.14,0.8145896271588814,0.6109105641457173,0.1956
7.0,200.0,3.0,0.2,0.8096215706017148,0.609859244444184,0.1956
8.0,600.0,3.0,0.06,0.8082932128721293,0.6088284765527796,0.1956
6.0,500.0,3.0,0.12,0.8125062772201987,0.6085594665374706,0.1956
10.0,300.0,3.0,0.06,0.7976701330965039,0.6083846064423023,0.1956
4.0,200.0,3.0,0.4,0.8140576730185218,0.6081199132541892,0.1956
6.0,600.0,3.0,0.2,0.8153513180340008,0.6068791636560391,0.1956
5.0,200.0,3.0,0.2,0.8096097442402187,0.6055401721751401,0.1956
8.0,1000.0,3.0,0.03,0.8062552087496314,0.604977779763734,0.1956
8.0,900.0,3.0,0.1,0.8148252142002725,0.604644416120016,0.1956
4.0,800.0,3.0,0.02,0.7946274504641571,0.6043467888772573,0.1956
9.0,600.0,3.0,0.06,0.80842952345482,0.6030303241016095,0.1956
4.0,900.0,3.0,0.13,0.8152270845757453,0.6017357666529206,0.1956
7.0,800.0,3.0,0.04,0.8074493616429341,0.6015912773148873,0.1956
5.0,350.0,3.0,0.09,0.8067820163311353,0.600808103019641,0.1956
4.0,400.0,3.0,0.13,0.8116064232354699,0.6003053933194638,0.1956
6.0,350.0,3.0,0.09,0.8069991809305327,0.5998842353234418,0.1956
8.0,500.0,3.0,0.05,0.8034083681404587,0.5982245173599126,0.1956
5.0,900.0,3.0,0.15,0.815515492481567,0.5976641727025518,0.1956
7.0,600.0,3.0,0.03,0.7965163303761165,0.5960641791814606,0.1956
5.0,200.0,3.0,0.15,0.8063474907491325,0.595288198187382,0.1956
5.0,900.0,3.0,0.03,0.8044011579292131,0.5921278897141078,0.1956
9.0,300.0,3.0,0.13,0.8082594686380566,0.5919879189275139,0.1956
7.0,250.0,3.0,0.4,0.8148195769014881,0.590315011006372,0.1956
9.0,80.0,3.0,0.07,0.765143304906627,0.5902094344133832,0.1956
7.0,600.0,3.0,0.07,0.8101438693612902,0.5889568348500402,0.1956
9.0,1000.0,3.0,0.15,0.8156108866584626,0.5885240370622424,0.1956
9.0,350.0,3.0,0.03,0.7819804052033755,0.5884759865957712,0.1956
7.0,500.0,3.0,0.07,0.8081488046563046,0.5868663985193032,0.1956
7.0,150.0,3.0,0.06,0.7776055304163974,0.5860168212024432,0.1956
10.0,200.0,3.0,0.04,0.7747664616866803,0.5853949357831278,0.1956
9.0,800.0,3.0,0.04,0.8069136989770362,0.5846454815378457,0.1956
9.0,800.0,3.0,0.04,0.8069136989770362,0.5846454815378457,0.1956
