leaves,trees,l2_leaf_reg,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8.0,1200.0,0.0,0.13,3.0,0.8156,0.6124,0.1956
4.0,500.0,0.0,0.11,3.0,0.8123,0.61,0.1956
6.0,300.0,0.0,0.11,3.0,0.8065,0.6046,0.1956
10.0,1000.0,0.0,0.15,3.0,0.8157,0.6006,0.1956
10.0,400.0,0.0,0.07,3.0,0.8046,0.5946,0.1956
10.0,1000.0,0.0,0.4,3.0,0.816,0.5943,0.1956
6.0,100.0,0.0,0.11,3.0,0.7842,0.5905,0.1956
8.0,1200.0,0.0,0.09,3.0,0.815,0.5836,0.1956
8.0,100.0,0.0,0.6,3.0,0.8132,0.5808,0.1956
8.0,1000.0,0.0,0.09,3.0,0.8146,0.58,0.1956
10.0,600.0,0.0,0.8,3.0,0.816,0.564,0.1956
4.0,300.0,0.0,0.6,3.0,0.8158,0.4967,0.1956
10.0,60.0,0.0,0.01,1.0,0.472,0.2197,0.2727
6.0,20.0,0.0,0.07,1.0,0.678,0.1871,0.2727
4.0,20.0,0.0,0.01,3.0,0.2173,0.1608,0.1956
4.0,400.0,0.0,0.11,2.0,0.8187,0.1121,0.373
10.0,200.0,0.0,0.09,2.0,0.8016,0.0692,0.373
4.0,200.0,0.0,0.15,2.0,0.8132,0.0329,0.373
4.0,60.0,0.0,0.03,2.0,0.6879,0.0322,0.373
4.0,600.0,0.0,0.15,2.0,0.8241,0.0262,0.373
6.0,400.0,0.0,0.13,2.0,0.8202,0.0188,0.373
8.0,1200.0,0.0,0.07,2.0,0.8236,0.0071,0.373
10.0,700.0,0.0,0.03,2.0,0.804,0.0053,0.373
8.0,60.0,0.0,0.03,2.0,0.6888,-0.0042,0.373
8.0,20.0,0.0,0.11,2.0,0.714,-0.0246,0.373
6.0,600.0,0.0,0.11,2.0,0.8223,-0.0366,0.373
6.0,700.0,0.0,0.11,2.0,0.8231,-0.0477,0.373
8.0,500.0,0.0,0.15,2.0,0.8232,-0.1381,0.373
4.0,800.0,0.0,0.2,2.0,0.8263,-0.1472,0.373
4.0,1400.0,0.0,0.2,2.0,0.8269,-0.1681,0.373
10.0,60.0,0.0,0.09,1.0,0.79,-0.2565,0.2727
8.0,20.0,0.0,0.4,1.0,0.7996,-0.3454,0.2727
4.0,100.0,0.0,0.11,1.0,0.8106,-0.3655,0.2727
10.0,900.0,0.0,0.8,2.0,0.8273,-0.3698,0.373
6.0,800.0,0.0,0.03,1.0,0.8294,-0.4604,0.2727
8.0,200.0,0.0,0.11,1.0,0.8275,-0.4679,0.2727
10.0,200.0,0.0,0.11,1.0,0.8293,-0.4921,0.2727
8.0,100.0,0.0,0.8,2.0,0.8245,-0.5346,0.373
6.0,700.0,0.0,0.07,1.0,0.8392,-0.5529,0.2727
4.0,400.0,0.0,0.2,1.0,0.8428,-0.6111,0.2727
8.0,500.0,0.0,0.11,1.0,0.8403,-0.6208,0.2727
6.0,1200.0,0.0,0.07,1.0,0.8428,-0.6264,0.2727
8.0,600.0,0.0,0.15,1.0,0.8433,-0.6309,0.2727
10.0,1200.0,0.0,0.09,1.0,0.8439,-0.6345,0.2727
6.0,900.0,0.0,0.11,1.0,0.8436,-0.6982,0.2727
8.0,1400.0,0.0,0.2,1.0,0.8451,-0.7152,0.2727
10.0,1400.0,0.0,0.15,1.0,0.8449,-0.7346,0.2727
10.0,1200.0,0.0,0.4,1.0,0.8452,-0.7586,0.2727
10.0,300.0,0.0,0.8,1.0,0.8449,-0.8235,0.2727
10.0,400.0,0.0,0.6,1.0,0.845,-0.8271,0.2727
