leaves,trees,l2_leaf_reg,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8.0,1400.0,0.0,0.2,3.0,0.8865,0.2584,0.177
4.0,900.0,0.0,0.4,3.0,0.8881,0.2053,0.177
10.0,900.0,0.0,0.01,3.0,0.759,0.1873,0.177
4.0,300.0,0.0,0.05,3.0,0.7944,0.1759,0.177
6.0,800.0,0.0,0.05,3.0,0.8509,0.1655,0.177
4.0,100.0,0.0,0.11,1.0,0.7595,0.1642,0.3127
6.0,20.0,0.0,0.09,3.0,0.6362,0.164,0.177
10.0,200.0,0.0,0.01,3.0,0.649,0.1568,0.177
10.0,200.0,0.0,0.4,3.0,0.8704,0.1362,0.177
10.0,60.0,0.0,0.15,1.0,0.7504,0.1331,0.3127
6.0,300.0,0.0,0.13,3.0,0.8506,0.1299,0.177
8.0,1200.0,0.0,0.01,1.0,0.7679,0.1247,0.3127
4.0,800.0,0.0,0.11,3.0,0.8739,0.1218,0.177
6.0,20.0,0.0,0.05,1.0,0.5069,0.1158,0.3127
8.0,200.0,0.0,0.09,1.0,0.804,0.1151,0.3127
10.0,60.0,0.0,0.09,1.0,0.723,0.1139,0.3127
4.0,60.0,0.0,0.2,1.0,0.7698,0.1015,0.3127
8.0,20.0,0.0,0.03,3.0,0.4105,0.0945,0.177
10.0,400.0,0.0,0.07,1.0,0.8319,0.0927,0.3127
6.0,1400.0,0.0,0.4,3.0,0.89,0.087,0.177
4.0,100.0,0.0,0.15,1.0,0.7912,0.079,0.3127
10.0,500.0,0.0,0.07,1.0,0.8462,0.0687,0.3127
6.0,800.0,0.0,0.2,3.0,0.8817,0.0557,0.177
10.0,1000.0,0.0,0.13,1.0,0.8852,0.0497,0.3127
4.0,1400.0,0.0,0.05,1.0,0.872,0.0476,0.3127
8.0,600.0,0.0,0.13,1.0,0.8749,0.045,0.3127
10.0,1400.0,0.0,0.13,1.0,0.8897,0.0307,0.3127
4.0,500.0,0.0,0.15,1.0,0.8747,0.01,0.3127
10.0,300.0,0.0,0.4,2.0,0.8912,0.0016,0.1657
10.0,1200.0,0.0,0.15,1.0,0.8899,-0.0104,0.3127
6.0,500.0,0.0,0.2,1.0,0.8815,-0.0513,0.3127
4.0,60.0,0.0,0.03,2.0,0.6288,-0.0615,0.1657
6.0,400.0,0.0,0.09,2.0,0.8618,-0.0987,0.1657
8.0,400.0,0.0,0.13,2.0,0.8764,-0.0997,0.1657
4.0,700.0,0.0,0.01,2.0,0.7546,-0.1126,0.1657
4.0,1400.0,0.0,0.05,2.0,0.8833,-0.1188,0.1657
4.0,100.0,0.0,0.05,2.0,0.7344,-0.1361,0.1657
6.0,60.0,0.0,0.8,1.0,0.8502,-0.1424,0.3127
10.0,1200.0,0.0,0.03,2.0,0.861,-0.1531,0.1657
6.0,20.0,0.0,0.15,2.0,0.7032,-0.1577,0.1657
4.0,400.0,0.0,0.15,2.0,0.8787,-0.1706,0.1657
8.0,500.0,0.0,0.6,1.0,0.8934,-0.1947,0.3127
10.0,400.0,0.0,0.8,3.0,0.886,-0.2271,0.177
6.0,1400.0,0.0,0.8,3.0,0.891,-0.2772,0.177
10.0,1200.0,0.0,0.8,3.0,0.8908,-0.3383,0.177
8.0,600.0,0.0,0.6,2.0,0.9017,-0.3431,0.1657
8.0,1000.0,0.0,0.8,2.0,0.9047,-0.3845,0.1657
6.0,300.0,0.0,0.6,2.0,0.8959,-0.4958,0.1657
6.0,1400.0,0.0,0.6,2.0,0.9049,-0.5165,0.1657
10.0,600.0,0.0,0.8,2.0,0.9029,-0.5552,0.1657
