leaves,trees,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,1000,0.05,1,0.7888,0.7118,0.1004
6,800,0.03,2,0.8179,0.4374,0.3667
6,100,0.2,2,0.8178,0.4514,0.3667
6,800,0.2,3,0.8218,0.0299,0.1637
10,700,0.11,3,0.8202,0.0801,0.1637
6,900,0.13,1,0.7949,0.7064,0.1004
10,1200,0.03,1,0.7862,0.7075,0.1004
4,100,0.15,3,0.7982,0.1335,0.1637
10,700,0.2,3,0.8215,0.0021,0.1637
8,300,0.6,2,0.8333,0.3772,0.3667
4,1000,0.07,3,0.8197,0.0207,0.1637
10,60,0.11,2,0.7817,0.3738,0.3667
4,700,0.11,1,0.7933,0.7028,0.1004
6,900,0.8,3,0.8223,-0.0767,0.1637
4,800,0.13,2,0.832,0.4303,0.3667
10,1000,0.13,3,0.8214,0.0551,0.1637
10,700,0.13,3,0.8205,0.0711,0.1637
4,800,0.05,3,0.8153,0.0767,0.1637
10,1200,0.2,3,0.8221,-0.0318,0.1637
8,1400,0.15,1,0.7958,0.7068,0.1004
8,800,0.2,1,0.7958,0.703,0.1004
4,60,0.4,3,0.8059,0.1002,0.1637
4,60,0.2,3,0.7888,0.2112,0.1637
10,60,0.8,3,0.8169,-0.0158,0.1637
10,800,0.15,2,0.8324,0.4038,0.3667
10,900,0.8,3,0.8223,-0.0606,0.1637
6,800,0.01,2,0.7874,0.422,0.3667
4,400,0.6,2,0.8336,0.4085,0.3667
10,60,0.6,1,0.7857,0.6423,0.1004
8,100,0.05,3,0.7673,0.203,0.1637
4,700,0.11,3,0.8201,0.0589,0.1637
4,1400,0.2,3,0.8222,0.0341,0.1637
6,60,0.4,1,0.7788,0.6991,0.1004
6,600,0.11,3,0.8193,0.0468,0.1637
8,500,0.6,1,0.7966,0.6809,0.1004
4,1200,0.15,3,0.822,0.0154,0.1637
8,20,0.6,1,0.7591,0.6214,0.1004
8,300,0.4,3,0.8214,0.0169,0.1637
10,1400,0.11,3,0.8217,0.0423,0.1637
10,1000,0.07,3,0.8194,0.057,0.1637
10,1000,0.4,3,0.8222,-0.0016,0.1637
8,500,0.03,2,0.809,0.4355,0.3667
10,1400,0.15,3,0.822,-0.0104,0.1637
8,200,0.09,2,0.8139,0.4277,0.3667
4,700,0.6,1,0.7968,0.7447,0.1004
10,800,0.03,3,0.8076,0.0987,0.1637
10,1400,0.03,2,0.8262,0.436,0.3667
8,100,0.4,2,0.8268,0.3972,0.3667
4,700,0.8,3,0.8223,-0.065,0.1637
10,600,0.2,3,0.8213,0.0161,0.1637
