leaves,trees,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
4,20,0.07,2,0.6314,0.4426,0.1893
10,20,0.15,2,0.7136,0.5987,0.1893
10,500,0.6,2,0.8027,0.6293,0.1893
8,800,0.6,2,0.8029,0.6456,0.1893
10,900,0.01,3,0.7531,0.703,0.0872
10,600,0.4,2,0.8026,0.6446,0.1893
8,20,0.8,3,0.7719,0.7254,0.0872
10,500,0.11,1,0.8332,-1.3253,0.214
4,200,0.2,3,0.7882,0.7223,0.0872
4,400,0.11,3,0.7883,0.7323,0.0872
10,1400,0.6,3,0.7973,0.6916,0.0872
4,200,0.03,3,0.7444,0.6797,0.0872
4,1000,0.6,3,0.7974,0.6979,0.0872
10,1000,0.4,1,0.8375,-1.588,0.214
10,900,0.8,3,0.7974,0.6517,0.0872
8,100,0.11,3,0.7602,0.6931,0.0872
10,20,0.4,3,0.7515,0.7159,0.0872
10,1000,0.8,2,0.8029,0.6215,0.1893
4,100,0.09,2,0.7504,0.6244,0.1893
8,200,0.6,3,0.7956,0.6974,0.0872
6,600,0.03,2,0.7728,0.6504,0.1893
8,100,0.2,3,0.7749,0.7378,0.0872
6,100,0.6,2,0.7973,0.6534,0.1893
8,1200,0.2,3,0.7966,0.7426,0.0872
6,1200,0.4,3,0.7973,0.7329,0.0872
6,700,0.05,1,0.8279,-1.2058,0.214
10,60,0.09,1,0.7864,-0.8272,0.214
8,700,0.15,2,0.8009,0.6412,0.1893
4,20,0.6,2,0.7545,0.6208,0.1893
4,400,0.13,3,0.7902,0.7597,0.0872
8,100,0.13,1,0.8073,-1.0011,0.214
4,800,0.09,2,0.7981,0.6476,0.1893
4,20,0.13,2,0.6995,0.5893,0.1893
6,100,0.8,1,0.8351,-1.3517,0.214
4,100,0.4,1,0.8309,-1.3837,0.214
6,900,0.09,1,0.8357,-1.4272,0.214
10,700,0.15,2,0.8006,0.655,0.1893
8,700,0.11,1,0.835,-1.3894,0.214
6,400,0.15,1,0.8336,-1.3618,0.214
6,800,0.4,3,0.797,0.7295,0.0872
10,200,0.2,1,0.8289,-1.124,0.214
8,20,0.8,2,0.7712,0.6065,0.1893
6,1200,0.15,3,0.7962,0.7458,0.0872
4,700,0.03,1,0.8195,-1.0242,0.214
6,1400,0.8,3,0.7975,0.7133,0.0872
4,20,0.11,1,0.7401,-0.4252,0.214
4,600,0.11,1,0.8344,-1.3947,0.214
10,1400,0.6,2,0.803,0.6281,0.1893
10,700,0.13,2,0.7994,0.6467,0.1893
4,20,0.13,3,0.7097,0.664,0.0872
