leaves,trees,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,60,0.05,1,0.6495,0.1488,0.1726
10,1400,0.01,3,0.7771,0.1498,0.2112
8,500,0.03,3,0.7831,0.1133,0.2112
6,20,0.09,2,0.6481,0.1368,0.1722
10,200,0.15,2,0.8527,0.2234,0.1722
10,1200,0.2,1,0.8838,-0.034,0.1726
6,100,0.13,2,0.7949,0.2158,0.1722
8,1200,0.8,2,0.9033,0.0175,0.1722
6,60,0.01,1,0.3686,0.0958,0.1726
10,60,0.11,1,0.71,0.2536,0.1726
10,900,0.05,2,0.8693,0.2562,0.1722
4,20,0.6,3,0.7525,-0.0843,0.2112
8,400,0.2,1,0.8652,0.0326,0.1726
6,300,0.15,3,0.8568,0.0072,0.2112
6,20,0.11,3,0.6368,0.0926,0.2112
10,200,0.03,2,0.7573,0.2121,0.1722
8,60,0.05,2,0.7098,0.1699,0.1722
6,900,0.4,1,0.8864,0.1246,0.1726
10,700,0.09,2,0.8783,0.1972,0.1722
10,600,0.03,1,0.7876,0.2153,0.1726
6,700,0.2,2,0.8936,0.2059,0.1722
8,900,0.01,1,0.7297,0.1952,0.1726
6,400,0.13,1,0.8531,0.1269,0.1726
6,600,0.01,2,0.7572,0.2073,0.1722
4,700,0.03,1,0.8016,0.203,0.1726
4,600,0.07,2,0.8676,0.2324,0.1722
8,300,0.05,3,0.7841,0.192,0.2112
4,300,0.4,3,0.8787,-0.1613,0.2112
10,600,0.13,3,0.871,-0.1148,0.2112
4,600,0.01,2,0.7564,0.2039,0.1722
10,900,0.4,2,0.9007,0.1631,0.1722
8,500,0.13,3,0.8663,-0.1774,0.2112
4,60,0.11,3,0.7312,0.1374,0.2112
8,400,0.01,1,0.6737,0.2084,0.1726
8,1400,0.11,1,0.8786,0.0908,0.1726
10,600,0.03,1,0.7876,0.2153,0.1726
10,500,0.03,3,0.7841,0.1581,0.2112
10,60,0.15,2,0.7697,0.2097,0.1722
6,900,0.01,2,0.7766,0.2139,0.1722
4,1400,0.15,2,0.8976,0.1638,0.1722
10,1000,0.2,1,0.8819,-0.0305,0.1726
4,800,0.15,1,0.8747,0.1496,0.1726
10,200,0.05,2,0.7849,0.2161,0.1722
10,500,0.09,1,0.8473,0.182,0.1726
6,100,0.03,2,0.7152,0.1685,0.1722
8,20,0.2,2,0.7329,0.1864,0.1722
6,800,0.11,3,0.8728,-0.1784,0.2112
4,300,0.15,1,0.848,0.1928,0.1726
4,500,0.6,3,0.8887,-0.3247,0.2112
8,500,0.09,1,0.848,0.0114,0.1726
