leaves,trees,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8,200,0.03,1,0.7402,0.303,0.1007
10,400,0.6,1,0.8939,-0.0756,0.1007
8,20,0.8,1,0.7785,0.1864,0.1007
10,100,0.15,1,0.7994,0.273,0.1007
10,100,0.6,1,0.8676,-0.0041,0.1007
8,900,0.6,2,0.9009,-0.1238,0.1954
4,1200,0.05,2,0.8786,-0.078,0.1954
8,200,0.05,1,0.7653,0.291,0.1007
6,60,0.15,1,0.7645,0.3103,0.1007
6,60,0.15,2,0.7791,0.1854,0.1954
8,1400,0.09,1,0.8883,0.2111,0.1007
4,60,0.2,2,0.7938,0.0967,0.1954
8,1200,0.2,3,0.8998,-0.2126,0.2622
10,200,0.13,3,0.8331,-0.0618,0.2622
6,700,0.09,1,0.8729,0.2361,0.1007
6,800,0.8,1,0.8991,-0.138,0.1007
4,900,0.09,1,0.8803,0.2186,0.1007
8,700,0.2,3,0.8937,-0.1956,0.2622
6,1200,0.8,2,0.9018,-0.1481,0.1954
10,700,0.05,3,0.8532,-0.1119,0.2622
10,900,0.11,3,0.8879,-0.1716,0.2622
8,100,0.07,2,0.7668,0.2034,0.1954
10,800,0.8,2,0.9008,-0.2077,0.1954
8,100,0.13,2,0.8004,0.1462,0.1954
10,1200,0.11,2,0.892,-0.3842,0.1954
10,800,0.11,3,0.8853,-0.1623,0.2622
4,60,0.13,2,0.774,0.1766,0.1954
6,20,0.11,1,0.654,0.2081,0.1007
6,60,0.8,2,0.859,-0.0948,0.1954
6,700,0.4,2,0.8982,-0.5199,0.1954
8,60,0.01,1,0.3855,0.0886,0.1007
8,700,0.11,2,0.8832,-0.3012,0.1954
8,100,0.09,3,0.7643,0.0347,0.2622
4,400,0.15,1,0.8727,0.223,0.1007
6,100,0.15,2,0.8121,0.1474,0.1954
10,60,0.11,1,0.7431,0.2559,0.1007
4,700,0.07,1,0.8659,0.2853,0.1007
8,500,0.6,1,0.8958,-0.0162,0.1007
10,20,0.15,2,0.7126,0.275,0.1954
6,300,0.2,3,0.8739,-0.1673,0.2622
6,1400,0.6,3,0.9057,-0.1935,0.2622
6,500,0.6,2,0.8983,-0.2622,0.1954
4,500,0.15,3,0.8811,-0.1793,0.2622
4,20,0.07,1,0.5732,0.1627,0.1007
8,800,0.6,2,0.9005,-0.1206,0.1954
4,1400,0.03,3,0.8602,-0.1313,0.2622
6,200,0.2,3,0.8564,-0.1232,0.2622
4,700,0.11,1,0.8791,0.2013,0.1007
8,100,0.03,2,0.7141,0.2441,0.1954
8,300,0.6,1,0.89,-0.0398,0.1007
