leaves,trees,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,500,0.01,1,0.785,-0.8318,0.2116
8,200,0.01,2,0.6767,0.4849,0.1932
6,600,0.6,3,0.7952,0.7437,0.0869
6,800,0.8,1,0.839,-1.7706,0.2116
8,900,0.03,1,0.8249,-1.1782,0.2116
10,1400,0.6,3,0.7952,0.7586,0.0869
10,700,0.8,3,0.7952,0.7223,0.0869
8,100,0.8,1,0.8366,-1.6416,0.2116
10,1200,0.6,1,0.839,-1.9369,0.2116
4,1000,0.6,2,0.8007,0.6153,0.1932
10,1000,0.13,1,0.8383,-1.6891,0.2116
4,1400,0.01,3,0.7661,0.6656,0.0869
6,500,0.4,2,0.8002,0.5848,0.1932
10,1000,0.6,1,0.839,-1.9327,0.2116
10,1400,0.01,1,0.8108,-1.0524,0.2116
6,100,0.13,3,0.7668,0.6798,0.0869
8,400,0.03,3,0.7605,0.6681,0.0869
4,900,0.11,3,0.7934,0.7074,0.0869
4,1400,0.09,3,0.7941,0.7193,0.0869
8,800,0.09,1,0.8366,-1.5443,0.2116
10,300,0.07,1,0.8194,-1.0725,0.2116
4,200,0.01,2,0.6773,0.4748,0.1932
10,1200,0.2,1,0.8388,-1.7259,0.2116
8,900,0.09,1,0.8371,-1.5888,0.2116
10,500,0.2,3,0.7932,0.7424,0.0869
4,1200,0.11,3,0.7941,0.7126,0.0869
10,300,0.8,2,0.8002,0.5775,0.1932
4,200,0.15,1,0.8281,-1.3455,0.2116
4,800,0.11,3,0.7931,0.7068,0.0869
10,1000,0.4,1,0.839,-1.7702,0.2116
10,700,0.2,2,0.7997,0.6033,0.1932
4,800,0.11,1,0.8373,-1.5193,0.2116
10,900,0.4,2,0.8005,0.5822,0.1932
10,300,0.11,3,0.7853,0.6764,0.0869
6,800,0.13,1,0.8379,-1.7033,0.2116
6,1400,0.07,3,0.7935,0.7169,0.0869
10,700,0.13,1,0.8375,-1.6327,0.2116
10,900,0.05,2,0.7929,0.6181,0.1932
8,300,0.6,2,0.8002,0.5963,0.1932
6,700,0.01,3,0.7454,0.6236,0.0869
6,500,0.01,2,0.7338,0.582,0.1932
4,300,0.05,2,0.77,0.6172,0.1932
8,600,0.09,3,0.7902,0.6931,0.0869
10,400,0.09,3,0.7865,0.6917,0.0869
4,1400,0.01,2,0.7675,0.62,0.1932
6,800,0.03,2,0.7816,0.6263,0.1932
8,1200,0.2,1,0.8389,-1.7877,0.2116
8,1200,0.09,2,0.7989,0.6111,0.1932
10,900,0.05,2,0.7929,0.6181,0.1932
6,1400,0.8,1,0.8391,-1.7939,0.2116
