leaves,trees,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8,100,0.07,3,0.7476,0.0019,0.2242
8,1000,0.11,1,0.8941,0.0855,0.2045
8,1200,0.07,2,0.8812,0.2114,0.222
6,800,0.11,3,0.8754,-0.1249,0.2242
6,1200,0.15,3,0.885,-0.0933,0.2242
10,200,0.6,1,0.8924,-0.0846,0.2045
4,1200,0.03,2,0.859,0.2096,0.222
6,900,0.01,3,0.757,0.0082,0.2242
8,200,0.8,3,0.8784,-0.2727,0.2242
8,700,0.13,3,0.8761,-0.2246,0.2242
10,1200,0.05,2,0.8745,0.1354,0.222
10,900,0.01,1,0.7688,0.3018,0.2045
4,800,0.11,2,0.8822,0.1776,0.222
6,700,0.05,3,0.8448,-0.0808,0.2242
6,800,0.03,1,0.8436,0.233,0.2045
6,400,0.2,1,0.8885,0.0899,0.2045
4,300,0.8,3,0.8849,-0.4456,0.2242
6,200,0.15,2,0.8545,0.2492,0.222
10,1200,0.8,1,0.9078,-0.2736,0.2045
4,100,0.03,2,0.7137,0.4132,0.222
6,700,0.13,2,0.8835,0.075,0.222
10,800,0.13,3,0.8779,-0.2302,0.2242
8,700,0.13,3,0.8761,-0.2246,0.2242
4,800,0.8,3,0.8913,-0.5187,0.2242
6,800,0.05,3,0.8504,-0.0984,0.2242
10,500,0.6,2,0.893,-0.071,0.222
4,400,0.15,1,0.8808,0.1475,0.2045
4,1000,0.03,3,0.8357,-0.0582,0.2242
6,600,0.4,1,0.9032,-0.0015,0.2045
6,100,0.05,2,0.7487,0.3765,0.222
10,500,0.07,2,0.8592,0.27,0.222
4,1200,0.09,3,0.8785,-0.1145,0.2242
6,1200,0.05,1,0.8795,0.1584,0.2045
4,300,0.03,2,0.7839,0.3568,0.222
8,400,0.05,1,0.8317,0.2197,0.2045
6,200,0.2,2,0.8627,0.2154,0.222
10,700,0.05,3,0.8443,-0.1129,0.2242
4,900,0.09,2,0.8809,0.146,0.222
4,200,0.6,2,0.885,0.0799,0.222
8,700,0.07,3,0.8574,-0.1797,0.2242
8,100,0.8,3,0.8609,-0.1662,0.2242
6,700,0.6,3,0.8902,-0.1821,0.2242
8,100,0.2,3,0.8178,-0.0213,0.2242
10,1000,0.4,2,0.8954,-0.0075,0.222
6,600,0.6,2,0.8945,-0.0462,0.222
8,1000,0.05,2,0.87,0.1256,0.222
4,1400,0.11,3,0.8838,-0.2298,0.2242
6,900,0.03,1,0.8492,0.2218,0.2045
6,300,0.07,3,0.8205,-0.0745,0.2242
6,100,0.15,3,0.798,-0.0439,0.2242
