leaves,trees,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,600,0.09,3,0.8757,-0.2097,0.2622
6,1400,0.01,2,0.817,0.1055,0.1954
8,200,0.13,2,0.8516,0.0199,0.1954
6,1200,0.15,3,0.897,-0.2468,0.2622
8,800,0.09,1,0.8798,0.1603,0.1007
8,400,0.09,1,0.8595,0.2189,0.1007
10,200,0.13,3,0.8432,-0.1486,0.2622
6,900,0.11,2,0.8881,-0.1466,0.1954
4,800,0.05,3,0.8616,-0.2222,0.2622
8,200,0.15,2,0.8578,0.1454,0.1954
6,700,0.15,2,0.8894,0.0154,0.1954
10,200,0.03,3,0.7506,0.0189,0.2622
10,1200,0.6,3,0.9044,-0.1727,0.2622
8,1400,0.2,1,0.8961,-0.0947,0.1007
8,300,0.01,2,0.7166,0.23,0.1954
10,1000,0.8,2,0.9001,-0.7175,0.1954
6,1000,0.13,1,0.8895,0.1322,0.1007
10,1400,0.09,1,0.8887,0.1698,0.1007
8,300,0.2,3,0.8771,-0.3329,0.2622
4,1200,0.4,2,0.8997,-0.1421,0.1954
6,1000,0.4,1,0.8976,-0.1096,0.1007
4,800,0.6,3,0.903,-0.2555,0.2622
8,800,0.15,2,0.8911,0.1034,0.1954
4,600,0.15,2,0.8859,0.194,0.1954
4,900,0.15,3,0.894,-0.3378,0.2622
4,100,0.09,3,0.7669,0.0078,0.2622
4,1400,0.05,3,0.8808,-0.2744,0.2622
10,900,0.6,2,0.8996,-1.2183,0.1954
8,1400,0.8,3,0.9051,-0.2843,0.2622
6,1200,0.09,2,0.8894,-0.1081,0.1954
6,200,0.2,1,0.863,0.0218,0.1007
6,200,0.05,2,0.7928,0.1181,0.1954
4,900,0.2,3,0.8981,-0.3421,0.2622
4,700,0.09,2,0.8801,-0.3352,0.1954
8,100,0.01,2,0.5219,0.2607,0.1954
6,1400,0.8,1,0.9,-0.1788,0.1007
4,700,0.03,1,0.8277,0.2784,0.1007
4,1200,0.6,3,0.9044,-0.2441,0.2622
10,500,0.8,1,0.8958,0.1179,0.1007
4,300,0.11,2,0.8625,0.0534,0.1954
6,800,0.05,3,0.8617,-0.1684,0.2622
10,1400,0.03,2,0.87,0.0264,0.1954
6,400,0.6,3,0.899,-0.1844,0.2622
10,700,0.8,2,0.8992,-0.6845,0.1954
6,900,0.2,1,0.8929,-0.0764,0.1007
6,600,0.05,2,0.8563,0.0462,0.1954
8,1400,0.01,1,0.8011,0.2392,0.1007
10,1200,0.15,3,0.8973,-0.293,0.2622
8,500,0.8,1,0.896,-0.0964,0.1007
4,500,0.03,1,0.8046,0.2744,0.1007
