leaves,trees,l2_leaf_reg,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10.0,600.0,15.0,0.2,3.0,0.8112,0.6063,0.1956
10.0,700.0,4.0,0.05,3.0,0.8034,0.5989,0.1956
10.0,900.0,10.0,0.05,3.0,0.8025,0.5961,0.1956
8.0,800.0,6.0,0.07,3.0,0.808,0.5926,0.1956
4.0,700.0,6.0,0.03,3.0,0.7916,0.5871,0.1956
8.0,800.0,10.0,0.4,3.0,0.8153,0.5859,0.1956
6.0,1400.0,2.0,0.8,3.0,0.8161,0.5846,0.1956
6.0,900.0,15.0,0.13,3.0,0.8111,0.5806,0.1956
4.0,700.0,4.0,0.11,3.0,0.8113,0.5743,0.1956
10.0,600.0,2.0,0.01,3.0,0.7553,0.5555,0.1956
8.0,700.0,6.0,0.4,3.0,0.8153,0.5522,0.1956
10.0,20.0,6.0,0.6,3.0,0.7697,0.55,0.1956
4.0,60.0,4.0,0.11,3.0,0.7507,0.54,0.1956
10.0,60.0,15.0,0.09,3.0,0.7444,0.5377,0.1956
4.0,300.0,10.0,0.8,3.0,0.8146,0.4927,0.1956
8.0,400.0,10.0,0.13,2.0,0.8126,0.1941,0.373
4.0,900.0,15.0,0.01,2.0,0.7593,0.1397,0.373
10.0,300.0,15.0,0.11,2.0,0.7995,0.1352,0.373
8.0,100.0,10.0,0.01,2.0,0.5394,0.1046,0.373
10.0,300.0,6.0,0.09,2.0,0.8056,0.0899,0.373
4.0,300.0,2.0,0.07,2.0,0.8022,0.0476,0.373
10.0,500.0,15.0,0.03,2.0,0.7798,0.0261,0.373
8.0,900.0,6.0,0.4,2.0,0.826,-0.0248,0.373
8.0,700.0,2.0,0.4,2.0,0.8265,-0.0376,0.373
8.0,300.0,15.0,0.09,2.0,0.7961,-0.0382,0.373
8.0,300.0,15.0,0.09,2.0,0.7961,-0.0382,0.373
10.0,20.0,2.0,0.4,2.0,0.7651,-0.0649,0.373
10.0,500.0,6.0,0.8,2.0,0.8264,-0.0875,0.373
8.0,500.0,6.0,0.6,2.0,0.8259,-0.1937,0.373
8.0,20.0,6.0,0.2,1.0,0.7585,-0.245,0.2727
6.0,600.0,15.0,0.8,2.0,0.8262,-0.2576,0.373
10.0,100.0,4.0,0.05,1.0,0.7768,-0.289,0.2727
6.0,60.0,6.0,0.09,1.0,0.7738,-0.2912,0.2727
8.0,700.0,15.0,0.6,2.0,0.8256,-0.3208,0.373
4.0,300.0,15.0,0.09,1.0,0.8177,-0.4605,0.2727
6.0,200.0,2.0,0.8,2.0,0.8248,-0.4698,0.373
10.0,300.0,15.0,0.07,1.0,0.8136,-0.5024,0.2727
8.0,500.0,4.0,0.07,1.0,0.831,-0.5097,0.2727
6.0,1400.0,4.0,0.8,2.0,0.8272,-0.5719,0.373
6.0,800.0,4.0,0.05,1.0,0.8333,-0.5907,0.2727
10.0,200.0,6.0,0.2,1.0,0.8316,-0.5916,0.2727
4.0,800.0,4.0,0.05,1.0,0.8328,-0.5975,0.2727
4.0,1200.0,6.0,0.05,1.0,0.8361,-0.599,0.2727
6.0,500.0,10.0,0.15,1.0,0.8373,-0.6002,0.2727
4.0,600.0,2.0,0.13,1.0,0.8405,-0.6232,0.2727
8.0,100.0,6.0,0.4,1.0,0.8328,-0.6447,0.2727
8.0,300.0,15.0,0.8,1.0,0.8428,-0.7402,0.2727
4.0,600.0,6.0,0.4,1.0,0.8442,-0.7476,0.2727
10.0,800.0,4.0,0.6,1.0,0.845,-0.845,0.2727
10.0,1200.0,4.0,0.6,1.0,0.8452,-0.8557,0.2727
