leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
6.0,800.0,2.0,0.07,0.851994139788283,0.8596941980048863,0.1864
8.0,600.0,1.0,0.5,0.8574419284340854,0.858373635320921,0.176
9.0,350.0,3.0,0.5,0.857900189472787,0.8561401285672927,0.1829
5.0,800.0,3.0,0.09,0.8547205906064189,0.8556678973651578,0.1803
8.0,600.0,1.0,0.8,0.8592986852539088,0.8535555181665676,0.1745
7.0,250.0,2.0,0.6,0.8569488350985457,0.8530468410463597,0.1738
5.0,1000.0,3.0,0.2,0.859034650513946,0.8521306902748681,0.1814
8.0,400.0,1.0,0.8,0.8597640512057533,0.850061822850136,0.1818
4.0,200.0,3.0,0.7,0.8581073694468437,0.8493470657159711,0.1832
7.0,400.0,1.0,0.4,0.8593498162743048,0.8488941778642318,0.1848
10.0,900.0,3.0,0.15,0.8584575108012542,0.8487973758530987,0.181
9.0,350.0,1.0,0.12,0.8516307470459017,0.8485247752886473,0.1807
7.0,350.0,1.0,0.2,0.8562670734479525,0.8483187295953124,0.1752
10.0,800.0,1.0,0.04,0.847792970436337,0.8480747164940475,0.1716
9.0,900.0,1.0,0.09,0.8565417826203323,0.8479325939722867,0.1779
6.0,900.0,2.0,0.07,0.8559462609234915,0.8471353184690897,0.1812
8.0,300.0,2.0,0.5,0.8576953228539203,0.847021901163135,0.1778
6.0,150.0,3.0,0.7,0.8584149735813846,0.8467532837121337,0.1814
9.0,1000.0,1.0,0.12,0.8590674593538283,0.8467301230471853,0.1883
7.0,800.0,3.0,0.6,0.8608740512724181,0.8461389564956636,0.186
7.0,250.0,3.0,0.4,0.8582396112921851,0.84471833510756,0.1797
6.0,150.0,1.0,0.14,0.8395920522114529,0.8445952961139922,0.1795
4.0,350.0,1.0,0.6,0.8609714887840276,0.8445577027206401,0.1803
6.0,200.0,2.0,0.15,0.846831794515593,0.8438804089577642,0.1802
9.0,350.0,3.0,0.6,0.8597833322233835,0.8438175596969308,0.1794
9.0,500.0,2.0,0.08,0.8506581704057354,0.842679050966644,0.1876
9.0,900.0,2.0,0.14,0.8596017316007678,0.8424191409836952,0.1822
4.0,250.0,2.0,0.2,0.8543973592260128,0.8416899072742543,0.1825
4.0,400.0,3.0,0.15,0.8560228118252415,0.8405844747722877,0.1804
4.0,500.0,1.0,0.14,0.8579966005873707,0.840441267409865,0.1798
