min_CNLs,accuracy_train,accuracy_test,leaf,tree,random_seed,removeminusones,consensus_threshold,consensus_algorithm
1,0.8985833003561535,0.6920704046452549,8,200,1,1,0.2,removal
1,0.8860246348942362,0.6121957196536514,10,1600,3,1,0.2,removal
1,0.8718807928133466,0.5907105606258148,8,200,2,0,0.25,replacement
1,0.8983212774669033,0.5987175298153896,4,800,3,0,0.1,replacement
1,0.8807025214983238,0.724157745115829,6,800,1,1,0.25,replacement
1,0.8674764569400846,0.6142378696291456,8,400,3,1,0.1,replacement
1,0.8938930185104212,0.7200750015121272,4,400,1,1,0.2,replacement
1,0.8954220915581689,0.6194263363754889,10,50,2,0,0.2,removal
1,0.8855691222257557,0.6097042966835484,10,400,3,1,0.1,removal
1,0.8828887917213234,0.6957902377064054,6,50,1,0,0.1,replacement
2,0.8750970005735687,0.7307763230684123,10,800,2,1,0.1,removal
2,0.9219350978660361,0.6626189209950955,6,600,1,0,0.2,removal
2,0.886579656688892,0.6467759173494835,6,1000,3,0,0.1,replacement
2,0.84930826534232,0.7560851926977687,10,1600,2,1,0.1,replacement
2,0.8738559772969138,0.7530886962935645,6,100,2,1,0.1,replacement
2,0.8784469963284118,0.6832417420079182,8,1000,1,1,0.25,replacement
2,0.9142254511366299,0.6651302960468002,4,50,1,0,0.2,replacement
2,0.8741504569955473,0.6567984399929091,10,1200,1,0,0.1,replacement
2,0.9000681140911025,0.7303153236216117,6,600,2,0,0.2,removal
2,0.8545893034472974,0.6589775561097256,10,100,3,1,0.25,replacement
3,0.8937037282173959,0.6606858054226475,8,50,2,1,0.2,removal
3,0.8626127893291486,0.6277774358343079,10,1600,1,0,0.2,replacement
3,0.9122393412139727,0.6728934572536468,6,1200,1,1,0.25,removal
3,0.9133803179175883,0.5859539602028873,8,800,3,0,0.2,removal
3,0.9034280203401719,0.6903736074352188,8,600,1,1,0.2,removal
3,0.8888185487061803,0.5498244245025361,8,50,3,0,0.1,replacement
3,0.9183631017104604,0.6119275461380724,4,1400,2,0,0.2,removal
3,0.8817709445512136,0.6229778992936887,6,200,2,0,0.2,replacement
3,0.8977151398676062,0.6206425153793574,4,1200,2,0,0.2,replacement
3,0.9110117482027004,0.6853265218194128,6,400,1,1,0.2,removal
4,0.9137146446004165,0.5864678025148332,4,1400,3,0,0.1,removal
4,0.9134292107541633,0.6065538076315933,4,1000,3,1,0.2,removal
4,0.8637506667682695,0.7743868910150665,8,600,1,0,0.1,replacement
4,0.8897236831121129,0.7110844637637712,4,1400,2,0,0.25,replacement
4,0.8934710677104349,0.5478199335909858,4,600,3,0,0.25,replacement
4,0.8898393995641998,0.5568559142126177,4,600,3,1,0.2,replacement
4,0.8762004680816722,0.5700288498176473,6,600,3,1,0.1,replacement
4,0.8472326571500125,0.7239376452072248,10,600,2,0,0.25,replacement
4,0.8594833498437857,0.7636093698449357,8,50,1,1,0.1,replacement
4,0.8910593538692713,0.7109345724349846,4,800,2,0,0.1,replacement
5,0.874394006170119,0.7240950676213206,8,1200,1,0,0.2,replacement
5,0.8939488969485424,0.7061953062848051,10,1000,1,0,0.25,removal
5,0.8988589064756349,0.633155765610606,8,200,3,1,0.1,removal
5,0.8724675324675325,0.6251483679525223,8,400,2,0,0.2,replacement
5,0.8925871393379958,0.6458525253334402,10,1600,3,1,0.1,removal
5,0.879084364039136,0.608202827732607,6,1200,3,0,0.25,replacement
5,0.8715151515151515,0.6310830860534125,8,1200,2,0,0.2,replacement
5,0.8877607531844194,0.6284295269756078,4,1600,3,1,0.2,replacement
5,0.8988916273907842,0.6245443986061602,10,1600,3,0,0.2,removal
5,0.8970471573380344,0.7153937947494033,4,1400,1,0,0.25,replacement
6,0.8731737012987013,0.6392362810984022,8,800,3,1,0.25,replacement
6,0.8962406015037594,0.5893453202189683,10,600,3,0,0.2,removal
6,0.9223161359387733,0.5755930392985892,4,400,3,0,0.25,removal
6,0.8994713276150402,0.6810281741675814,6,600,2,1,0.2,removal
6,0.8640907862739801,0.6823088181485547,8,1000,2,1,0.2,replacement
6,0.8928550682544293,0.7042499398025523,8,1000,1,0,0.2,removal
6,0.8765656372502151,0.7397062364555743,6,1600,1,0,0.1,replacement
6,0.8997653614899546,0.7135203467372984,6,1000,1,1,0.25,removal
6,0.8715938426235778,0.6604261979292078,6,50,1,1,0.1,replacement
6,0.851802275552156,0.7191187093667228,10,1200,1,0,0.1,replacement
7,0.8621832358674464,0.699086824177417,8,600,1,0,0.1,replacement
7,0.9131728471266005,0.6573640107939214,4,600,3,1,0.2,removal
7,0.8719298245614036,0.7222785911001595,6,100,1,0,0.1,replacement
7,0.9066339066339066,0.6002698480329499,6,1200,3,0,0.25,removal
7,0.9064546304957904,0.7266270473981736,4,1000,1,1,0.1,removal
7,0.9013025655635218,0.597926430904701,8,50,3,0,0.2,removal
7,0.9060718472483178,0.5967902286607016,6,600,3,0,0.25,removal
7,0.8538694336359706,0.6400833783679456,10,1600,2,1,0.25,replacement
7,0.9093202987571013,0.7351790114509349,4,1000,1,0,0.25,removal
7,0.9068619080145719,0.7277866357443108,4,600,1,1,0.2,removal
8,0.8640448126969308,0.7166566536497446,8,1600,3,0,0.2,replacement
8,0.8852056476365868,0.6427354069024286,8,600,2,1,0.25,removal
8,0.8583265258489905,0.71432862721538,8,100,3,0,0.2,replacement
8,0.8805064927657471,0.6464103110353643,10,800,2,1,0.2,removal
8,0.8978684838872719,0.7582607389606488,6,50,3,0,0.25,removal
8,0.8950471892345956,0.6776189027482,8,50,1,1,0.25,removal
8,0.8911832186168469,0.7052023121387283,4,100,1,1,0.25,replacement
8,0.854122621564482,0.45126757562846187,10,1000,2,1,0.25,replacement
8,0.8750145874664488,0.7307750075097627,6,1600,3,0,0.25,replacement
8,0.8686769365235442,0.7013487475915221,8,800,1,1,0.2,replacement
9,0.8827626918536009,0.6563765889090655,6,100,2,0,0.2,replacement
9,0.8855962219598583,0.6616845928202263,6,800,2,0,0.25,replacement
9,0.8846517119244391,0.6504400055873726,6,200,2,1,0.2,replacement
9,0.9061811312834506,0.6739790046385101,10,600,3,1,0.2,removal
9,0.9201618551085519,0.6299305967286297,6,800,3,0,0.1,removal
9,0.8733175914994097,0.6545606928341947,8,400,2,1,0.25,replacement
9,0.8975225225225225,0.6188150807899462,4,1400,1,1,0.1,replacement
9,0.8952774498229044,0.6570051683195977,4,800,2,0,0.25,replacement
9,0.9127829431890669,0.6741113105924597,4,50,1,0,0.25,removal
9,0.8957918543289584,0.6726032315978456,8,800,1,0,0.25,removal
10,0.8648860080464909,0.5829272127024053,8,200,1,0,0.1,replacement
10,0.8943037395995246,0.6297686993091018,8,1200,2,0,0.2,removal
10,0.9009503581842399,0.6318714328627215,6,1200,2,0,0.1,removal
10,0.8525123373710184,0.557912100860139,10,1600,3,1,0.2,replacement
10,0.8642889187976671,0.5640391186520561,8,200,3,0,0.25,replacement
10,0.8523692445239159,0.5733375255462978,10,100,1,0,0.2,replacement
10,0.8905816430655759,0.6679767332180475,8,1000,1,0,0.1,removal
10,0.8589757893562423,0.6324722138780414,10,600,2,1,0.25,replacement
10,0.8822413429661,0.5655708731000354,10,400,3,1,0.25,removal
10,0.8869448183041723,0.5635678095911394,4,400,3,1,0.2,replacement
