leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,800,1,0.2,2,0.8719,0.33,0.1454
8,1400,1,0.02,2,0.8634,0.4122,0.1454
6,60,1,0.2,2,0.85,0.3892,0.1454
10,100,1,0.8,2,0.87,0.1128,0.1454
6,60,1,0.02,3,0.5928,0.3135,0.1968
4,500,1,0.06,1,0.8668,0.5103,0.2191
4,900,1,0.04,2,0.8668,0.3703,0.1454
8,20,1,0.2,1,0.7729,0.543,0.2191
8,1200,1,0.12,3,0.892,0.2827,0.1968
10,20,1,0.2,2,0.7797,0.4404,0.1454
10,600,1,0.04,2,0.8612,0.4309,0.1454
8,100,1,0.4,1,0.8664,0.1716,0.2191
10,800,1,0.04,1,0.866,0.5227,0.2191
6,60,1,0.08,3,0.8084,0.396,0.1968
8,1200,1,0.4,1,0.8746,0.1368,0.2191
4,300,1,0.14,1,0.8689,0.4518,0.2191
4,300,1,0.1,2,0.8649,0.429,0.1454
6,300,1,0.12,3,0.8878,0.3968,0.1968
6,900,1,0.4,3,0.8932,0.2458,0.1968
4,800,1,0.1,2,0.8705,0.4027,0.1454
6,100,1,0.2,2,0.8615,0.3788,0.1454
6,500,1,0.2,1,0.873,0.4468,0.2191
4,1400,1,0.14,1,0.8743,0.4334,0.2191
6,400,1,0.14,3,0.8901,0.357,0.1968
10,200,1,0.14,2,0.862,0.3625,0.1454
10,700,1,0.08,2,0.8683,0.3436,0.1454
6,700,1,0.12,1,0.8719,0.5164,0.2191
4,1000,1,0.04,3,0.8882,0.364,0.1968
6,1200,1,0.2,1,0.8741,0.4399,0.2191
10,100,1,0.6,2,0.869,0.0731,0.1454
6,600,1,0.08,1,0.8697,0.5207,0.2191
10,500,1,0.04,3,0.8801,0.3697,0.1968
8,800,1,0.12,2,0.8706,0.4007,0.1454
10,900,1,0.12,3,0.8914,0.364,0.1968
4,100,1,0.4,1,0.8687,0.3634,0.2191
8,600,1,0.04,3,0.8833,0.3525,0.1968
10,600,1,0.04,2,0.8612,0.4309,0.1454
10,1200,1,0.1,2,0.8711,0.3315,0.1454
4,700,1,0.6,1,0.8748,0.2971,0.2191
4,500,1,0.14,2,0.87,0.3769,0.1454
4,200,1,0.06,3,0.8711,0.3437,0.1968
4,400,1,0.08,3,0.8866,0.3152,0.1968
4,1400,1,0.1,3,0.8926,0.2868,0.1968
4,700,1,0.4,1,0.8745,0.3961,0.2191
8,1000,1,0.12,2,0.8712,0.3985,0.1454
10,700,1,0.04,1,0.8648,0.5234,0.2191
6,900,1,0.6,1,0.8747,0.2868,0.2191
10,100,1,0.8,2,0.87,0.1128,0.1454
6,1400,1,0.6,2,0.873,0.2766,0.1454
10,400,1,0.08,3,0.8858,0.3309,0.1968
4,200,1,0.04,2,0.8273,0.4492,0.1454
6,500,1,0.12,3,0.8902,0.3908,0.1968
6,900,1,0.2,2,0.8721,0.3286,0.1454
10,900,1,0.1,2,0.8703,0.3357,0.1454
