leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,900,1,0.1,3,0.918,0.2883,0.2045
4,1000,1,0.8,2,0.9262,0.2714,0.1447
4,400,1,0.4,2,0.9237,0.45,0.1447
8,800,1,0.6,2,0.9258,0.4695,0.1447
6,800,1,0.08,1,0.9216,0.5415,0.1914
6,60,1,0.06,2,0.7641,0.5156,0.1447
6,1000,1,0.6,1,0.9308,0.4601,0.1914
10,1000,1,0.1,3,0.9187,0.2932,0.2045
8,500,1,0.14,3,0.9165,0.2195,0.2045
10,900,1,0.06,3,0.9123,0.3416,0.2045
6,1000,1,0.1,3,0.9194,0.2823,0.2045
8,20,1,0.14,3,0.7427,0.1842,0.2045
8,200,1,0.06,3,0.8548,0.2466,0.2045
10,700,1,0.08,1,0.9173,0.5501,0.1914
10,700,1,0.12,3,0.9178,0.3835,0.2045
6,400,1,0.8,3,0.9235,-0.2451,0.2045
4,1000,1,0.2,2,0.9243,0.6057,0.1447
8,1000,1,0.04,2,0.9075,0.6023,0.1447
4,100,1,0.6,1,0.9209,0.1513,0.1914
6,200,1,0.4,2,0.9196,0.4598,0.1447
10,1400,1,0.04,2,0.9129,0.6243,0.1447
8,60,1,0.1,3,0.8032,0.1762,0.2045
8,600,1,0.6,2,0.9255,0.4677,0.1447
4,400,1,0.08,2,0.9019,0.597,0.1447
4,1400,1,0.8,2,0.9262,0.2677,0.1447
8,800,1,0.6,2,0.9258,0.4695,0.1447
4,800,1,0.8,3,0.924,-0.1179,0.2045
6,600,1,0.6,1,0.9303,0.4591,0.1914
6,20,1,0.12,1,0.7445,0.386,0.1914
8,100,1,0.1,2,0.8383,0.6085,0.1447
4,200,1,0.1,1,0.8914,0.5199,0.1914
8,700,1,0.8,1,0.9307,0.113,0.1914
8,600,1,0.6,3,0.9235,0.1362,0.2045
4,1000,1,0.08,2,0.9186,0.5981,0.1447
6,1000,1,0.06,2,0.9153,0.587,0.1447
10,400,1,0.06,3,0.8909,0.307,0.2045
6,500,1,0.08,2,0.9077,0.5718,0.1447
4,20,1,0.2,3,0.7752,0.1192,0.2045
4,1200,1,0.04,1,0.9167,0.5499,0.1914
10,400,1,0.14,2,0.9128,0.6399,0.1447
4,800,1,0.02,2,0.8727,0.6019,0.1447
6,200,1,0.04,2,0.8219,0.5974,0.1447
6,60,1,0.12,3,0.8131,0.1714,0.2045
4,60,1,0.04,3,0.7187,0.2628,0.2045
8,600,1,0.12,3,0.916,0.2854,0.2045
10,60,1,0.12,3,0.8113,0.2385,0.2045
8,400,1,0.4,3,0.9215,0.1846,0.2045
4,1400,1,0.2,1,0.9299,0.5379,0.1914
6,800,1,0.1,1,0.9238,0.4832,0.1914
10,200,1,0.2,1,0.9107,0.4892,0.1914
10,1200,1,0.12,3,0.9208,0.3958,0.2045
8,800,1,0.02,3,0.8708,0.2598,0.2045
10,800,1,0.8,3,0.9239,0.2708,0.2045
6,300,1,0.08,3,0.8909,0.252,0.2045
4,1200,1,0.2,1,0.9295,0.5381,0.1914
6,20,1,0.8,2,0.8611,0.3816,0.1447
8,200,1,0.12,2,0.8911,0.5883,0.1447
6,900,1,0.2,1,0.9286,0.5686,0.1914
8,20,1,0.4,2,0.8076,0.4974,0.1447
10,500,1,0.04,1,0.8904,0.5149,0.1914
8,600,1,0.12,2,0.917,0.5885,0.1447
8,900,1,0.6,3,0.9239,0.1363,0.2045
8,400,1,0.12,3,0.9094,0.2707,0.2045
4,200,1,0.4,1,0.9239,0.4622,0.1914
8,400,1,0.14,3,0.9136,0.2112,0.2045
4,1200,1,0.12,3,0.9216,0.3567,0.2045
8,600,1,0.12,1,0.9224,0.4451,0.1914
8,100,1,0.6,1,0.9196,0.2991,0.1914
6,500,1,0.14,3,0.9165,0.3185,0.2045
8,60,1,0.04,2,0.7136,0.5121,0.1447
6,200,1,0.6,3,0.9212,0.0872,0.2045
8,1400,1,0.2,1,0.9296,0.5545,0.1914
10,20,1,0.08,3,0.6463,0.2609,0.2045
4,20,1,0.2,2,0.7736,0.5222,0.1447
10,100,1,0.02,2,0.6843,0.4869,0.1447
6,500,1,0.08,3,0.9065,0.2743,0.2045
4,1400,1,0.08,3,0.9204,0.3269,0.2045
4,20,1,0.04,1,0.5013,0.3479,0.1914
6,300,1,0.08,2,0.8934,0.5657,0.1447
10,600,1,0.1,1,0.9195,0.5431,0.1914
