leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
4,700,1,0.14,3,0.8849,0.449,0.2387
10,100,1,0.04,2,0.7658,0.536,0.1832
6,900,1,0.2,3,0.8855,0.5035,0.2387
8,60,1,0.02,2,0.5677,0.37,0.1832
10,1200,1,0.4,2,0.8686,0.5201,0.1832
8,500,1,0.8,3,0.8863,0.2314,0.2387
10,800,1,0.8,3,0.8864,0.2208,0.2387
6,1200,1,0.14,3,0.8854,0.4589,0.2387
4,200,1,0.1,1,0.8358,0.384,0.1744
10,500,1,0.8,2,0.8684,0.2377,0.1832
8,600,1,0.2,3,0.8846,0.4765,0.2387
8,1000,1,0.08,2,0.866,0.5818,0.1832
8,20,1,0.2,1,0.7429,0.2774,0.1744
8,100,1,0.2,1,0.8338,0.3783,0.1744
8,100,1,0.02,2,0.6716,0.4637,0.1832
4,800,1,0.6,1,0.8492,0.4224,0.1744
10,400,1,0.2,3,0.883,0.4642,0.2387
10,1000,1,0.08,3,0.8834,0.4806,0.2387
6,900,1,0.12,2,0.8671,0.5256,0.1832
10,500,1,0.8,2,0.8684,0.2377,0.1832
10,900,1,0.4,1,0.8487,0.4702,0.1744
4,700,1,0.2,1,0.8479,0.3021,0.1744
4,400,1,0.2,2,0.8667,0.5149,0.1832
6,1400,1,0.1,3,0.885,0.4062,0.2387
6,600,1,0.2,3,0.8848,0.505,0.2387
4,20,1,0.2,3,0.7849,0.431,0.2387
8,200,1,0.04,3,0.8368,0.5042,0.2387
6,200,1,0.6,2,0.8674,0.403,0.1832
4,20,1,0.02,3,0.3082,0.2003,0.2387
6,900,1,0.04,3,0.8798,0.5049,0.2387
4,800,1,0.1,1,0.8466,0.3937,0.1744
8,300,1,0.8,1,0.8487,0.0323,0.1744
6,100,1,0.08,2,0.8219,0.5759,0.1832
8,800,1,0.08,2,0.8653,0.583,0.1832
4,300,1,0.06,1,0.8334,0.3686,0.1744
8,200,1,0.4,2,0.8663,0.411,0.1832
8,200,1,0.02,1,0.7357,0.298,0.1744
6,60,1,0.04,1,0.6798,0.2434,0.1744
4,1400,1,0.2,2,0.8686,0.5092,0.1832
4,400,1,0.4,3,0.8857,0.3263,0.2387
6,60,1,0.1,3,0.8118,0.4843,0.2387
8,700,1,0.1,2,0.8658,0.5762,0.1832
8,100,1,0.02,3,0.6923,0.4626,0.2387
4,1000,1,0.04,3,0.8808,0.4901,0.2387
8,500,1,0.1,3,0.8814,0.466,0.2387
6,900,1,0.2,1,0.8481,0.1039,0.1744
10,100,1,0.4,1,0.8415,0.4685,0.1744
6,1400,1,0.1,1,0.8479,0.3288,0.1744
4,900,1,0.2,1,0.8484,0.3022,0.1744
8,900,1,0.6,3,0.8864,0.3877,0.2387
4,60,1,0.08,1,0.7531,0.3613,0.1744
10,100,1,0.6,2,0.865,0.322,0.1832
6,300,1,0.1,2,0.8608,0.5797,0.1832
4,1400,1,0.4,3,0.8865,0.3248,0.2387
8,200,1,0.06,2,0.8448,0.5356,0.1832
8,400,1,0.04,3,0.8678,0.4761,0.2387
4,200,1,0.4,2,0.8661,0.4165,0.1832
10,600,1,0.1,3,0.8826,0.482,0.2387
6,20,1,0.6,2,0.8405,0.4079,0.1832
6,200,1,0.02,2,0.7638,0.5243,0.1832
10,1400,1,0.02,3,0.8771,0.4928,0.2387
4,1200,1,0.06,3,0.8838,0.4563,0.2387
4,600,1,0.04,1,0.8376,0.3608,0.1744
10,800,1,0.02,2,0.852,0.5762,0.1832
10,500,1,0.6,3,0.8859,0.2855,0.2387
8,500,1,0.04,2,0.8565,0.5196,0.1832
10,100,1,0.14,1,0.8259,0.3436,0.1744
6,400,1,0.1,3,0.8808,0.4157,0.2387
10,100,1,0.06,1,0.7719,0.3338,0.1744
6,900,1,0.06,3,0.8821,0.4607,0.2387
10,900,1,0.06,3,0.8817,0.4386,0.2387
6,700,1,0.02,3,0.8656,0.484,0.2387
4,700,1,0.8,3,0.8865,0.4345,0.2387
10,100,1,0.02,1,0.643,0.24,0.1744
10,900,1,0.2,1,0.8478,0.3875,0.1744
8,800,1,0.02,2,0.8527,0.578,0.1832
8,600,1,0.08,2,0.8638,0.5853,0.1832
4,1400,1,0.6,2,0.8688,0.4417,0.1832
8,400,1,0.8,1,0.8489,0.0305,0.1744
10,900,1,0.06,3,0.8817,0.4386,0.2387
8,1200,1,0.14,3,0.8852,0.4609,0.2387
4,1400,1,0.08,3,0.8851,0.5308,0.2387
