leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,400,1,0.2,2,0.9242,0.4649,0.2258
10,700,1,0.12,1,0.9203,0.4662,0.186
8,200,1,0.04,1,0.8294,0.4721,0.186
6,100,1,0.14,1,0.871,0.4827,0.186
6,900,1,0.08,1,0.9199,0.4433,0.186
10,1400,1,0.02,3,0.9038,0.4318,0.2114
6,100,1,0.1,2,0.8452,0.3945,0.2258
8,100,1,0.1,3,0.8481,0.4602,0.2114
6,700,1,0.1,2,0.9226,0.4914,0.2258
10,100,1,0.14,3,0.869,0.3566,0.2114
4,20,1,0.6,3,0.8504,0.3179,0.2114
8,400,1,0.4,3,0.929,0.4253,0.2114
8,300,1,0.14,2,0.9149,0.4655,0.2258
6,100,1,0.14,2,0.8717,0.3627,0.2258
10,800,1,0.12,2,0.9244,0.4889,0.2258
4,300,1,0.02,1,0.8126,0.4955,0.186
8,20,1,0.06,2,0.5936,0.273,0.2258
10,1200,1,0.04,2,0.9165,0.512,0.2258
6,500,1,0.02,1,0.8468,0.4692,0.186
8,500,1,0.14,1,0.9188,0.4281,0.186
10,1000,1,0.2,1,0.9255,0.436,0.186
4,100,1,0.04,2,0.7782,0.3999,0.2258
8,100,1,0.06,3,0.8126,0.4009,0.2114
8,300,1,0.02,2,0.808,0.4186,0.2258
8,600,1,0.06,2,0.9107,0.4767,0.2258
4,200,1,0.12,2,0.9001,0.461,0.2258
10,800,1,0.12,2,0.9244,0.4889,0.2258
4,800,1,0.8,1,0.9279,0.1694,0.186
4,20,1,0.4,3,0.8265,0.3372,0.2114
6,900,1,0.1,2,0.9251,0.4923,0.2258
8,60,1,0.04,1,0.7312,0.4461,0.186
4,600,1,0.14,3,0.9257,0.4568,0.2114
10,100,1,0.08,2,0.8246,0.4471,0.2258
6,200,1,0.04,3,0.8316,0.4307,0.2114
10,600,1,0.6,1,0.9272,0.4172,0.186
8,300,1,0.6,3,0.9293,0.2792,0.2114
10,600,1,0.14,1,0.92,0.4904,0.186
8,300,1,0.2,2,0.9198,0.4146,0.2258
4,600,1,0.04,3,0.8992,0.4267,0.2114
8,200,1,0.2,2,0.9127,0.4016,0.2258
6,300,1,0.1,1,0.9035,0.4811,0.186
6,1200,1,0.14,2,0.9287,0.4373,0.2258
4,1400,1,0.4,2,0.9313,0.4727,0.2258
8,20,1,0.8,2,0.8684,0.2259,0.2258
4,1000,1,0.02,3,0.8912,0.4609,0.2114
10,1200,1,0.6,1,0.9279,0.4191,0.186
4,1200,1,0.06,3,0.9243,0.3282,0.2114
10,1400,1,0.06,3,0.9245,0.4277,0.2114
8,200,1,0.14,1,0.8999,0.4333,0.186
8,300,1,0.04,2,0.8612,0.4586,0.2258
8,100,1,0.6,2,0.92,0.432,0.2258
10,400,1,0.6,3,0.9302,0.0223,0.2114
6,400,1,0.12,3,0.9181,0.3801,0.2114
10,700,1,0.8,1,0.9277,0.1297,0.186
6,500,1,0.2,1,0.923,0.4887,0.186
4,1400,1,0.14,3,0.9301,0.4472,0.2114
6,60,1,0.02,3,0.6039,0.2979,0.2114
6,700,1,0.02,1,0.8712,0.48,0.186
8,100,1,0.2,1,0.8868,0.4643,0.186
6,900,1,0.02,2,0.8866,0.4759,0.2258
10,900,1,0.06,2,0.9184,0.5023,0.2258
4,400,1,0.1,2,0.913,0.4996,0.2258
6,800,1,0.02,2,0.8806,0.4719,0.2258
8,500,1,0.08,3,0.9144,0.4327,0.2114
10,800,1,0.8,2,0.9313,0.319,0.2258
8,20,1,0.08,2,0.6433,0.2831,0.2258
10,600,1,0.2,2,0.9259,0.467,0.2258
10,800,1,0.6,2,0.9311,0.525,0.2258
10,20,1,0.2,2,0.7776,0.3881,0.2258
10,60,1,0.6,1,0.907,0.4034,0.186
10,500,1,0.06,2,0.9067,0.4935,0.2258
