leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8,800,1,0.04,1,0.8394,0.3882,0.1744
10,300,1,0.06,3,0.8701,0.457,0.2387
6,1000,1,0.1,3,0.8843,0.4071,0.2387
4,900,1,0.1,1,0.8469,0.3919,0.1744
8,400,1,0.8,2,0.8685,0.3648,0.1832
8,1000,1,0.6,3,0.8864,0.3879,0.2387
10,300,1,0.06,1,0.8308,0.3447,0.1744
6,700,1,0.4,1,0.8488,0.5462,0.1744
4,500,1,0.8,1,0.8492,0.1582,0.1744
6,100,1,0.08,3,0.8402,0.5058,0.2387
8,1400,1,0.06,2,0.8662,0.5053,0.1832
10,700,1,0.12,1,0.846,0.3594,0.1744
6,1000,1,0.1,3,0.8843,0.4071,0.2387
8,800,1,0.02,3,0.8683,0.4905,0.2387
6,800,1,0.06,1,0.8442,0.3372,0.1744
10,700,1,0.12,2,0.8659,0.5381,0.1832
6,300,1,0.08,1,0.8381,0.3071,0.1744
10,1000,1,0.14,2,0.8671,0.4875,0.1832
6,600,1,0.2,3,0.8848,0.505,0.2387
8,500,1,0.04,2,0.8565,0.5196,0.1832
4,800,1,0.8,1,0.8493,0.1562,0.1744
6,1400,1,0.4,3,0.8864,0.4008,0.2387
4,100,1,0.1,3,0.8512,0.4995,0.2387
6,1000,1,0.02,3,0.8724,0.4779,0.2387
6,60,1,0.02,3,0.5875,0.3969,0.2387
8,900,1,0.02,1,0.8317,0.3687,0.1744
8,400,1,0.04,3,0.8678,0.4761,0.2387
6,300,1,0.8,2,0.8682,0.2073,0.1832
8,400,1,0.04,1,0.8295,0.4014,0.1744
4,20,1,0.8,1,0.8237,0.2106,0.1744
10,600,1,0.12,2,0.8652,0.5397,0.1832
10,800,1,0.2,1,0.8473,0.3875,0.1744
8,500,1,0.02,1,0.8127,0.3683,0.1744
8,100,1,0.4,1,0.8419,0.3137,0.1744
4,600,1,0.06,2,0.8631,0.5588,0.1832
6,500,1,0.08,2,0.8629,0.5625,0.1832
4,100,1,0.12,2,0.8477,0.5229,0.1832
4,1000,1,0.04,2,0.8637,0.5663,0.1832
8,500,1,0.14,1,0.8455,0.4921,0.1744
