leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,800,1,0.2,3,0.9295,0.4444,0.2114
4,800,1,0.8,1,0.9279,0.1694,0.186
10,700,1,0.06,1,0.9105,0.4798,0.186
8,60,1,0.14,2,0.8302,0.395,0.2258
8,900,1,0.14,2,0.9269,0.4899,0.2258
10,300,1,0.1,1,0.9028,0.4669,0.186
6,400,1,0.04,2,0.8805,0.4776,0.2258
8,1400,1,0.02,2,0.9047,0.5013,0.2258
6,800,1,0.1,1,0.9214,0.4841,0.186
4,1200,1,0.1,1,0.9239,0.4626,0.186
6,200,1,0.08,1,0.8772,0.4616,0.186
8,1000,1,0.04,2,0.9134,0.5094,0.2258
8,1400,1,0.8,2,0.9314,0.2122,0.2258
10,200,1,0.8,1,0.9246,0.1188,0.186
10,600,1,0.12,2,0.9216,0.488,0.2258
6,400,1,0.06,1,0.8968,0.4928,0.186
10,1000,1,0.06,3,0.9209,0.4366,0.2114
4,1400,1,0.14,2,0.9293,0.5429,0.2258
6,60,1,0.02,2,0.5822,0.2677,0.2258
4,500,1,0.8,3,0.9314,0.3516,0.2114
6,1200,1,0.8,3,0.9318,0.344,0.2114
8,600,1,0.2,3,0.9275,0.4522,0.2114
10,300,1,0.12,2,0.9095,0.4796,0.2258
6,1200,1,0.14,1,0.9255,0.5027,0.186
4,900,1,0.8,3,0.9317,0.3518,0.2114
6,500,1,0.14,2,0.9228,0.4192,0.2258
8,900,1,0.4,1,0.9272,0.3454,0.186
10,400,1,0.6,1,0.9265,0.4185,0.186
6,1000,1,0.14,1,0.9248,0.5018,0.186
6,400,1,0.8,2,0.9308,0.1619,0.2258
8,700,1,0.1,3,0.9233,0.4531,0.2114
10,300,1,0.14,2,0.9138,0.4701,0.2258
10,1200,1,0.8,2,0.9314,0.3167,0.2258
6,100,1,0.4,1,0.9114,0.4384,0.186
8,1000,1,0.6,1,0.9278,0.3891,0.186
8,300,1,0.8,1,0.9268,0.0961,0.186
8,1200,1,0.2,1,0.9263,0.4732,0.186
4,20,1,0.08,3,0.6687,0.3246,0.2114
6,600,1,0.04,3,0.8987,0.4703,0.2114
10,800,1,0.04,1,0.9046,0.4848,0.186
10,300,1,0.6,3,0.9294,0.0215,0.2114
10,800,1,0.2,3,0.928,0.4078,0.2114
10,700,1,0.6,3,0.9312,0.0115,0.2114
8,600,1,0.6,3,0.931,0.2809,0.2114
6,500,1,0.14,1,0.9197,0.4983,0.186
6,800,1,0.06,1,0.9138,0.4938,0.186
10,1200,1,0.02,3,0.8988,0.435,0.2114
10,1400,1,0.1,2,0.9272,0.4875,0.2258
10,900,1,0.02,1,0.8844,0.4883,0.186
8,100,1,0.6,1,0.9171,0.3782,0.186
8,200,1,0.4,2,0.9238,0.4843,0.2258
10,300,1,0.2,1,0.9163,0.429,0.186
4,1400,1,0.4,2,0.9313,0.4727,0.2258
8,100,1,0.6,3,0.9199,0.2788,0.2114
6,60,1,0.1,2,0.8075,0.3748,0.2258
6,1400,1,0.4,1,0.9278,0.4394,0.186
6,800,1,0.6,2,0.9312,0.3721,0.2258
6,500,1,0.14,1,0.9197,0.4983,0.186
8,800,1,0.06,2,0.9168,0.4842,0.2258
4,700,1,0.04,2,0.9048,0.4902,0.2258
10,1200,1,0.02,2,0.8983,0.4788,0.2258
6,900,1,0.4,3,0.9311,0.4148,0.2114
6,900,1,0.14,2,0.9274,0.434,0.2258
8,400,1,0.02,3,0.8297,0.4071,0.2114
6,100,1,0.06,2,0.8072,0.4277,0.2258
6,1000,1,0.04,1,0.9103,0.4797,0.186
10,60,1,0.6,2,0.9087,0.5235,0.2258
4,700,1,0.8,2,0.9314,0.2962,0.2258
4,300,1,0.12,2,0.9116,0.4611,0.2258
8,800,1,0.04,1,0.9051,0.4888,0.186
8,600,1,0.02,3,0.8617,0.4404,0.2114
10,1000,1,0.04,3,0.9131,0.4126,0.2114
10,20,1,0.02,3,0.3178,0.1373,0.2114
10,1400,1,0.8,2,0.9314,0.317,0.2258
8,800,1,0.06,3,0.9172,0.4177,0.2114
10,300,1,0.12,3,0.9107,0.405,0.2114
8,500,1,0.08,2,0.9134,0.4469,0.2258
4,20,1,0.12,3,0.734,0.2949,0.2114
4,20,1,0.06,1,0.5942,0.3946,0.186
10,60,1,0.4,2,0.8962,0.317,0.2258
6,400,1,0.06,2,0.8993,0.4951,0.2258
4,900,1,0.8,3,0.9317,0.3518,0.2114
8,600,1,0.02,1,0.86,0.4774,0.186
6,900,1,0.06,1,0.9158,0.4936,0.186
10,100,1,0.8,3,0.9236,0.3189,0.2114
4,200,1,0.2,2,0.914,0.4919,0.2258
6,1200,1,0.4,3,0.9314,0.4163,0.2114
8,60,1,0.6,1,0.9061,0.3699,0.186
