leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
10.0,800.0,3.0,0.14,0.840688541442025,0.7977330546087544,0.1388
4.0,250.0,3.0,0.09,0.8292419719155886,0.778681216936811,0.1388
9.0,1000.0,3.0,0.2,0.8413742634399312,0.7750939970446713,0.1388
7.0,1000.0,3.0,0.06,0.8390941805032157,0.7703585266954232,0.1388
10.0,300.0,1.0,0.09,0.8442176020481145,0.7632405185816392,0.1695
4.0,800.0,1.0,0.1,0.8516260258926338,0.7631559466926456,0.1695
6.0,900.0,3.0,0.05,0.8377487655516749,0.7622482079542413,0.1388
6.0,700.0,3.0,0.05,0.8357137020096067,0.7618135671154285,0.1388
7.0,700.0,3.0,0.1,0.839547780171549,0.7608206809738405,0.1388
4.0,600.0,3.0,0.05,0.8340950233897328,0.7606767324238746,0.1388
10.0,600.0,1.0,0.07,0.8484811745932992,0.7599507846332327,0.1695
9.0,1000.0,3.0,0.11,0.8407345950506653,0.759398165888683,0.1388
5.0,500.0,1.0,0.11,0.8500132565691719,0.7590702946541432,0.1695
9.0,800.0,1.0,0.11,0.851994222418611,0.7575462306918737,0.1695
6.0,800.0,1.0,0.06,0.849336106895577,0.7574079488773888,0.1695
8.0,150.0,1.0,0.5,0.8504743774683552,0.7569398459104826,0.1695
7.0,600.0,1.0,0.14,0.8524266497247541,0.7568764580086906,0.1695
9.0,400.0,3.0,0.11,0.837171574770977,0.7562207261354085,0.1388
10.0,80.0,1.0,0.7,0.8508168037002043,0.7560645639521348,0.1695
5.0,1000.0,3.0,0.06,0.8390554405412769,0.7545406192451262,0.1388
4.0,700.0,1.0,0.09,0.8512327433496834,0.7526741152211764,0.1695
6.0,900.0,1.0,0.5,0.8545329280828298,0.7526329597343469,0.1695
7.0,800.0,1.0,0.03,0.8422327639394778,0.7522442239509761,0.1695
5.0,350.0,1.0,0.06,0.839448640586683,0.7521118275945816,0.1695
7.0,600.0,1.0,0.3,0.8539207362972295,0.7514883217030807,0.1695
6.0,300.0,1.0,0.11,0.8454508746933136,0.7506147655333629,0.1695
4.0,300.0,1.0,0.09,0.8436713279041775,0.749036688792811,0.1695
10.0,700.0,1.0,0.05,0.8461545736560673,0.7489016982175214,0.1695
6.0,400.0,1.0,0.04,0.8343642051380258,0.7469218866616076,0.1695
4.0,600.0,1.0,0.03,0.8361418084742301,0.7468093924524577,0.1695
6.0,150.0,3.0,0.08,0.8150437083915832,0.7456226758903644,0.1388
9.0,800.0,1.0,0.3,0.853845208731537,0.7450901055334558,0.1695
7.0,400.0,1.0,0.07,0.8437893522027753,0.7446230685107125,0.1695
9.0,350.0,3.0,0.07,0.8302825316334369,0.7443068640012991,0.1388
5.0,150.0,1.0,0.6,0.8523000778461682,0.7441568900779216,0.1695
6.0,700.0,3.0,0.7,0.8421451196837665,0.7441459028268276,0.1388
6.0,800.0,3.0,0.2,0.8415032695111127,0.7433506686007367,0.1388
6.0,200.0,1.0,0.06,0.8274835317271093,0.7433457478868072,0.1695
8.0,600.0,3.0,0.08,0.8375694988724264,0.7409068956453467,0.1388
9.0,100.0,1.0,0.11,0.825351869700953,0.7371309631036751,0.1695
6.0,100.0,3.0,0.09,0.8060353653551497,0.7366861956867211,0.1388
8.0,60.0,1.0,0.12,0.8148171860222571,0.733375303252263,0.1695
9.0,200.0,3.0,0.07,0.8189319229118937,0.7333230127420194,0.1388
9.0,60.0,1.0,0.3,0.8368390335022851,0.7333099420828735,0.1695
7.0,150.0,1.0,0.05,0.8111349534806418,0.7310360189194605,0.1695
9.0,350.0,3.0,0.03,0.8104671170656714,0.7286336088076585,0.1388
8.0,300.0,1.0,0.02,0.8063165382947708,0.7220255731164453,0.1695
4.0,150.0,1.0,0.04,0.8068916998301437,0.7200995355986863,0.1695
5.0,300.0,3.0,0.05,0.8206299445589482,0.719524631797743,0.1388
10.0,600.0,3.0,0.01,0.7963447140232548,0.7183668571374551,0.1388
8.0,350.0,3.0,0.8,0.8418173958818987,0.7181616219686655,0.1388
10.0,100.0,1.0,0.06,0.8059508051260541,0.7144906953373116,0.1695
10.0,40.0,1.0,0.11,0.7973155100827528,0.710827458396303,0.1695
5.0,100.0,3.0,0.06,0.7960467400477039,0.7105467218682314,0.1388
10.0,20.0,3.0,0.15,0.7674074168631979,0.7076327316036801,0.1388
10.0,150.0,3.0,0.03,0.7884344990233514,0.7049048309000026,0.1388
