leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
10.0,800.0,2.0,0.05,0.8451153397510428,0.5163898457572804,0.0965
7.0,80.0,2.0,0.2,0.8043814881844407,0.5088283456593927,0.0965
9.0,400.0,2.0,0.08,0.8357317486272583,0.5014164510818062,0.0965
4.0,150.0,2.0,0.02,0.699121455514184,0.49971061675991557,0.0965
8.0,20.0,2.0,0.1,0.6512516875614508,0.4989310196526381,0.0965
10.0,60.0,2.0,0.14,0.7555684650625696,0.4967598178900783,0.0965
7.0,250.0,2.0,0.03,0.754579776703184,0.49540212949074725,0.0965
9.0,300.0,2.0,0.15,0.8494369975246191,0.4877403194518557,0.0965
4.0,900.0,2.0,0.01,0.7623136304187205,0.486946675271829,0.0965
5.0,100.0,2.0,0.1,0.7672662006042434,0.4865530024554209,0.0965
9.0,60.0,2.0,0.12,0.7520359887068213,0.48628733796031287,0.0965
9.0,600.0,2.0,0.02,0.7769214432457935,0.48527719699043204,0.0965
10.0,800.0,2.0,0.2,0.8700566312928947,0.48496179681366125,0.0965
10.0,800.0,2.0,0.01,0.7579946547457095,0.48292935108607327,0.0965
9.0,100.0,2.0,0.12,0.7832545016150415,0.48001713298022886,0.0965
7.0,800.0,2.0,0.02,0.8020229967357602,0.4742009950675433,0.0965
5.0,150.0,2.0,0.06,0.7642708293996366,0.47370621740503316,0.0965
4.0,150.0,2.0,0.07,0.7692912614317358,0.4735922117044935,0.0965
5.0,400.0,2.0,0.04,0.8003721342433657,0.47158630618414454,0.0965
4.0,900.0,2.0,0.02,0.8066953834939539,0.46789683779259017,0.0965
10.0,350.0,2.0,0.04,0.7934992711142015,0.46536729601953064,0.0965
8.0,900.0,2.0,0.13,0.8671981923025149,0.4594872240238467,0.0965
10.0,700.0,2.0,0.09,0.8570309272760908,0.45822707930825235,0.0965
5.0,700.0,2.0,0.06,0.8467054943253705,0.45608972002999704,0.0965
10.0,800.0,2.0,0.11,0.8633341275540259,0.4469694960515682,0.0965
9.0,300.0,2.0,0.11,0.8390006463833033,0.44492517213849536,0.0965
5.0,700.0,2.0,0.4,0.8731850853518854,0.4442552111967547,0.0965
4.0,60.0,2.0,0.5,0.8294803468460199,0.41638921137937546,0.0965
