leaves,trees,state,accuracy_train,accuracy_test
4.0,100.0,1.0,0.6928861544204044,0.46303404201344756
4.0,300.0,1.0,0.6853149318348659,0.4608139749730925
4.0,400.0,1.0,0.686024468672001,0.4556220397042644
4.0,700.0,1.0,0.6854266614771183,0.4539833774507901
4.0,50.0,1.0,0.6884224549817293,0.4529482597848803
4.0,800.0,1.0,0.6861523915195239,0.4521402904807339
6.0,250.0,1.0,0.58689787219044,0.4212764264885599
6.0,600.0,1.0,0.5879338345609718,0.42103388730166935
6.0,600.0,1.0,0.5879338345609718,0.42103388730166924
6.0,1000.0,1.0,0.5844389245706363,0.41534695252105136
6.0,100.0,1.0,0.5923792568413992,0.4091077687339618
6.0,100.0,1.0,0.5923792568413992,0.4091077687339618
4.0,400.0,3.0,0.7140927697211465,0.4056694305776727
8.0,600.0,1.0,0.5214169253865384,0.40563884301997855
4.0,300.0,3.0,0.7142262896875194,0.40427083701550026
8.0,700.0,1.0,0.5191945268765866,0.4029012150495005
8.0,800.0,1.0,0.5190590501320105,0.4013160048384746
4.0,600.0,3.0,0.7136316679659007,0.4012317462445817
4.0,600.0,3.0,0.7136316679659007,0.4012317462445817
8.0,200.0,1.0,0.5242908246532385,0.3974838516806194
8.0,50.0,1.0,0.5217504520704304,0.39453818364782456
10.0,500.0,1.0,0.47462941153444294,0.38191953086076624
10.0,500.0,1.0,0.4746294115344428,0.38191953086076624
4.0,50.0,3.0,0.6963388601699394,0.38023888684275575
10.0,600.0,1.0,0.47268357122260285,0.3801824019137954
10.0,250.0,1.0,0.4747011568392562,0.37674380870953095
10.0,1000.0,1.0,0.4690239010071686,0.37620591842292117
6.0,150.0,3.0,0.6092929746210507,0.37326071146419715
8.0,150.0,3.0,0.5468036424229465,0.34083472929938163
8.0,400.0,3.0,0.5442971098987909,0.3373569002903595
8.0,100.0,3.0,0.5440853321992156,0.33672375002338917
8.0,300.0,3.0,0.545152868531002,0.3360181467248795
8.0,900.0,3.0,0.5455128454952934,0.3305703986497741
10.0,150.0,3.0,0.5005465234422364,0.3246567435208201
10.0,50.0,3.0,0.5006296739294354,0.31069595959652174
8.0,400.0,2.0,0.5808641527909404,0.2664094428286402
8.0,700.0,2.0,0.5776104555987579,0.2635529065684197
10.0,500.0,2.0,0.5314250121115215,0.26230673915652114
10.0,600.0,2.0,0.5302164874600106,0.2610279197739511
8.0,250.0,2.0,0.5796008834392543,0.2601309867650017
8.0,800.0,2.0,0.5769107732948953,0.2588610544990614
10.0,300.0,2.0,0.5304969659552009,0.25715309480116466
10.0,250.0,2.0,0.5309227274566277,0.25383715714699306
10.0,250.0,2.0,0.5309227274566277,0.25383715714699295
10.0,150.0,2.0,0.5325761752815403,0.25112598201875413
4.0,400.0,2.0,0.7289044783421782,0.25056393559301493
8.0,100.0,2.0,0.5814814752408253,0.24780268106975534
6.0,150.0,2.0,0.637820786208497,0.24287358776278734
6.0,100.0,2.0,0.6422023766949974,0.24151461583377476
4.0,900.0,2.0,0.7275538225350583,0.23680696523580835
