leaves,trees,state,accuracy_train,accuracy_test
4.0,600.0,2.0,0.726996202676625,0.4574497290596622
4.0,400.0,2.0,0.7275787078843647,0.45626833588101834
4.0,900.0,2.0,0.7259351810666577,0.45567838623994983
4.0,900.0,2.0,0.7259351810666577,0.4556783862399497
4.0,250.0,2.0,0.7267754153671335,0.45404990019157077
6.0,1000.0,2.0,0.6277473346094987,0.44274674581955775
6.0,700.0,2.0,0.6276979042328283,0.4396433388205685
6.0,800.0,2.0,0.6272487868277332,0.4389464636953254
6.0,150.0,2.0,0.6269874624357652,0.4383764605886855
6.0,150.0,2.0,0.626987462435765,0.4383764605886854
6.0,600.0,2.0,0.6278766355198866,0.43817874562793524
6.0,600.0,2.0,0.6278766355198867,0.43817874562793513
4.0,800.0,3.0,0.7234927415278616,0.4357574320648726
4.0,800.0,3.0,0.7234927415278618,0.4357574320648726
4.0,900.0,3.0,0.7236226634639699,0.4346804983861319
4.0,100.0,3.0,0.7200687312637569,0.43283175643272165
6.0,50.0,2.0,0.6288637526994951,0.43189108288602696
8.0,400.0,2.0,0.5563446190894923,0.4265679467168322
8.0,400.0,2.0,0.5563446190894924,0.42656794671683207
8.0,250.0,2.0,0.555840690402646,0.4243741901291006
4.0,300.0,1.0,0.7337351277078412,0.41250989881083455
10.0,300.0,2.0,0.5061792680552555,0.40790855058448006
10.0,250.0,2.0,0.5064061307286405,0.4074704912116627
10.0,1000.0,2.0,0.5049862867930806,0.4057416101620115
10.0,900.0,2.0,0.5053417655313353,0.4056927433489833
6.0,300.0,3.0,0.6207949726493083,0.404543406488455
10.0,800.0,2.0,0.5063942152589092,0.40426224541190026
6.0,500.0,3.0,0.6219919197227168,0.4032835227254943
6.0,150.0,1.0,0.62799988568472,0.38627252889893826
8.0,900.0,3.0,0.5576463797613475,0.3803154044983562
8.0,500.0,3.0,0.5573463456028043,0.38021705680167084
6.0,600.0,1.0,0.6319970358299403,0.37981083503980584
6.0,500.0,1.0,0.6312411197002398,0.3797530902025781
8.0,50.0,1.0,0.5617631517666604,0.37940002162696185
8.0,700.0,3.0,0.5573418272716897,0.3793588810435097
10.0,150.0,3.0,0.504779714331356,0.3741394039493572
8.0,50.0,3.0,0.5450564024975735,0.3696298256854146
10.0,200.0,3.0,0.5031465686118444,0.3673351637897284
10.0,300.0,3.0,0.5038297030768089,0.3631301898117302
8.0,200.0,1.0,0.5629888389444015,0.3618275757142627
8.0,400.0,1.0,0.5637544754870771,0.3590407008520903
8.0,600.0,1.0,0.5630726384578892,0.35689819483375107
10.0,100.0,1.0,0.506955690631175,0.3428523181951001
10.0,100.0,1.0,0.5069556906311748,0.3428523181951001
10.0,150.0,1.0,0.5068341709651258,0.3397409840640381
10.0,200.0,1.0,0.5063092076290336,0.3381493109668825
10.0,900.0,1.0,0.5107191395472122,0.3371103793957876
10.0,900.0,1.0,0.5107191395472122,0.3371103793957876
10.0,250.0,1.0,0.50705585340266,0.33684842932029946
10.0,600.0,1.0,0.5105143459040684,0.336715729237427
