leaves,trees,FP_type,state,accuracy_train,accuracy_test
4.0,400.0,0.0,2.0,0.9018730073563292,0.7342167495631562
4.0,300.0,0.0,2.0,0.9020264494350432,0.7329765877370484
4.0,700.0,0.0,2.0,0.9018780578621849,0.7291064575785347
4.0,900.0,0.0,2.0,0.9021120812952885,0.7283766550741867
4.0,900.0,0.0,2.0,0.9021120812952885,0.7283766550741867
4.0,1000.0,12.0,2.0,0.8433633826114044,0.7215644901284761
4.0,600.0,12.0,2.0,0.8434983258581397,0.7195288058692183
6.0,1000.0,0.0,2.0,0.8587143613451698,0.7181731267052162
6.0,600.0,0.0,2.0,0.8589452854610217,0.717641634186978
6.0,800.0,0.0,2.0,0.8585235712783885,0.7175221178690334
4.0,100.0,12.0,2.0,0.8423321106358246,0.7155259427914256
6.0,50.0,12.0,2.0,0.7748455182530568,0.7101135037650276
8.0,600.0,0.0,2.0,0.8181425966207908,0.7019610870070196
4.0,1000.0,0.0,3.0,0.9029058050261605,0.7003892813320405
4.0,800.0,0.0,3.0,0.9025000682962251,0.7001208124986437
4.0,900.0,0.0,3.0,0.9027146723595882,0.6991996168416676
4.0,200.0,0.0,3.0,0.8997246031006304,0.6989818225692745
6.0,150.0,12.0,2.0,0.7788191028895555,0.6982455281672028
8.0,250.0,0.0,2.0,0.8191514958318548,0.6980210689293792
4.0,400.0,0.0,3.0,0.9015756668575412,0.6965141267837532
4.0,400.0,0.0,3.0,0.9015756668575411,0.6965141267837531
10.0,800.0,0.0,2.0,0.7843202416907473,0.6956870927074166
10.0,700.0,0.0,2.0,0.783973811099679,0.6951897713502366
4.0,150.0,0.0,3.0,0.8994610925498293,0.6942263031636111
10.0,100.0,0.0,2.0,0.7843966513148656,0.6941202286522419
10.0,150.0,0.0,2.0,0.7846060594155619,0.6926729921220951
8.0,700.0,12.0,2.0,0.7321293610145445,0.6852408497863232
8.0,300.0,12.0,2.0,0.7317661498545701,0.684780412915212
6.0,1000.0,0.0,3.0,0.8591618848980326,0.6845074660559951
8.0,250.0,12.0,2.0,0.7303965847164098,0.6839207200223778
6.0,900.0,0.0,3.0,0.8589064870230526,0.683629263239296
8.0,150.0,12.0,2.0,0.7290151793885691,0.6827632562789546
8.0,400.0,12.0,2.0,0.7327491233911763,0.6816868221347638
8.0,100.0,12.0,2.0,0.7276926248827642,0.6801917550519737
6.0,300.0,0.0,3.0,0.8554794608945044,0.6778722811668427
6.0,300.0,0.0,3.0,0.8554794608945044,0.6778722811668427
4.0,700.0,6.0,3.0,0.8196326509629736,0.6763257780587342
8.0,700.0,0.0,3.0,0.8207987911190929,0.6761544760022644
8.0,700.0,0.0,3.0,0.820798791119093,0.6761544760022644
4.0,300.0,6.0,2.0,0.8279663647928481,0.6759899810105592
8.0,300.0,0.0,3.0,0.8179296040629951,0.6755393672373103
4.0,800.0,6.0,2.0,0.8277496252083495,0.6751181827303347
4.0,150.0,6.0,2.0,0.8282743650812328,0.6742968196680489
8.0,250.0,0.0,3.0,0.8180102151484985,0.6741098790663046
4.0,900.0,6.0,2.0,0.8274492817810742,0.6740889026342398
4.0,900.0,6.0,2.0,0.8274492817810742,0.6740889026342397
4.0,500.0,6.0,2.0,0.8281590899341532,0.6735888095499744
4.0,500.0,6.0,2.0,0.8281590899341533,0.6735888095499742
8.0,150.0,0.0,3.0,0.8188664620521489,0.6691144644756423
10.0,900.0,0.0,3.0,0.7873337460185118,0.6673701963822118
10.0,800.0,0.0,3.0,0.7871182212669232,0.6672107553822818
10.0,100.0,0.0,3.0,0.7819562187469945,0.6665277850557398
6.0,250.0,6.0,2.0,0.764273952389622,0.6645480129716961
10.0,600.0,0.0,3.0,0.7869157882466535,0.6640076408048785
4.0,100.0,6.0,2.0,0.8283678074594165,0.6638312254079926
10.0,500.0,0.0,3.0,0.7865735721014684,0.6624056825598017
10.0,500.0,12.0,2.0,0.693144079517602,0.6597945062079396
10.0,700.0,12.0,2.0,0.6925677405610002,0.6589729651147321
6.0,500.0,6.0,2.0,0.7631215337059027,0.6581521464866392
6.0,500.0,6.0,2.0,0.7631215337059029,0.6581521464866391
6.0,400.0,6.0,3.0,0.7499968290319474,0.6577802294360182
6.0,900.0,6.0,3.0,0.7507051459520564,0.6574586186637924
6.0,900.0,6.0,3.0,0.7507051459520565,0.6574586186637921
10.0,200.0,12.0,2.0,0.692711496972801,0.6567270524650799
10.0,150.0,12.0,2.0,0.6920538893372719,0.6535953765218374
10.0,150.0,12.0,2.0,0.6920538893372721,0.6535953765218373
10.0,150.0,12.0,2.0,0.6920538893372719,0.6535953765218372
6.0,100.0,6.0,3.0,0.7460392831494063,0.6506303379907434
10.0,100.0,12.0,2.0,0.6886677265338128,0.6494926720765564
8.0,300.0,6.0,2.0,0.7137048710443545,0.6442898955988383
4.0,150.0,12.0,3.0,0.8490992604921146,0.6426455063049303
8.0,900.0,6.0,3.0,0.7029311241750669,0.6417896529946865
8.0,250.0,6.0,2.0,0.7144427229878706,0.6412885566206059
8.0,800.0,6.0,3.0,0.7028116545836969,0.6403351889840267
8.0,150.0,6.0,3.0,0.6999688701450006,0.6395608973688474
4.0,900.0,5.0,3.0,0.7780941795065646,0.6393175798767596
4.0,600.0,5.0,3.0,0.7776747425574009,0.6375677655852259
8.0,100.0,6.0,3.0,0.6951812656228116,0.6335338515211699
4.0,700.0,12.0,3.0,0.8500891347075363,0.6330938193634766
4.0,250.0,12.0,3.0,0.8493898945906673,0.6329742690372027
10.0,300.0,6.0,2.0,0.6767638508756686,0.6329388400383826
10.0,250.0,6.0,3.0,0.6656866364279547,0.6310287340409768
10.0,250.0,6.0,3.0,0.6656866364279546,0.6310287340409767
10.0,250.0,6.0,3.0,0.6656866364279548,0.6310287340409766
10.0,900.0,6.0,2.0,0.6758501390880298,0.6309144899787252
10.0,500.0,6.0,3.0,0.6675029621726429,0.6307533101249685
10.0,700.0,6.0,3.0,0.6671023185327731,0.6294221785452729
4.0,150.0,5.0,3.0,0.7713311328977643,0.6288509569082535
4.0,150.0,5.0,3.0,0.7713311328977643,0.6288509569082534
10.0,100.0,6.0,3.0,0.6604462672639796,0.6224180642746935
10.0,100.0,6.0,3.0,0.6604462672639797,0.6224180642746933
6.0,200.0,5.0,3.0,0.704716352076717,0.6222237822427831
6.0,250.0,5.0,3.0,0.7055607249499989,0.6214552148894763
6.0,900.0,12.0,3.0,0.792864197532986,0.6188558378930508
6.0,800.0,12.0,3.0,0.7925250343614032,0.6188125148239562
6.0,700.0,12.0,3.0,0.7924537083060148,0.6180999860564313
6.0,900.0,5.0,3.0,0.7087042277835015,0.6156876619332831
