iter	RMSE
0	0.9686937529
1	0.9443232645
2	0.9199494696
3	0.897553246
4	0.8786435969
5	0.8590351603
6	0.8418342826
7	0.8245636869
8	0.8087330788
9	0.7934454483
10	0.7789090036
11	0.7654493238
12	0.7537192641
13	0.7422554352
14	0.7309292042
15	0.7205184755
16	0.7111246344
17	0.7017039338
18	0.694216799
19	0.686935497
20	0.6796914093
21	0.6734074677
22	0.6657216088
23	0.6591748641
24	0.6536674202
25	0.6467356614
26	0.6415791808
27	0.6354831839
28	0.6308100069
29	0.627159958
30	0.6228260493
31	0.6188232222
32	0.6152197556
33	0.6106722946
34	0.6062397569
35	0.6024541331
36	0.5984237556
37	0.594344303
38	0.5909755882
39	0.5874551875
40	0.5846052924
41	0.5813617619
42	0.5796582667
43	0.5777185721
44	0.5751772173
45	0.572855269
46	0.5703984518
47	0.567771976
48	0.5651714494
49	0.5632830184
50	0.5618230985
51	0.5601798861
52	0.5586725161
53	0.5571274435
54	0.5559919141
55	0.5540873585
56	0.552856335
57	0.5513112164
58	0.5496313979
59	0.5487918126
60	0.5479278301
61	0.5463000234
62	0.5448686553
63	0.5428437627
64	0.5411914259
65	0.5402700197
66	0.5393049186
67	0.538691407
68	0.5376820967
69	0.5367423971
70	0.535470707
71	0.5344269693
72	0.5333400812
73	0.5327253931
74	0.5321528304
75	0.5313660139
76	0.5293384548
77	0.528821834
78	0.5279244406
79	0.5274264895
80	0.526909829
81	0.5262047101
82	0.5256690689
83	0.5250352075
84	0.5246236231
85	0.5240796827
86	0.5235779069
87	0.5229136361
88	0.5225001064
89	0.5219117886
90	0.5214379567
91	0.5208923987
92	0.5202867028
93	0.5193394028
94	0.5184121245
95	0.5181410325
96	0.5177410513
97	0.517502605
98	0.5167426783
99	0.5163901776
100	0.5159819824
101	0.51566048
102	0.5153700024
103	0.5148897105
104	0.5142560453
105	0.5139616527
106	0.5136730897
107	0.5132507538
108	0.5127040086
109	0.5121412484
110	0.5118250168
111	0.5115126836
112	0.511209144
113	0.5108983593
114	0.5101325251
115	0.5089761897
116	0.508743196
117	0.5084511001
118	0.5080473418
119	0.5078339027
120	0.5075649634
121	0.5073245744
122	0.5071048036
123	0.5064659674
124	0.5058769273
125	0.5053513142
126	0.5049885179
127	0.5044586774
128	0.5042798713
129	0.5038638972
130	0.50367274
131	0.503227877
132	0.5030631871
133	0.5025531475
134	0.5023336191
135	0.5021177236
136	0.5013396413
137	0.5010100857
138	0.5008248721
139	0.5005859596
140	0.5001819148
141	0.499872735
142	0.4996958312
143	0.4994909872
144	0.4992136819
145	0.4989030208
146	0.4987127339
147	0.4981958579
148	0.4980306919
149	0.4976564114
150	0.4972255836
151	0.4962961945
152	0.4957774014
153	0.4951013655
154	0.4949100173
155	0.4946962368
156	0.4945081068
157	0.4938746133
158	0.4932954673
159	0.4930669651
160	0.4928848823
161	0.4925217663
162	0.4922871324
163	0.4913120714
164	0.4904285518
165	0.4900342688
166	0.489908241
167	0.4897651849
168	0.4894939006
169	0.489209424
170	0.4890931145
171	0.4888294516
172	0.4886855661
173	0.4885792557
174	0.4884487434
175	0.4882500057
176	0.4881151135
177	0.487832765
178	0.4877155637
179	0.4875226791
180	0.4871001162
181	0.4870001386
182	0.4868625754
183	0.4867219553
184	0.4861557139
185	0.4853276226
186	0.4851031758
187	0.4845079779
188	0.4835364918
189	0.483217316
190	0.4830279018
191	0.4818563141
192	0.4817185934
193	0.4813780906
194	0.4802627304
195	0.479547547
196	0.4794087291
197	0.4788038323
