iter	Passed	Remaining
0	14	17934
1	27	16523
2	40	15960
3	54	16192
4	70	16795
5	83	16696
6	98	16813
7	111	16667
8	129	17117
9	141	16897
10	155	16779
11	169	16803
12	185	16908
13	198	16802
14	213	16847
15	226	16752
16	239	16652
17	253	16677
18	267	16629
19	281	16629
20	295	16571
21	308	16500
22	319	16341
23	330	16179
24	342	16090
25	356	16111
26	369	16068
27	381	15974
28	388	15692
29	395	15414
30	405	15304
31	411	15024
32	421	14909
33	433	14852
34	443	14758
35	447	14478
36	453	14268
37	465	14223
38	478	14256
39	485	14074
40	498	14102
41	506	13968
42	515	13875
43	529	13901
44	539	13843
45	549	13795
46	557	13665
47	562	13505
48	574	13495
49	595	13691
50	618	13945
51	645	14248
52	667	14453
53	708	15037
54	730	15211
55	747	15264
56	767	15386
57	784	15451
58	791	15297
59	800	15212
60	821	15346
61	838	15395
62	846	15282
63	867	15396
64	883	15426
65	907	15586
66	923	15615
67	930	15482
68	951	15589
69	956	15443
70	969	15416
71	977	15307
72	992	15323
73	1000	15226
74	1014	15215
75	1024	15157
76	1041	15190
77	1047	15066
78	1057	15007
79	1064	14909
80	1078	14898
81	1100	15010
82	1110	14948
83	1125	14950
84	1150	15086
85	1156	14976
86	1170	14971
87	1176	14861
88	1185	14799
89	1197	14773
90	1211	14770
91	1226	14769
92	1235	14703
93	1243	14634
94	1263	14697
95	1269	14604
96	1286	14633
97	1301	14636
98	1307	14538
99	1325	14578
100	1333	14512
101	1346	14492
102	1351	14398
103	1371	14448
104	1379	14383
105	1396	14414
106	1409	14400
107	1419	14355
108	1438	14400
109	1444	14310
110	1457	14297
111	1464	14223
112	1477	14216
113	1491	14209
114	1498	14140
115	1517	14181
116	1523	14100
117	1529	14023
118	1542	14009
119	1561	14053
120	1566	13966
121	1578	13947
122	1587	13902
123	1603	13916
124	1611	13860
125	1620	13810
126	1643	13882
127	1655	13863
128	1669	13857
129	1688	13896
130	1698	13858
131	1703	13780
132	1710	13723
133	1727	13743
134	1737	13705
135	1744	13648
136	1754	13615
137	1766	13592
138	1780	13590
139	1787	13531
140	1805	13559
141	1824	13592
142	1844	13634
143	1858	13626
144	1879	13673
145	1891	13654
146	1910	13685
147	1917	13629
148	1927	13593
149	1931	13521
150	1941	13484
151	1958	13504
152	1968	13470
153	1980	13455
154	2003	13507
155	2011	13458
156	2027	13469
157	2039	13452
158	2047	13405
159	2063	13414
160	2076	13399
161	2083	13347
162	2092	13313
163	2104	13295
164	2113	13256
165	2120	13208
166	2126	13154
167	2139	13143
168	2154	13143
169	2161	13095
170	2176	13096
171	2182	13041
172	2190	13005
173	2209	13027
174	2222	13019
175	2231	12980
176	2241	12952
177	2251	12924
178	2271	12954
179	2277	12905
180	2292	12907
181	2303	12881
182	2311	12844
183	2323	12829
184	2329	12780
185	2341	12764
186	2359	12781
187	2365	12734
188	2372	12689
189	2391	12713
190	2403	12698
191	2420	12708
192	2427	12668
193	2436	12632
194	2448	12620
195	2455	12576
196	2475	12604
197	2487	12588
198	2498	12568
199	2506	12532
200	2510	12477
201	2517	12437
202	2528	12420
203	2540	12403
204	2556	12409
205	2576	12433
206	2588	12418
207	2601	12405
208	2605	12355
209	2621	12356
210	2631	12332
211	2635	12284
212	2655	12304
213	2670	12302
214	2684	12299
215	2691	12261
216	2704	12249
217	2715	12233
218	2735	12255
219	2746	12232
220	2763	12242
221	2780	12248
222	2790	12223
223	2798	12195
224	2808	12169
225	2817	12142
226	2827	12118
227	2845	12129
228	2852	12096
229	2875	12128
230	2887	12112
231	2902	12112
232	2914	12095
233	2921	12059
234	2933	12045
235	2945	12033
236	2954	12004
237	2969	12000
238	2980	11983
239	3000	12000
240	3009	11974
241	3027	11983
242	3038	11964
243	3044	11929
244	3053	11902
245	3064	11884
246	3073	11858
247	3081	11829
248	3090	11803
249	3106	11804
250	3112	11768
251	3122	11748
252	3130	11718
253	3140	11698
254	3150	11674
255	3164	11668
256	3177	11658
257	3181	11616
258	3195	11611
259	3204	11587
260	3218	11577
261	3228	11558
262	3233	11520
263	3239	11486
264	3253	11479
265	3272	11490
266	3286	11485
267	3295	11460
268	3306	11445
269	3320	11436
270	3337	11441
271	3353	11442
272	3367	11435
273	3382	11431
274	3389	11399
275	3400	11383
276	3406	11351
277	3422	11350
278	3432	11329
279	3439	11302
280	3459	11314
281	3474	11310
282	3495	11325
283	3519	11351
284	3530	11333
285	3541	11316
286	3559	11322
287	3580	11337
288	3604	11361
289	3610	11328
290	3624	11320
291	3657	11372
292	3676	11380
293	3688	11367
294	3697	11341
295	3706	11320
296	3711	11285
297	3718	11255
298	3724	11222
299	3735	11207
300	3746	11188
301	3753	11160
302	3757	11125
303	3765	11098
304	3778	11088
305	3790	11074
306	3797	11046
307	3803	11016
308	3809	10985
309	3815	10954
310	3823	10928
311	3826	10891
312	3835	10868
313	3841	10839
314	3848	10812
315	3853	10779
316	3867	10773
317	3875	10748
318	3884	10728
319	3893	10706
320	3907	10698
321	3917	10682
322	3922	10650
323	3933	10634
324	3937	10601
325	3950	10591
326	3953	10556
327	3959	10526
328	3963	10493
329	3971	10470
330	3978	10445
331	3987	10425
332	3992	10395
333	4005	10386
334	4015	10368
335	4021	10341
336	4029	10319
337	4034	10288
338	4038	10257
339	4044	10229
340	4060	10227
341	4066	10202
342	4077	10187
343	4084	10163
344	4093	10144
345	4098	10114
346	4107	10097
347	4116	10077
348	4124	10057
349	4132	10036
350	4140	10014
351	4146	9988
352	4159	9981
353	4165	9953
354	4171	9929
355	4177	9903
356	4188	9891
357	4195	9868
358	4206	9855
359	4213	9831
360	4221	9811
361	4231	9794
362	4240	9776
363	4246	9752
364	4252	9729
365	4263	9714
366	4269	9691
367	4283	9683
368	4288	9657
369	4296	9637
370	4304	9619
371	4315	9604
372	4322	9582
373	4326	9556
374	4336	9541
375	4342	9516
376	4353	9502
377	4357	9475
378	4364	9453
379	4379	9449
380	4387	9431
381	4398	9418
382	4406	9400
383	4416	9384
384	4429	9377
385	4438	9359
386	4443	9334
387	4459	9332
388	4464	9306
389	4468	9280
390	4474	9257
391	4482	9239
392	4489	9218
393	4499	9204
394	4512	9196
395	4523	9183
396	4528	9159
397	4534	9137
398	4541	9117
399	4550	9100
400	4560	9087
401	4570	9072
402	4580	9059
403	4589	9043
404	4598	9027
405	4603	9003
406	4608	8978
407	4618	8965
408	4627	8948
409	4636	8933
410	4645	8918
411	4653	8899
412	4660	8880
413	4667	8861
414	4676	8845
415	4687	8834
416	4693	8812
417	4697	8788
418	4701	8763
419	4711	8750
420	4722	8738
421	4729	8720
422	4737	8701
423	4740	8676
424	4747	8657
425	4753	8637
426	4757	8612
427	4766	8597
428	4776	8584
429	4786	8571
430	4795	8556
431	4805	8542
432	4821	8539
433	4831	8526
434	4842	8515
435	4850	8499
436	4853	8474
437	4863	8461
438	4876	8453
439	4889	8444
440	4893	8422
441	4900	8403
442	4906	8383
443	4914	8367
444	4920	8348
445	4930	8336
446	4940	8322
447	4949	8308
448	4956	8289
449	4966	8277
450	4970	8254
451	4982	8246
452	4988	8226
453	4997	8212
454	5011	8204
455	5018	8187
456	5025	8170
457	5031	8151
458	5035	8129
459	5044	8115
460	5050	8095
461	5054	8074
462	5058	8052
463	5071	8044
464	5076	8023
465	5089	8016
466	5098	8002
467	5102	7981
468	5111	7966
469	5122	7956
470	5132	7943
471	5144	7935
472	5148	7913
473	5154	7895
474	5158	7873
475	5167	7860
476	5173	7841
477	5186	7834
478	5197	7823
479	5205	7808
480	5212	7791
481	5223	7780
482	5227	7759
483	5234	7742
484	5239	7723
485	5247	7709
486	5253	7692
487	5265	7682
488	5278	7675
489	5288	7662
490	5303	7657
491	5309	7640
492	5316	7623
493	5326	7611
494	5338	7602
495	5346	7588
496	5351	7569
497	5357	7552
498	5366	7539
499	5370	7518
500	5374	7498
501	5380	7480
502	5385	7463
503	5398	7454
504	5410	7445
505	5415	7427
506	5426	7417
507	5433	7401
508	5447	7395
509	5459	7386
510	5466	7370
511	5470	7351
512	5477	7335
513	5487	7323
514	5495	7310
515	5502	7293
516	5511	7280
517	5519	7267
518	5527	7252
519	5532	7234
520	5540	7220
521	5544	7201
522	5549	7183
523	5555	7167
524	5565	7155
525	5570	7138
526	5581	7127
527	5595	7122
528	5600	7103
529	5612	7094
530	5620	7081
531	5630	7069
532	5636	7053
533	5641	7035
534	5653	7027
535	5659	7011
536	5662	6991
537	5672	6979
538	5679	6965
539	5685	6948
540	5696	6939
541	5710	6932
542	5717	6918
543	5727	6906
544	5735	6893
545	5740	6876
546	5752	6867
547	5756	6849
548	5763	6834
549	5770	6819
550	5782	6810
551	5789	6796
552	5799	6784
553	5804	6768
554	5810	6752
555	5815	6735
556	5820	6719
557	5826	6703
558	5831	6686
559	5840	6674
560	5852	6665
561	5860	6652
562	5868	6639
563	5877	6628
564	5886	6615
565	5900	6609
566	5908	6596
567	5921	6589
568	5928	6574
569	5934	6558
570	5947	6551
571	5954	6536
572	5960	6521
573	5972	6513
574	5982	6502
575	5992	6492
576	5997	6475
577	6002	6458
578	6011	6447
579	6015	6430
580	6024	6418
581	6037	6411
582	6044	6397
583	6054	6386
584	6064	6375
585	6074	6364
586	6081	6350
587	6089	6337
588	6101	6329
589	6108	6315
590	6122	6308
591	6129	6295
592	6141	6286
593	6153	6277
594	6162	6265
595	6166	6249
596	6176	6239
597	6185	6226
598	6198	6218
599	6203	6203
600	6212	6191
601	6218	6176
602	6229	6167
603	6235	6152
604	6244	6141
605	6256	6132
606	6262	6117
607	6268	6103
608	6275	6089
609	6284	6078
610	6292	6065
611	6304	6057
612	6314	6046
613	6327	6038
614	6333	6024
615	6342	6012
616	6351	6001
617	6357	5987
618	6370	5979
619	6383	5971
620	6392	5960
621	6397	5944
622	6405	5932
623	6411	5918
624	6422	5908
625	6429	5895
626	6434	5880
627	6444	5869
628	6453	5858
629	6462	5847
630	6470	5834
631	6482	5825
632	6493	5816
633	6501	5804
634	6510	5792
635	6516	5778
636	6525	5767
637	6531	5753
638	6535	5737
639	6541	5723
640	6545	5708
641	6554	5696
642	6557	5680
643	6567	5669
644	6576	5659
645	6584	5646
646	6593	5635
647	6597	5620
648	6605	5607
649	6612	5594
650	6618	5581
651	6632	5574
652	6636	5559
653	6644	5547
654	6651	5534
655	6662	5524
656	6668	5511
657	6678	5500
658	6683	5486
659	6690	5474
660	6694	5458
661	6709	5452
662	6717	5440
663	6723	5427
664	6736	5419
665	6740	5404
666	6752	5396
667	6759	5383
668	6767	5371
669	6777	5361
670	6788	5351
671	6796	5340
672	6801	5326
673	6808	5313
674	6821	5305
675	6827	5292
676	6833	5279
677	6838	5265
678	6846	5253
679	6859	5245
680	6872	5237
681	6878	5224
682	6886	5212
683	6891	5198
684	6900	5188
685	6907	5175
686	6912	5161
687	6925	5153
688	6935	5143
689	6946	5134
690	6953	5122
691	6962	5111
692	6967	5097
693	6978	5088
694	6987	5077
695	6995	5065
696	7001	5052
697	7012	5043
698	7020	5031
699	7026	5018
700	7037	5009
701	7045	4998
702	7052	4985
703	7060	4974
704	7065	4961
705	7075	4950
706	7082	4938
707	7091	4928
708	7105	4920
709	7114	4910
710	7123	4899
711	7137	4892
712	7148	4882
713	7156	4870
714	7167	4861
715	7175	4850
716	7181	4837
717	7191	4828
718	7205	4820
719	7215	4810
720	7223	4798
721	7233	4788
722	7242	4778
723	7251	4767
724	7259	4756
725	7270	4746
726	7282	4738
727	7288	4725
728	7298	4715
729	7310	4706
730	7321	4697
731	7325	4683
732	7330	4670
733	7334	4656
734	7339	4643
735	7349	4633
736	7353	4619
737	7363	4609
738	7371	4598
739	7384	4590
740	7388	4576
741	7397	4566
742	7403	4553
743	7408	4540
744	7413	4527
745	7417	4514
746	7423	4501
747	7432	4491
748	7443	4482
749	7457	4474
750	7464	4462
751	7470	4450
752	7484	4442
753	7496	4434
754	7502	4421
755	7508	4409
756	7513	4396
757	7520	4385
758	7533	4377
759	7540	4365
760	7547	4354
761	7553	4341
762	7560	4330
763	7570	4320
764	7576	4308
765	7584	4296
766	7588	4284
767	7599	4274
768	7608	4264
769	7612	4250
770	7619	4239
771	7625	4227
772	7631	4215
773	7640	4205
774	7652	4196
775	7662	4186
776	7668	4174
777	7673	4162
778	7680	4150
779	7692	4142
780	7698	4129
781	7703	4117
782	7709	4105
783	7716	4094
784	7725	4084
785	7735	4074
786	7745	4064
787	7752	4053
788	7760	4042
789	7766	4030
790	7775	4020
791	7783	4009
792	7797	4001
793	7805	3991
794	7814	3980
795	7825	3971
796	7833	3961
797	7840	3949
798	7847	3938
799	7854	3927
800	7861	3915
801	7866	3903
802	7871	3891
803	7877	3879
804	7882	3867
805	7887	3855
806	7894	3844
807	7903	3834
808	7910	3823
809	7923	3815
810	7929	3803
811	7936	3792
812	7941	3780
813	7949	3769
814	7957	3758
815	7963	3747
816	7970	3736
817	7976	3724
818	7983	3713
819	7989	3702
820	7993	3690
821	7998	3678
822	8006	3667
823	8014	3657
824	8018	3644
825	8023	3632
826	8036	3624
827	8045	3614
828	8049	3602
829	8054	3590
830	8059	3578
831	8068	3568
832	8079	3559
833	8085	3548
834	8095	3538
835	8105	3529
836	8109	3516
837	8115	3505
838	8124	3495
839	8132	3485
840	8139	3474
841	8151	3465
842	8156	3454
843	8161	3442
844	8169	3432
845	8174	3420
846	8180	3409
847	8185	3397
848	8197	3388
849	8202	3377
850	8212	3368
851	8218	3356
852	8222	3344
853	8232	3335
854	8239	3324
855	8250	3315
856	8253	3303
857	8261	3293
858	8269	3282
859	8276	3271
860	8279	3259
861	8282	3247
862	8290	3237
863	8296	3226
864	8301	3215
865	8305	3203
866	8310	3191
867	8317	3181
868	8324	3170
869	8333	3160
870	8338	3149
871	8343	3138
872	8352	3128
873	8357	3117
874	8364	3106
875	8375	3097
876	8384	3088
877	8391	3077
878	8397	3066
879	8400	3054
880	8408	3044
881	8417	3035
882	8421	3023
883	8427	3012
884	8435	3002
885	8444	2992
886	8452	2982
887	8462	2973
888	8471	2963
889	8482	2954
890	8491	2944
891	8496	2933
892	8503	2923
893	8513	2914
894	8519	2903
895	8526	2893
896	8535	2883
897	8542	2872
898	8555	2864
899	8560	2853
900	8564	2842
901	8572	2832
902	8577	2821
903	8585	2811
904	8595	2801
905	8603	2792
906	8608	2781
907	8615	2770
908	8622	2760
909	8629	2749
910	8634	2739
911	8642	2729
912	8650	2719
913	8659	2709
914	8664	2698
915	8668	2687
916	8672	2676
917	8684	2667
918	8690	2657
919	8702	2648
920	8707	2637
921	8721	2629
922	8726	2619
923	8732	2608
924	8742	2599
925	8749	2589
926	8755	2578
927	8763	2568
928	8770	2558
929	8779	2548
930	8788	2539
931	8793	2528
932	8807	2520
933	8814	2510
934	8822	2500
935	8827	2489
936	8839	2481
937	8845	2470
938	8860	2462
939	8871	2453
940	8881	2444
941	8886	2433
942	8894	2423
943	8900	2413
944	8907	2403
945	8913	2393
946	8921	2383
947	8928	2373
948	8939	2364
949	8945	2354
950	8954	2344
951	8967	2336
952	8971	2325
953	8974	2314
954	8979	2303
955	8983	2292
956	8993	2283
957	9005	2274
958	9012	2264
959	9016	2254
960	9021	2243
961	9028	2233
962	9035	2223
963	9041	2213
964	9052	2204
965	9060	2194
966	9067	2184
967	9080	2176
968	9087	2166
969	9093	2156
970	9099	2145
971	9103	2135
972	9109	2125
973	9113	2114
974	9123	2105
975	9131	2095
976	9137	2085
977	9141	2075
978	9149	2065
979	9154	2055
980	9158	2044
981	9163	2034
982	9172	2024
983	9180	2015
984	9187	2005
985	9196	1996
986	9203	1986
987	9211	1976
988	9219	1966
989	9227	1957
990	9240	1948
991	9247	1938
992	9258	1929
993	9262	1919
994	9268	1909
995	9275	1899
996	9281	1889
997	9288	1880
998	9292	1869
999	9298	1859
1000	9309	1850
1001	9320	1841
1002	9326	1831
1003	9330	1821
1004	9339	1812
1005	9352	1803
1006	9358	1793
1007	9364	1783
1008	9373	1774
1009	9380	1764
1010	9385	1754
1011	9389	1744
1012	9393	1734
1013	9398	1724
1014	9407	1714
1015	9415	1705
1016	9422	1695
1017	9429	1685
1018	9435	1676
1019	9439	1665
1020	9450	1656
1021	9456	1647
1022	9460	1636
1023	9468	1627
1024	9475	1617
1025	9488	1609
1026	9496	1599
1027	9502	1589
1028	9514	1581
1029	9524	1572
1030	9530	1562
1031	9534	1552
1032	9543	1542
1033	9549	1533
1034	9559	1524
1035	9568	1514
1036	9577	1505
1037	9582	1495
1038	9585	1485
1039	9600	1476
1040	9609	1467
1041	9620	1458
1042	9624	1448
1043	9629	1438
1044	9640	1429
1045	9644	1419
1046	9653	1410
1047	9658	1400
1048	9668	1391
1049	9682	1383
1050	9687	1373
1051	9699	1364
1052	9705	1354
1053	9713	1345
1054	9722	1336
1055	9727	1326
1056	9735	1317
1057	9741	1307
1058	9749	1298
1059	9757	1288
1060	9765	1279
1061	9772	1269
1062	9783	1260
1063	9795	1252
1064	9805	1242
1065	9813	1233
1066	9822	1224
1067	9827	1214
1068	9830	1204
1069	9838	1195
1070	9846	1186
1071	9853	1176
1072	9858	1166
1073	9864	1157
1074	9871	1147
1075	9876	1138
1076	9884	1128
1077	9889	1119
1078	9899	1110
1079	9903	1100
1080	9913	1091
1081	9921	1082
1082	9925	1072
1083	9930	1062
1084	9937	1053
1085	9944	1043
1086	9951	1034
1087	9960	1025
1088	9967	1015
1089	9977	1006
1090	9986	997
1091	9994	988
1092	9999	978
1093	10006	969
1094	10010	959
1095	10016	950
1096	10023	941
1097	10027	931
1098	10038	922
1099	10044	913
1100	10050	903
1101	10054	894
1102	10058	884
1103	10064	875
1104	10070	865
1105	10077	856
1106	10086	847
1107	10093	838
1108	10100	828
1109	10106	819
1110	10113	810
1111	10117	800
1112	10121	791
1113	10133	782
1114	10141	773
1115	10150	764
1116	10156	754
1117	10162	745
1118	10166	735
1119	10173	726
1120	10177	717
1121	10183	707
1122	10189	698
1123	10198	689
1124	10204	680
1125	10210	671
1126	10217	661
1127	10221	652
1128	10230	643
1129	10242	634
1130	10246	625
1131	10250	615
1132	10260	606
1133	10270	597
1134	10274	588
1135	10279	579
1136	10289	570
1137	10295	560
1138	10304	551
1139	10309	542
1140	10317	533
1141	10334	524
1142	10339	515
1143	10344	506
1144	10349	497
1145	10356	488
1146	10363	478
1147	10374	469
1148	10379	460
1149	10383	451
1150	10388	442
1151	10399	433
1152	10405	424
1153	10411	415
1154	10415	405
1155	10418	396
1156	10426	387
1157	10431	378
1158	10444	369
1159	10448	360
1160	10453	351
1161	10459	342
1162	10466	332
1163	10470	323
1164	10475	314
1165	10482	305
1166	10486	296
1167	10496	287
1168	10500	278
1169	10510	269
1170	10514	260
1171	10522	251
1172	10528	242
1173	10532	233
1174	10536	224
1175	10541	215
1176	10549	206
1177	10558	197
1178	10564	188
1179	10570	179
1180	10577	170
1181	10590	161
1182	10597	152
1183	10602	143
1184	10606	134
1185	10615	125
1186	10623	116
1187	10628	107
1188	10638	98
1189	10645	89
1190	10651	80
1191	10655	71
1192	10659	62
1193	10663	53
1194	10671	44
1195	10679	35
1196	10684	26
1197	10690	17
1198	10698	8
1199	10706	0
