leaves,trees,state,accuracy_train,accuracy_test
4.0,150.0,2.0,0.8507097025998721,0.8126186073759388
4.0,700.0,2.0,0.8507989635110011,0.8125138535272101
4.0,1000.0,2.0,0.8509217732639446,0.81243413709473
4.0,800.0,2.0,0.8508237524361343,0.812393673755619
4.0,800.0,2.0,0.8508237524361343,0.812393673755619
4.0,800.0,2.0,0.8508237524361343,0.812393673755619
4.0,350.0,2.0,0.8505633947152683,0.8123682472686946
6.0,1000.0,2.0,0.8318336599279019,0.8041987337847684
6.0,700.0,2.0,0.8320582774672362,0.8038718630389164
6.0,250.0,2.0,0.8318497289060404,0.8028557318730718
6.0,250.0,2.0,0.8318497289060404,0.8028557318730718
6.0,300.0,2.0,0.8319217282156444,0.8025656789090769
6.0,50.0,2.0,0.830611826761879,0.8024465987316757
6.0,50.0,2.0,0.830611826761879,0.8024465987316756
6.0,100.0,2.0,0.8309321073562076,0.8006106486288871
4.0,700.0,1.0,0.8557451944217365,0.7962205942598876
4.0,600.0,1.0,0.8556853464364289,0.7961888022552325
4.0,400.0,1.0,0.8556148486238979,0.7961601167522412
4.0,800.0,1.0,0.8558063224402921,0.7961061401256783
4.0,300.0,1.0,0.8555384075386301,0.7959329345902357
4.0,500.0,1.0,0.8557241748679572,0.7959237327559625
4.0,150.0,1.0,0.8550884257735442,0.7958394582091955
4.0,1000.0,1.0,0.8557107748546487,0.7958067789730267
8.0,700.0,2.0,0.8189953597033965,0.7957912563025018
8.0,700.0,2.0,0.8189953597033965,0.7957912563025018
8.0,900.0,2.0,0.8189207944785957,0.795628033760474
8.0,1000.0,2.0,0.8189533258460879,0.7955666706889395
8.0,600.0,2.0,0.8187616758744991,0.7954168078537037
4.0,200.0,1.0,0.855143173216489,0.795124303582822
8.0,50.0,2.0,0.8165364145836189,0.7944651833579844
8.0,300.0,2.0,0.818437534215178,0.794324718082664
4.0,50.0,3.0,0.8526219249617317,0.789720954494776
6.0,800.0,1.0,0.8372876174919185,0.7891832902123883
6.0,800.0,1.0,0.8372876174919185,0.7891832902123883
4.0,250.0,3.0,0.8532204088153794,0.7891098591374011
4.0,250.0,3.0,0.8532204088153794,0.7891098591374011
6.0,350.0,1.0,0.837365019395957,0.7889385790257578
4.0,400.0,3.0,0.8530484097836744,0.7888613413540055
6.0,300.0,1.0,0.8370347713147179,0.7885203111258041
4.0,200.0,3.0,0.8532322821345308,0.7883674124560109
4.0,150.0,3.0,0.8532100687951564,0.7882873033691282
4.0,500.0,3.0,0.8528955356838641,0.7877686611071462
4.0,800.0,3.0,0.8530061164032661,0.7871287731030463
10.0,1000.0,2.0,0.8078281450113576,0.7870750668331585
10.0,900.0,2.0,0.807758390461181,0.7870745151205842
4.0,900.0,3.0,0.8529932280054945,0.7870719429551609
10.0,700.0,2.0,0.8075555846099378,0.7870687137117842
10.0,150.0,2.0,0.807467397604362,0.7870646338610585
4.0,1000.0,3.0,0.8530144491110756,0.7869965116666778
6.0,100.0,1.0,0.8371630395880448,0.7869005075539796
10.0,500.0,2.0,0.8075906729361827,0.7868957968402511
10.0,600.0,2.0,0.8073904234720379,0.7868770281184407
10.0,200.0,2.0,0.8069507153043665,0.7862894920177785
6.0,50.0,1.0,0.8353543102663576,0.7838573199883823
6.0,50.0,1.0,0.8353543102663576,0.7838573199883823
8.0,900.0,1.0,0.8237407414386972,0.7800452158988777
8.0,800.0,1.0,0.8238196042000703,0.7799646589717264
8.0,200.0,1.0,0.823082618541268,0.7793218052643602
8.0,350.0,1.0,0.8233385637382022,0.779294638160045
8.0,350.0,1.0,0.8233385637382022,0.779294638160045
8.0,400.0,1.0,0.8232975651330547,0.779192267480815
8.0,400.0,1.0,0.8232975651330547,0.779192267480815
6.0,200.0,3.0,0.8348749152818485,0.7782355297128674
6.0,300.0,3.0,0.8350733721446143,0.7782159380281943
6.0,250.0,3.0,0.8349339228125271,0.7779889428043016
6.0,150.0,3.0,0.8345711372261138,0.7776316000239968
6.0,150.0,3.0,0.8345711372261138,0.7776316000239968
8.0,50.0,1.0,0.8226544724028262,0.7772550613622814
6.0,50.0,3.0,0.834024631458067,0.7767592646700727
6.0,600.0,3.0,0.8352841060224101,0.7762860824242858
6.0,600.0,3.0,0.83528410602241,0.7762860824242858
6.0,700.0,3.0,0.8353335870996768,0.7761985853881679
6.0,1000.0,3.0,0.8353320837884829,0.775879849512251
6.0,800.0,3.0,0.8352896636935694,0.7758463925466321
6.0,900.0,3.0,0.8352338033382491,0.775809324831779
10.0,800.0,1.0,0.8130182554054259,0.77379519080906
10.0,350.0,1.0,0.8128255926862527,0.7737433256135479
10.0,400.0,1.0,0.8128776020019193,0.7737314685470735
