leaves,trees,state,accuracy_train,accuracy_test
4.0,400.0,1.0,0.8244637846650518,0.7801756687608767
4.0,100.0,1.0,0.8239695930951777,0.7800339481013554
4.0,350.0,1.0,0.8244462785875917,0.779914726392235
4.0,800.0,1.0,0.8238455124805555,0.7799131081269408
6.0,150.0,1.0,0.804468053350171,0.7725320703384309
6.0,700.0,1.0,0.8034444213409117,0.7723097671772192
8.0,100.0,1.0,0.7840039499178413,0.7632345436508552
8.0,100.0,1.0,0.7840039499178413,0.7632345436508552
8.0,400.0,1.0,0.7830684646782153,0.7624352521019471
8.0,1000.0,1.0,0.7830341123957515,0.7619824980968655
8.0,800.0,1.0,0.7826410085271968,0.7616670514698869
8.0,900.0,1.0,0.7828723166545676,0.7615242775039929
4.0,400.0,2.0,0.8237590058852149,0.7503380845371862
10.0,400.0,1.0,0.7651773872533361,0.750158751270517
10.0,400.0,1.0,0.7651773872533361,0.750158751270517
10.0,200.0,1.0,0.7660418984029898,0.7497131974442383
10.0,300.0,1.0,0.7656734274752216,0.749466904064427
4.0,900.0,2.0,0.8237500893961399,0.7492107329818141
4.0,300.0,2.0,0.8234552788722269,0.7491286317326875
4.0,300.0,2.0,0.8234552788722269,0.7491286317326875
10.0,900.0,1.0,0.7644829212789045,0.748843467195053
4.0,200.0,2.0,0.8231866333622097,0.7483544291769078
4.0,1000.0,3.0,0.8316093276738548,0.7396300885508222
4.0,700.0,3.0,0.8316587759767956,0.7388179018393919
4.0,300.0,3.0,0.8310252288950595,0.7358409704151556
4.0,250.0,3.0,0.8307416938417287,0.735379250649332
4.0,200.0,3.0,0.8302922252193597,0.7338327671847238
6.0,250.0,2.0,0.8039145562739226,0.7169290692128609
6.0,150.0,2.0,0.8039814147734615,0.7168249650134967
6.0,500.0,2.0,0.8034459220483721,0.7162539049396783
6.0,1000.0,3.0,0.8082593488173946,0.7159102434213312
8.0,400.0,3.0,0.791073697630519,0.6991159188651649
8.0,300.0,3.0,0.7896923026466736,0.696775211999099
8.0,250.0,3.0,0.7896215822114223,0.6967055452938766
10.0,500.0,3.0,0.7756831056007554,0.6877859312946855
10.0,500.0,3.0,0.7756831056007554,0.6877859312946855
8.0,50.0,3.0,0.7836603838384847,0.6876895403764647
10.0,800.0,3.0,0.775816818419917,0.6876751164930843
10.0,900.0,3.0,0.7756990431371511,0.6874868920333735
10.0,900.0,3.0,0.7756990431371511,0.6874868920333734
10.0,300.0,3.0,0.7745180467596127,0.6868627991063678
8.0,900.0,2.0,0.7862873579037861,0.6863485018877791
8.0,300.0,2.0,0.7861868967204025,0.685954393461081
8.0,300.0,2.0,0.7861868967204025,0.685954393461081
8.0,800.0,2.0,0.7861860391955232,0.6857681045807394
10.0,600.0,2.0,0.7739499867414915,0.6726493209935531
10.0,50.0,3.0,0.7684529367966911,0.672091433208897
10.0,700.0,2.0,0.77399666860221,0.6720682933249782
10.0,900.0,2.0,0.7738790076124652,0.6712009947157582
10.0,1000.0,2.0,0.7737900035915015,0.6710564705639513
