min_CNLs,consensus_thres,consensus_alg,removeminusones_df,random_seed,tree,leaf,learn_rate,accuracy_train,accuracy_test
3,0.2,removal,0,1,1600,10,0.1,0.7977426707315309,0.17192739197238438
3,0.1,replacement,0,1,1300,13,0.05,0.7909953473700408,0.20082039657578554
3,0.1,removal,0,3,1000,10,0.15,0.8163469870990246,0.10456808954035846
3,0.2,replacement,0,2,1000,40,0.01,0.5999882134653965,0.23196945225487464
2,0.1,removal,0,2,1000,7,0.1,0.7813374903557457,-0.043183472228685016
3,0.25,replacement,0,3,800,7,0.05,0.7670530109997169,0.11446984685398143
0,0.25,removal,0,1,1600,7,0.15,0.7920825198129829,-0.17680601341079827
3,0.2,removal,0,1,400,7,0.05,0.6683883678014471,0.22971993401912016
3,0.1,removal,0,1,1600,7,0.05,0.7694557887997492,0.22848354632603474
0,0.25,replacement,0,3,800,13,0.01,0.5290507252646808,0.3239754111154217
0,0.1,removal,0,2,800,7,0.05,0.719912011972828,0.15674376309034022
2,0.25,removal,0,2,1000,13,0.2,0.8085355849516962,-0.0331275347494564
1,0.1,removal,0,3,1600,40,0.1,0.7765323238325329,0.09965236826296342
0,0.2,removal,0,3,200,13,0.1,0.631401514487036,0.31392694319405756
3,0.0,replacement,0,3,800,7,0.1,0.7890404103388908,0.11938815438431283
2,0.2,replacement,0,2,800,4,0.05,0.7499169145448,0.06537100555104391
0,0.1,removal,0,3,1300,13,0.2,0.7875684253057776,0.15298924097401423
1,0.25,removal,0,3,400,40,0.2,0.7456678250453627,0.0014092372994964908
2,0.25,removal,0,1,200,4,0.2,0.7193498559393858,0.27789039203707633
1,0.25,replacement,0,3,1300,4,0.2,0.8455148153822127,0.1064181226659503
0,0.1,removal,0,1,600,10,0.1,0.7271225548990261,0.005694921689428312
3,0.2,removal,0,1,1300,7,0.01,0.622131728414226,0.23787175385096793
1,0.0,replacement,0,2,400,7,0.01,0.47821371426407955,0.30507684107716904
2,0.1,replacement,0,3,1000,13,0.15,0.8373205228177765,0.10983780983793201
3,0.1,removal,0,2,800,13,0.1,0.7650274274190139,0.1168836510769039
2,0.25,replacement,0,3,1600,13,0.01,0.6437704754006315,0.10093430716744356
0,0.2,replacement,0,1,1300,10,0.01,0.5924516084406335,0.12528799454955997
