min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,max_depth,accuracy_train,accuracy_test
3,0.1,replacement,2,800,40,0.1,2.0,7,0.8176518831452803,0.15240027468327777
2,0.25,replacement,2,200,4,0.1,1.2,16,0.7026365029539118,0.027653119222660227
0,0.25,removal,1,1300,4,0.2,1.5,12,0.8022325490220895,-0.16865245002195417
3,0.1,removal,2,1600,10,0.05,1.2,3,0.6383797303016889,0.14560581292988906
1,0.0,removal,1,1600,40,0.01,2.5,3,0.448872700667462,0.27903137585348714
0,0.25,replacement,1,800,13,0.2,1.5,12,0.8345566061413278,-0.09398306739982076
2,0.25,replacement,3,600,4,0.1,1.2,12,0.7949113065823866,0.08014563926978702
2,0.2,removal,3,400,4,0.01,2.5,16,0.5321354210868877,0.13179772310174231
3,0.2,removal,3,1300,7,0.15,1.0,7,0.8284928865213699,-0.01186681454213856
3,0.1,replacement,3,1300,4,0.05,2.5,16,0.8188519795672886,0.06179589877063052
0,0.0,replacement,3,200,10,0.15,1.5,7,0.676370329590616,0.2492020934994007
3,0.2,replacement,2,1000,10,0.01,1.2,12,0.6264018547645758,0.22954964263433886
3,0.1,removal,2,800,10,0.2,1.2,7,0.7995092474783378,0.08190189204842835
3,0.25,removal,1,600,13,0.01,1.0,12,0.5915010368662991,0.225508682461791
1,0.25,replacement,1,400,40,0.15,2.5,12,0.7821195942015254,0.14053061408822332
3,0.25,replacement,1,400,13,0.2,1.0,3,0.6637858294751391,0.21774127668034504
0,0.0,removal,1,600,13,0.05,1.2,16,0.6891042055636465,0.004825745622480837
2,0.1,removal,2,1600,7,0.2,2.5,16,0.823024826479649,-0.08408972420272942
0,0.0,removal,3,400,4,0.05,1.2,3,0.4864813493471314,0.3664570379081574
3,0.25,removal,1,600,4,0.01,2.5,3,0.4072598971223932,0.18762067755788914
1,0.25,removal,2,1600,7,0.05,2.5,16,0.776530880076875,0.144019089338977
0,0.1,replacement,1,800,7,0.1,1.5,7,0.7938227829129941,-0.042549374684005103
0,0.0,replacement,1,1600,4,0.05,1.0,12,0.752893284663684,-0.009965863153239995
3,0.0,replacement,3,1300,4,0.05,1.2,16,0.7853361815943897,0.14258528997159903
