min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
3,0.2,replacement,3,400,0.12,10,0.9771696557506853,0.32500317512039667
0,0.2,replacement,3,800,0.1,8,0.9785029891405809,0.276354281611792
2,0.2,removal,3,1000,0.1,4,0.8971283081989505,0.2724392599549339
1,0.0,replacement,2,1600,0.08,8,0.971242706553952,0.3207507827681487
1,0.2,replacement,2,600,0.08,10,0.9683998340194131,0.28269336802329537
3,0.1,removal,1,800,0.05,10,0.938506394162647,0.2522016219874271
2,0.25,removal,2,1600,0.05,6,0.9520386708684129,0.24789837286929906
1,0.1,removal,1,1000,0.05,10,0.9284176818999552,0.17371042388256552
1,0.25,removal,3,1300,0.05,6,0.9364066483271501,0.2029070884588421
2,0.25,removal,2,1300,0.12,8,0.9833005668459673,0.22970409758620614
3,0.0,removal,1,800,0.12,10,0.9749223689722641,0.20230373811475877
1,0.25,replacement,1,800,0.15,8,0.9922269613458214,0.19058076289464632
1,0.2,removal,2,1600,0.05,4,0.8664430662530751,0.33740620919346964
0,0.0,replacement,2,600,0.05,8,0.8594538086007051,0.40191341648192647
1,0.2,replacement,1,1300,0.1,4,0.9493398792084564,0.2421302894323597
0,0.1,removal,3,1600,0.12,4,0.9219999273939439,0.06633117104543951
0,0.25,removal,2,800,0.12,4,0.8570387882111772,0.3856680285613987
0,0.25,replacement,3,1000,0.1,10,0.9871104458994366,0.27564108432822587
3,0.25,removal,1,1000,0.1,6,0.9721255838895342,0.18077790641216696
2,0.0,removal,1,1600,0.08,10,0.9790735341973239,0.18653738450515178
0,0.1,replacement,2,1000,0.05,6,0.941060043051976,0.3682109348050938
0,0.25,removal,2,1600,0.05,6,0.9232271559671213,0.3774192239379105
3,0.25,replacement,1,600,0.15,8,0.9915238261066278,0.30093896637029016
3,0.1,removal,1,1300,0.1,4,0.9331255076868603,0.23930367855564227
0,0.2,removal,2,1300,0.05,6,0.9106948154842924,0.4018171250699958
1,0.25,removal,3,400,0.05,6,0.8182899089215772,0.2521617756995669
2,0.25,removal,2,1000,0.1,8,0.9713140834951495,0.27212771968284766
3,0.0,replacement,1,1600,0.08,10,0.9827759525250735,0.21606924781538162
0,0.1,removal,2,1600,0.15,6,0.970997648603857,0.2979039520921912
3,0.25,replacement,3,1000,0.1,4,0.9404176674957867,0.32723066186814076
2,0.25,removal,1,1300,0.1,4,0.926372527450752,0.11854038692295399
2,0.0,replacement,1,1300,0.15,4,0.9454109140087219,0.14331370920018527
1,0.0,removal,2,600,0.15,10,0.9622483052806179,0.3094801726833005
2,0.25,removal,3,600,0.15,4,0.8885741910216582,0.30845417389093355
1,0.2,removal,1,1300,0.12,8,0.9790572048109278,-0.031015688693246446
0,0.25,replacement,2,800,0.15,6,0.9807526680516231,0.3798453170985482
0,0.2,removal,2,1300,0.1,8,0.9602440312302235,0.34487771279278345
3,0.25,replacement,3,800,0.08,8,0.9839564724141399,0.34543693719456103
1,0.0,removal,2,1300,0.15,10,0.9839764813084645,0.30389063038502806
1,0.2,replacement,2,1300,0.12,10,0.9965211256155887,0.25856760111573207
2,0.25,removal,1,800,0.12,10,0.9720250795118152,0.154113326223972
0,0.1,replacement,2,1000,0.12,10,0.9910545271769301,0.3724208147339563
2,0.1,removal,1,1000,0.05,6,0.9284714830783601,0.23134858950037773
3,0.2,replacement,3,800,0.15,6,0.9931541392604614,0.3521776658448589
0,0.1,replacement,1,1600,0.08,6,0.9874876682705275,0.1327207384256085
2,0.2,replacement,1,600,0.12,4,0.9151795386144326,0.18392695798898429
0,0.2,replacement,1,400,0.1,4,0.8353306515321444,0.21668167502884306
0,0.25,replacement,3,1300,0.08,6,0.976373978908031,0.2506490987081753
1,0.25,removal,1,600,0.05,4,0.7426615807303287,0.2701119942537066
2,0.0,removal,2,600,0.05,8,0.8958039314335364,0.35399547443315194
0,0.2,removal,1,800,0.05,10,0.9083807435182707,0.17750322266103913
0,0.2,replacement,3,800,0.12,6,0.9763677541418483,0.27757539860508096
2,0.1,removal,1,1000,0.15,4,0.9313435020035318,0.18260503698100428
3,0.1,replacement,1,1600,0.08,8,0.9963088627944958,0.32233110185073643
1,0.25,replacement,3,1600,0.12,6,0.9950366724724808,0.21874608596650824
0,0.1,replacement,1,800,0.05,10,0.955008690611246,0.1735809912667442
1,0.1,replacement,1,600,0.08,6,0.9496598626688293,0.2683389308701213
2,0.2,replacement,2,600,0.12,6,0.9775462744789905,0.27686692722259587
2,0.1,removal,2,800,0.08,8,0.9508101156538306,0.2587448475692078
0,0.2,removal,1,800,0.08,4,0.8339856135966013,0.19499996528571317
0,0.0,removal,2,600,0.12,6,0.9155150612103373,0.37462340147595574
0,0.1,replacement,2,600,0.15,8,0.9833775560696209,0.37358157951144644
0,0.2,replacement,3,600,0.1,4,0.8780007026851812,0.3187306819741036
1,0.25,replacement,1,1600,0.15,4,0.9741370335756868,0.20480219152495505
3,0.2,removal,2,1300,0.15,4,0.9527614073365711,0.30082073303211276
1,0.0,replacement,3,800,0.05,10,0.9187746280245512,0.25967525009202086
3,0.0,replacement,1,1000,0.05,10,0.9502259908696203,0.249646254735145
3,0.1,replacement,1,1000,0.08,4,0.935273854691089,0.35339664532906456
2,0.0,removal,1,400,0.15,4,0.8580154230903797,0.19398778588930998
1,0.2,removal,1,1000,0.12,6,0.9631129180584199,-0.03627687804496671
3,0.25,removal,1,400,0.15,6,0.9495911079431781,0.18693772902479344
1,0.25,replacement,2,1600,0.1,6,0.9920000488390188,0.2266217517991196
0,0.1,removal,2,600,0.15,8,0.944456714716691,0.34821900713286613
3,0.0,replacement,1,600,0.08,6,0.9293939019698054,0.22118118494029826
1,0.1,removal,3,600,0.05,10,0.8949411462327538,0.2641384039307698
2,0.0,replacement,1,800,0.05,6,0.9071565392175468,0.22339983142803999
0,0.25,removal,1,400,0.15,10,0.9332358359933282,0.10269784064437526
1,0.1,removal,1,400,0.15,6,0.9244100549715318,0.11294313770074582
