min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
0,0.25,replacement,3,1000,0.01,10,7,0.9934731278733819,0.644151646864451,0.707878490067158,0.3452665540790272
2,0.0,removal,2,800,0.1,10,9,0.4851547048793672,0.7640628926534008,0.9588660466219453,0.23594199949031847
0,0.25,replacement,3,600,0.01,13,8,0.015644047376224712,0.5812234908140477,0.35281429831427613,0.24510768828282514
0,0.0,removal,2,1000,0.1,25,10,0.4199267439440768,0.8947210309909144,0.9448139891641414,0.3634571198852429
1,0.25,replacement,1,1000,0.1,7,9,0.4981698256013547,0.23722465179211127,0.9721209944468483,0.21066542738137473
3,0.25,replacement,2,800,0.05,25,7,0.35569801882949004,0.21161717753467402,0.8864502279667152,0.3529905968993815
2,0.0,removal,1,800,0.01,7,10,0.6164867248805315,0.5313151537094591,0.7297834800863392,0.30715909280307485
2,0.1,removal,1,600,0.05,4,4,0.8463700195093233,0.5053696513403603,0.7553490071043094,0.2635648476909206
3,0.1,removal,1,1000,0.01,25,9,0.1349739070482372,0.7157828636367569,0.7520536918869677,0.2696210425529396
3,0.25,replacement,1,600,0.08,25,4,0.27163263677360416,0.8669707797952664,0.8119115744042751,0.3317008364870472
2,0.0,replacement,3,1000,0.08,10,8,0.8387223785108784,0.16905342604009443,0.9203592611639619,0.3826430439447789
2,0.25,removal,2,600,0.1,25,7,0.40501875935113674,0.6015979789064652,0.9316929134074492,0.28789266591196894
0,0.2,replacement,1,1000,0.05,13,4,0.5149023750860391,0.8557757003184372,0.8408460155287611,0.2245217062491638
3,0.1,removal,3,600,0.01,4,9,0.13613618482238987,0.6553788379291552,0.6648639123152669,0.39381608593263284
3,0.1,removal,1,800,0.08,7,10,0.24534704295504883,0.8589552437857058,0.9514927612795311,0.26515984772146994
1,0.1,removal,2,800,0.05,4,6,0.6390431607783216,0.639656462016291,0.8747711112980096,0.36549315950440653
1,0.2,removal,1,600,0.1,25,5,0.13512575278763328,0.9904535698111883,0.8497633226077157,0.1528649287384991
0,0.25,removal,1,600,0.01,25,7,0.6774442833876717,0.5578826724863175,0.6410463136306768,0.22844980996144892
1,0.25,replacement,1,800,0.01,4,4,0.2629025577286175,0.3870558223335556,0.5020184213090788,0.2847307827756106
3,0.1,replacement,3,1000,0.01,25,4,0.5801259712218529,0.07190262408862158,0.4993805331004779,0.3165896270530961
0,0.0,removal,2,1000,0.08,4,8,0.7461699973099412,0.9657917455240175,0.9346191778841184,0.3765851640019543
2,0.25,removal,1,600,0.05,25,4,0.3067469925253905,0.17073563074590603,0.695297922033494,0.27058744435003423
2,0.25,replacement,1,800,0.08,4,6,0.849242894945246,0.45375850060189826,0.9609340149768648,0.1586293308380683
1,0.0,removal,1,800,0.01,4,7,0.011288930623257976,0.21702795880840542,0.502208988829449,0.27496022978785184
2,0.2,replacement,1,1000,0.1,4,5,0.4572831065828149,0.55786855863308,0.9545159327442212,0.18090066989583808
3,0.0,removal,3,800,0.1,13,10,0.5036086096986068,0.5388889085065296,0.9601412322717549,0.3855145673234388
2,0.0,replacement,3,600,0.05,10,7,0.19060666096514978,0.5123848604920245,0.8400912559871936,0.4080116663117547
0,0.2,replacement,3,800,0.05,4,7,0.9286925454302581,0.20592736808288614,0.9102367236413031,0.31259410279006505
0,0.2,replacement,3,800,0.01,25,6,0.5085718916352193,0.3059949021920243,0.5868558179411254,0.313185181959465
3,0.2,replacement,2,1000,0.05,13,8,0.8452769946409944,0.46032530730204324,0.9705574240933532,0.3752356051576555
2,0.25,removal,2,800,0.08,10,10,0.6933061395819871,0.7368714664339038,0.95510318721476,0.2922471658765551
2,0.25,removal,2,1000,0.01,25,5,0.44200275923801535,0.618728844771034,0.6509132269878424,0.3780899219738042
3,0.25,replacement,2,600,0.01,13,7,0.899687641276069,0.21451459469719358,0.6058701549640353,0.3853403144163008
3,0.2,removal,2,1000,0.01,7,8,0.7562136628451015,0.39273979041464235,0.7286364000979231,0.47862714024215736
3,0.2,removal,1,600,0.08,7,8,0.24617191170976183,0.7609525491471225,0.9318788670351492,0.24277683893320823
0,0.2,replacement,3,800,0.1,10,8,0.3617059607721409,0.27853547656083877,0.943018728756966,0.28885482266751117
2,0.2,replacement,3,1000,0.1,10,7,0.9038986653336638,0.12890274889949516,0.9738738715119839,0.3615086177486393
1,0.2,removal,1,800,0.01,10,4,0.23957617768690098,0.765600736667353,0.5495455557979982,0.289740922398244
1,0.2,removal,3,600,0.1,10,10,0.6131753201799517,0.2557097355461617,0.9191781028835857,0.2003364710800587
2,0.25,removal,2,800,0.01,13,9,0.12872407242451533,0.8390099488506542,0.7085095749749594,0.3863457410604204
0,0.0,removal,1,1000,0.05,4,6,0.11841196803096321,0.24878225955607958,0.8023071351616755,0.21242410902468967
1,0.1,removal,1,1000,0.08,4,10,0.6550620925952355,0.15627661048902186,0.9128363584940511,0.18936328246521783
1,0.2,removal,3,600,0.05,4,4,0.7588776810726834,0.5033854076949991,0.7387361210047918,0.27418902959496017
3,0.1,replacement,1,800,0.1,13,9,0.06635802223239273,0.7249388620693082,0.8688349086241726,0.2902995016532125
