min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
0,0.2,removal,1,600,0.05,25,4,0.27,0.27,0.6641123250563613,0.2792028584854255
5,0.25,removal,3,600,0.01,4,7,0.38,0.12,0.6175515983342058,0.16812511578697453
3,0.25,replacement,1,1000,0.1,7,7,0.89,0.25,0.9859265080590461,0.01449705439208715
0,0.25,removal,2,600,0.05,25,9,0.48,0.43,0.8555952976165646,0.3117041452867618
5,0.0,replacement,1,800,0.05,13,5,0.07,0.53,0.8032602814222294,0.3122028439431449
0,0.25,replacement,1,600,0.01,25,5,0.54,0.72,0.5481943608470958,0.2535708636905034
3,0.0,removal,2,800,0.01,4,8,0.77,0.09,0.5877500693270584,0.23768560990770293
5,0.0,replacement,2,1000,0.05,25,5,0.27,0.71,0.885695538326991,0.2688809064742189
5,0.2,replacement,1,600,0.08,4,10,0.87,0.79,0.9809197563744361,0.2714702833657612
5,0.0,removal,2,800,0.01,10,6,0.78,0.72,0.699967095698363,0.33147998298093806
3,0.25,removal,1,800,0.08,10,8,1.0,0.17,0.9313990350963127,0.11132507574578654
0,0.0,replacement,1,800,0.1,25,6,0.55,0.41,0.9015752674229618,0.2303402041220166
3,0.0,removal,3,800,0.01,25,6,0.54,0.28,0.6361648412301129,0.4115506533049891
5,0.2,replacement,1,1000,0.08,13,4,0.71,0.25,0.9126784002542067,0.25868735583815083
3,0.2,removal,1,600,0.08,4,8,0.34,0.97,0.9383616323603814,0.13127515736093698
5,0.0,replacement,3,600,0.1,25,8,0.09,0.59,0.907540265831658,0.12571994447712675
3,0.25,removal,1,800,0.1,25,9,0.66,0.66,0.9667618663273799,0.11625513687119349
0,0.25,replacement,2,600,0.01,13,7,0.29,0.07,0.4747942252053097,0.2552520575367282
3,0.0,removal,1,600,0.1,25,10,0.37,0.7,0.9476308679385869,0.08734856373392985
5,0.25,removal,3,1000,0.08,4,5,0.96,0.39,0.945347276033766,0.06128221390462285
0,0.0,removal,2,600,0.1,10,10,0.18,0.81,0.9078113164109713,0.3111250789235558
0,0.25,removal,3,800,0.1,10,6,0.65,0.11,0.8232114012338306,0.0955523584411152
0,0.0,replacement,1,800,0.05,7,8,0.76,0.51,0.8849856812965915,0.2525033542717148
5,0.0,removal,1,1000,0.01,4,4,0.34,0.81,0.6242020379161883,0.3545780427622912
0,0.25,replacement,3,1000,0.05,25,4,0.74,0.19,0.7942220402790251,0.1832770999331711
0,0.2,replacement,1,600,0.08,7,5,0.64,0.96,0.9047859291558646,0.21939906876678616
5,0.25,removal,2,600,0.05,7,5,0.24,0.67,0.835345197428876,0.2758508960731957
5,0.0,removal,3,1000,0.08,25,9,0.33,0.76,0.9670021173380161,0.10316089392793293
3,0.0,removal,3,600,0.08,4,9,0.37,0.72,0.9308501424434797,0.38342762965044963
0,0.0,replacement,3,800,0.01,4,9,0.16,0.35,0.6250281947873759,0.1682306882983361
3,0.25,replacement,1,600,0.01,25,6,0.61,0.82,0.6374244529382597,0.24380457395504362
0,0.2,replacement,2,1000,0.08,13,9,0.64,0.29,0.9671400184630145,0.2763655755605844
0,0.25,removal,2,600,0.08,25,10,0.81,0.07,0.787511256511053,0.2974193277749059
0,0.0,removal,3,1000,0.08,7,4,0.7,0.13,0.7340932498964745,0.16817482987515486
5,0.25,replacement,1,1000,0.1,4,5,0.47,0.43,0.9638870364074922,0.2646440966805149
5,0.25,replacement,1,800,0.01,10,9,0.85,0.4,0.7466905944564256,0.30961902407082764
3,0.0,replacement,1,1000,0.08,10,6,0.22,0.67,0.9369035558055782,0.1324922074421312
0,0.0,removal,1,800,0.08,25,8,0.96,0.16,0.8660502569343189,0.25897536406672683
0,0.2,removal,3,600,0.01,25,5,0.07,0.37,0.49391825322592364,0.18920113399647875
3,0.2,replacement,1,600,0.1,7,10,0.52,0.22,0.967435924419317,0.03958593432765467
0,0.2,removal,1,600,0.01,25,10,0.31,0.82,0.6671157717128098,0.2740574633994678
0,0.25,removal,3,800,0.08,4,10,0.49,0.39,0.9083043588373619,-0.0487066961651903
3,0.25,removal,1,1000,0.08,4,5,0.19,0.17,0.867487290265422,0.13460775900199107
3,0.0,replacement,2,1000,0.08,25,5,0.65,0.93,0.9368147286773655,0.08780312136243529
3,0.2,replacement,3,800,0.1,7,9,0.4,0.2,0.9646686290974293,0.3340173490610979
3,0.2,removal,1,1000,0.08,10,5,0.46,0.37,0.9179691686627021,0.14510323748129839
5,0.0,removal,3,1000,0.1,25,4,0.95,0.14,0.8643645929420536,0.0762025280519475
0,0.0,replacement,3,800,0.05,25,10,0.79,0.15,0.8255594719990077,0.13236136622690442
3,0.25,replacement,3,1000,0.01,25,6,0.69,0.14,0.6385108515580027,0.33814223847050806
0,0.2,replacement,1,600,0.01,13,4,0.33,0.64,0.4804068226440906,0.24329074387613392
3,0.25,removal,1,600,0.05,13,6,0.91,0.86,0.8844139445992577,0.19276814040068646
0,0.2,replacement,2,600,0.1,4,4,0.9,0.89,0.8840301987634787,0.30132363386024896
3,0.2,removal,1,600,0.1,10,8,0.68,0.24,0.9350569728637834,0.13540650319857717
3,0.0,removal,1,600,0.1,25,6,0.44,0.65,0.9278411896542362,0.10920412098667165
5,0.0,replacement,2,1000,0.01,25,8,0.25,0.13,0.6810140573729347,0.2779360206782223
5,0.25,replacement,2,600,0.08,10,8,0.77,0.52,0.9767599280853871,0.2289557373476171
0,0.0,replacement,2,1000,0.08,4,7,0.32,0.73,0.9212063332334703,0.28254420997263097
3,0.2,removal,1,800,0.05,7,10,0.34,0.78,0.9330540268929344,0.17872584849637352
3,0.25,removal,3,600,0.05,10,10,0.28,0.39,0.8889955046904773,0.379041855449444
3,0.0,replacement,3,800,0.05,25,7,0.87,0.39,0.9037552821953828,0.37930353428856267
5,0.25,replacement,2,800,0.05,13,4,0.87,0.72,0.8669463230918435,0.2643461131374525
3,0.2,replacement,3,800,0.01,7,8,0.93,0.49,0.6983803483674016,0.36642088580721155
3,0.0,removal,1,600,0.1,4,6,0.72,0.67,0.9372402419172478,0.09758735560102572
5,0.25,replacement,1,800,0.1,25,10,0.48,0.82,0.9886786376324538,0.293034317560085
0,0.0,replacement,3,1000,0.08,13,7,0.24,0.93,0.9097173678741227,0.02807960904438611
0,0.2,removal,2,600,0.01,10,10,0.31,0.3,0.6196894648263527,0.34571466857040345
0,0.2,removal,3,800,0.01,25,9,0.98,0.29,0.6442544788804272,0.1451954184737838
0,0.25,replacement,3,800,0.01,25,6,1.0,0.73,0.6437136824453292,0.21445588724724318
5,0.25,replacement,1,1000,0.1,7,5,0.32,0.24,0.940113386283267,0.27873528964315086
0,0.0,replacement,2,1000,0.01,7,6,0.66,0.9,0.6671937360115459,0.35012941776178663
3,0.2,replacement,1,600,0.1,7,10,0.9,0.35,0.9799078926842151,0.12316499629580324
3,0.25,removal,2,800,0.05,4,9,0.94,0.77,0.9378642701254936,0.16326908548559638
3,0.2,replacement,1,600,0.1,10,7,0.05,0.15,0.7302751821188331,0.16526995173130177
0,0.0,replacement,3,800,0.1,7,6,0.95,0.74,0.9210517067494555,0.09093513936620756
3,0.0,removal,3,800,0.05,7,5,0.89,0.71,0.863302524941976,0.3808275113341065
5,0.25,removal,3,1000,0.08,25,9,0.88,0.77,0.9765137826246996,0.13474542785530752
5,0.25,removal,1,800,0.01,25,5,0.81,0.66,0.6724052412390599,0.34618408281921187
5,0.0,replacement,1,800,0.08,25,8,0.88,0.89,0.9660347410453892,0.23368762944584398
5,0.25,replacement,2,800,0.08,10,6,0.93,0.33,0.9747526068644856,0.20025213616692916
5,0.25,replacement,2,800,0.01,4,8,0.7,0.75,0.7506321241658176,0.2900613859289244
5,0.25,removal,2,1000,0.1,25,4,0.33,0.06,0.7986359010287865,0.18296413653919552
0,0.0,removal,3,800,0.1,13,9,0.85,0.49,0.9260700553857126,-0.05674368260673912
3,0.0,replacement,1,600,0.08,7,9,0.87,0.77,0.9416932938863504,0.13879035042134802
0,0.0,removal,2,600,0.01,10,6,0.97,0.68,0.5930175973898537,0.34807454020662765
3,0.25,replacement,1,600,0.1,25,7,0.07,0.18,0.7049019506802818,0.14831157890922586
3,0.0,removal,2,1000,0.08,10,8,0.77,0.56,0.9639239224890825,0.06845570470134998
5,0.25,replacement,3,600,0.08,13,5,0.59,0.53,0.9253624271219547,0.13704237655185803
5,0.2,replacement,1,600,0.08,7,6,0.36,0.21,0.9217120379197543,0.27422986620443246
0,0.2,replacement,2,800,0.05,7,7,0.69,0.97,0.9379186581432485,0.3102680394549192
5,0.2,removal,3,1000,0.01,13,9,0.2,0.41,0.7628343540856359,0.21319391406355714
5,0.2,replacement,3,1000,0.01,10,9,0.69,0.39,0.7964892528705599,0.21086292867167278
3,0.0,removal,1,800,0.05,7,6,0.51,0.51,0.8933473986248331,0.182403268229547
3,0.2,removal,3,1000,0.1,25,9,0.38,0.99,0.9719963537676246,0.3634376831657846
3,0.0,removal,1,800,0.1,7,5,0.64,0.21,0.8987633124317732,0.15612424247575052
0,0.2,removal,1,800,0.08,4,10,0.7,0.53,0.9271883127359861,0.23539731627042837
3,0.2,removal,1,800,0.05,13,9,0.35,0.09,0.8471539711877439,0.1727933387246191
3,0.0,replacement,1,1000,0.01,7,9,0.05,0.31,0.6808840230547353,0.2645373142057298
3,0.0,replacement,3,800,0.01,4,9,0.07,0.32,0.6487552106323167,0.4178441905335125
5,0.0,replacement,3,800,0.05,10,10,0.75,0.09,0.8747054267674332,0.10168120850493234
3,0.0,removal,2,1000,0.05,4,9,0.34,0.62,0.9343081443971066,0.13221279641113814
5,0.0,removal,1,800,0.1,4,4,0.1,0.8,0.850051684023079,0.26639063614174496
5,0.2,replacement,2,1000,0.05,7,7,0.93,0.08,0.9397909606534651,0.19893059658907075
3,0.2,replacement,3,600,0.08,7,7,0.99,0.82,0.9693707530018556,0.35218808827353276
3,0.0,replacement,1,800,0.05,25,5,0.57,0.17,0.8037294382427105,0.19184612242170285
3,0.0,replacement,3,1000,0.08,7,8,0.05,0.62,0.8906345019032615,0.38754345459770967
3,0.2,replacement,3,600,0.01,4,9,0.37,0.19,0.5907738233474079,0.33164535822015073
5,0.0,replacement,3,800,0.01,7,8,0.88,0.73,0.7524637704413109,0.21287459937047104
3,0.0,removal,2,600,0.05,10,5,0.45,0.62,0.8261254994528994,0.20140211414575215
0,0.25,removal,2,1000,0.05,10,10,0.2,0.42,0.8852848176646017,0.2980085097904299
5,0.2,removal,1,800,0.01,13,8,0.72,0.83,0.7591870051829719,0.3426175207973119
3,0.25,removal,3,1000,0.05,7,6,0.9,0.44,0.9195164564050567,0.35807266771133894
0,0.2,removal,1,1000,0.05,10,10,0.86,0.41,0.9096731109108079,0.23052660369453493
0,0.25,removal,2,600,0.08,10,4,0.26,0.84,0.7772566401619859,0.3370976806942859
5,0.25,replacement,1,1000,0.1,10,9,0.77,0.69,0.9944447352325724,0.258443385210542
5,0.0,removal,3,600,0.05,7,9,0.98,0.43,0.914243044430846,0.13621622960553226
0,0.0,removal,2,1000,0.08,25,9,0.7,0.49,0.9331474209238286,0.24204361151588172
0,0.25,removal,1,1000,0.05,10,6,0.81,0.82,0.8909590151224951,0.2205038378473213
3,0.25,removal,1,800,0.1,25,5,0.91,0.19,0.9029096486240586,0.07739464038443578
5,0.2,replacement,1,800,0.1,4,10,0.31,0.38,0.9790180700392166,0.25331176055544
0,0.2,replacement,1,800,0.1,4,8,0.74,0.27,0.967562719184444,0.23450699795194463
3,0.25,removal,1,1000,0.01,4,5,0.41,0.41,0.6652501675463179,0.27573701100566006
0,0.0,removal,1,1000,0.1,13,8,0.88,0.63,0.9465935254201563,0.16976293123906816
0,0.0,replacement,3,1000,0.08,10,8,0.27,0.17,0.8540473744299248,0.12898224319298646
5,0.25,removal,2,600,0.08,13,9,0.68,0.65,0.9540937563050539,0.23337647442325926
3,0.2,replacement,1,600,0.1,4,6,0.62,0.19,0.9440157872028971,0.07030972769902111
0,0.2,replacement,1,600,0.01,10,5,0.97,0.99,0.5792990824464755,0.2507229668298975
5,0.0,replacement,2,600,0.1,7,4,0.49,0.36,0.8446417506994186,0.2605447295069505
0,0.2,removal,3,600,0.1,4,7,0.54,0.41,0.8867213227373393,0.052459044259510645
3,0.2,removal,3,800,0.08,13,6,0.79,0.59,0.9395727046598065,0.3605970542839759
3,0.2,replacement,3,800,0.05,10,5,0.61,0.65,0.8957707004233295,0.3649249040446171
5,0.2,removal,2,1000,0.05,13,9,0.89,0.35,0.9473007372302014,0.2764285647531781
0,0.0,replacement,1,600,0.01,10,8,0.28,0.11,0.5032945846781947,0.26845405043931936
5,0.2,removal,1,800,0.05,25,9,0.19,0.64,0.9280064320469977,0.26411766952866467
3,0.25,removal,3,1000,0.05,25,6,0.4,0.11,0.8454766195904982,0.36850972317006125
0,0.2,replacement,1,800,0.05,13,10,0.96,0.27,0.9396588069902598,0.24010061997438725
5,0.25,replacement,2,800,0.05,13,5,0.26,0.99,0.8683711780280265,0.2747810358283381
5,0.25,replacement,1,1000,0.08,7,7,0.85,0.24,0.9844074867208289,0.2647501102075883
0,0.25,replacement,3,1000,0.01,4,9,0.16,0.51,0.6607012770791527,0.22689604175534372
5,0.0,replacement,3,600,0.05,7,10,0.67,0.83,0.9259725229017095,0.15035046173492728
0,0.25,replacement,1,800,0.05,4,8,0.89,0.06,0.8415672357941252,0.2512951756599371
5,0.2,removal,1,1000,0.01,10,5,0.87,0.97,0.7123837135747406,0.35045574332231244
0,0.2,removal,3,800,0.1,13,10,0.68,0.97,0.9368353901783971,0.02992415777016666
5,0.2,replacement,1,1000,0.1,13,5,0.77,0.17,0.9620998394725169,0.2712162583707002
3,0.0,replacement,1,600,0.05,7,8,0.95,0.2,0.862167847741702,0.2211244128215305
0,0.2,removal,2,1000,0.05,13,7,0.6,0.55,0.8946064713120561,0.30520196003045985
0,0.2,removal,2,1000,0.08,13,7,0.53,0.55,0.922801614215395,0.2774250542350557
0,0.25,removal,3,800,0.08,25,4,0.84,0.86,0.817304260712021,0.11154231677356186
3,0.2,removal,1,1000,0.08,13,10,0.41,0.89,0.9693027591006581,0.12670043906153405
3,0.2,replacement,1,800,0.1,13,5,0.56,0.24,0.9323591468687427,0.062349060885680374
