min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
2,0.0,replacement,2,600,0.12,10,0.9575613360498797,0.1482571838864727
3,0.2,replacement,1,800,0.1,6,0.9834655960175274,0.36897395610354067
3,0.1,removal,3,1000,0.15,6,0.9781995296949317,0.32609835186846825
0,0.1,replacement,2,400,0.05,4,0.7017153023312375,0.36594359753272265
3,0.1,replacement,2,400,0.08,6,0.9314074675842723,0.3533870586497202
1,0.25,replacement,2,800,0.12,8,0.9877415271217963,0.23682606039849108
0,0.1,replacement,3,400,0.12,10,0.9641627258644827,0.2598389492658524
3,0.25,replacement,3,400,0.15,4,0.9031238807509645,0.33538425069763533
2,0.25,replacement,1,800,0.08,6,0.9638410464117492,0.2007131981669048
2,0.2,replacement,3,800,0.15,8,0.994781707234004,0.26444547799518725
2,0.0,replacement,2,800,0.12,8,0.9654193613916856,0.1583625228026263
2,0.1,removal,2,400,0.05,6,0.8075318756424522,0.31526331711805045
1,0.0,removal,1,800,0.05,4,0.7595976871583517,0.30927870494302845
2,0.0,removal,1,1600,0.1,4,0.9299065192588433,0.20702068289840192
3,0.0,removal,2,600,0.05,6,0.8701911799013151,0.4151258698631807
1,0.0,replacement,2,800,0.05,10,0.9107108460414839,0.3310006239113237
0,0.1,replacement,3,1000,0.12,4,0.943101420081836,0.25343943434510685
3,0.1,removal,1,1300,0.1,4,0.9238928927241324,0.26473279572290076
0,0.1,replacement,1,1000,0.1,8,0.9872425507366793,0.11354073607288595
1,0.0,replacement,2,400,0.08,6,0.85199141007702,0.33093260582555994
0,0.2,replacement,1,1300,0.08,10,0.9877227384159555,0.09095826674754703
1,0.2,replacement,1,1000,0.08,8,0.984735410986647,0.25804917892233636
2,0.2,replacement,1,1600,0.15,4,0.9822862062360627,0.12387639152769758
3,0.2,removal,2,1600,0.1,6,0.9797383726081382,0.340993999412348
0,0.2,removal,3,600,0.08,4,0.7742902573120938,0.21272026061181504
2,0.0,removal,3,1600,0.05,10,0.9584141173761378,0.28648978168052197
0,0.25,replacement,2,1300,0.05,8,0.9672197804303309,0.36356221351466356
0,0.2,replacement,3,1600,0.12,6,0.9927205000504499,0.17601581603266137
3,0.0,removal,3,1000,0.08,4,0.8778426131378081,0.35442988861272573
3,0.0,replacement,2,1000,0.1,6,0.9620710352282422,0.40623695759689404
2,0.1,replacement,3,1600,0.05,8,0.989117532181803,0.32977385878154875
0,0.25,replacement,1,1300,0.15,6,0.991610478493963,0.051133180692401026
1,0.0,removal,1,1000,0.05,10,0.9251132736019286,0.22239628766514874
0,0.2,removal,3,1000,0.08,8,0.9382715671349015,0.019280853101192763
0,0.0,replacement,3,600,0.15,8,0.9426097129254882,0.04257500781155399
2,0.25,removal,2,1000,0.08,4,0.8818757957989425,0.24353719058182588
1,0.25,replacement,2,1000,0.12,10,0.9932427618540276,0.26321368217091345
2,0.0,replacement,2,400,0.15,6,0.9306061104661386,0.17612859795659042
2,0.2,removal,3,1000,0.08,4,0.8662118360164185,0.2658114983638955
3,0.1,removal,2,800,0.08,10,0.9550223010922427,0.42812455323205334
1,0.25,removal,3,1300,0.15,10,0.9835590336859916,0.11990944671270976
2,0.25,removal,3,1300,0.1,6,0.9683359452311008,0.23372243398696257
1,0.0,removal,1,600,0.05,6,0.8413940799502193,0.26486257373397926
1,0.0,replacement,2,1000,0.12,10,0.9699998052733886,0.2719950988017614
0,0.2,replacement,2,800,0.08,10,0.9723841229510366,0.3503023926764962
2,0.25,removal,2,400,0.12,8,0.9345074607065613,0.2028563800959201
3,0.25,replacement,2,1600,0.1,4,0.9705927407260195,0.30894517817533873
3,0.25,replacement,3,1300,0.15,8,0.998711963070934,0.32518541603869155
2,0.1,removal,1,800,0.1,10,0.961302958161268,0.21386204000215225
0,0.25,replacement,3,1300,0.15,8,0.9955796288287841,0.1697781231479205
0,0.1,removal,2,600,0.05,6,0.8167931888098832,0.4320722329957384
0,0.1,removal,1,1600,0.08,4,0.8861582159740091,0.0948785813208014
2,0.1,replacement,2,600,0.15,6,0.9870757055433134,0.27991905136472583
3,0.25,removal,2,1000,0.12,10,0.9796866835193052,0.34577019240647366
0,0.1,replacement,2,1000,0.08,4,0.8981568495371663,0.3435900349165738
3,0.2,removal,1,1300,0.05,6,0.9427825791108062,0.2689832911989666
2,0.1,removal,2,1000,0.08,10,0.9612834202184835,0.15719262834669323
2,0.2,removal,3,400,0.12,4,0.8151948661556024,0.29007383788775887
0,0.1,removal,2,800,0.12,10,0.9465492515412813,0.35711473812054817
3,0.0,removal,3,800,0.1,8,0.9619770682064858,0.33336010211174716
3,0.0,removal,3,800,0.12,10,0.9695395067913951,0.3172476040514455
2,0.1,removal,3,600,0.15,8,0.9614117735096614,0.27792311182545826
0,0.2,replacement,3,600,0.1,10,0.9717129619040705,0.22686485539835388
1,0.25,replacement,1,400,0.12,4,0.849603346161059,0.2928137844165408
0,0.25,replacement,3,1000,0.15,10,0.9939908247163078,0.17273909446135782
2,0.0,removal,2,400,0.15,10,0.9453355248376593,0.20794252330567708
1,0.1,removal,1,600,0.12,6,0.9269885143481172,0.1731497402171398
0,0.0,removal,1,600,0.05,6,0.8293609302928655,0.16930716058678197
2,0.2,replacement,1,1600,0.15,8,0.9989072191753164,0.17617812384710085
1,0.0,replacement,2,1300,0.15,4,0.9256730342427011,0.30683579831117924
