min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
5,0.25,replacement,3,600,0.1,13,4,0.18,0.95,0.8263624283906678,0.11352923828932993
0,0.2,replacement,1,600,0.08,13,6,0.24,0.71,0.8602237227100071,0.26385987016967294
0,0.2,removal,2,1000,0.01,13,10,0.2,0.13,0.6021626734361616,0.34317029885586836
5,0.0,removal,3,800,0.1,25,7,0.58,0.54,0.9637016375558216,0.005297851682587007
0,0.25,replacement,3,600,0.05,10,6,0.67,0.52,0.8672656497420448,0.23169000511923687
3,0.2,replacement,1,600,0.05,10,5,0.2,0.74,0.8060600254226974,0.18925682350573136
0,0.2,removal,1,800,0.08,13,4,0.13,0.72,0.7562335615001488,0.30180964860880866
3,0.2,removal,3,1000,0.1,10,10,0.88,0.8,0.9732455967435178,0.3204359480755983
3,0.25,replacement,2,600,0.1,7,8,0.5,0.81,0.9761820254049798,0.16951960930430499
0,0.2,replacement,2,1000,0.1,10,6,0.11,0.88,0.8552107772373366,0.3091666327479855
3,0.0,replacement,3,800,0.05,13,7,0.36,0.24,0.86444138137634,0.3452809216736782
5,0.25,replacement,1,1000,0.05,4,6,0.31,0.77,0.9428263806638856,0.3073742357737008
0,0.25,replacement,2,800,0.1,13,10,0.38,0.48,0.9596224727587808,0.27692401595948934
5,0.25,replacement,3,600,0.08,13,4,0.97,0.05,0.7829361116857892,0.08316158567827447
0,0.25,replacement,3,600,0.08,7,4,0.43,0.63,0.8033634942073914,0.20820473159117958
3,0.0,removal,3,800,0.1,25,7,0.65,0.14,0.9093921743264044,0.3314281341170807
0,0.2,replacement,2,1000,0.1,10,4,0.3,0.63,0.8597867160043124,0.30438697980663165
5,0.2,removal,3,1000,0.05,7,10,0.49,0.55,0.9512247871326082,0.06862500781932135
0,0.0,removal,1,1000,0.1,10,5,0.75,0.21,0.8490294776667111,0.26023876350240194
0,0.2,replacement,2,1000,0.05,7,6,0.99,0.76,0.9430238456185572,0.28166688141682816
5,0.2,replacement,3,600,0.01,13,4,0.62,0.7,0.5423806684822825,0.1835154403227912
