min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
3,0.2,removal,1,600,0.05,4,0.7414501818925956,0.3267955016753664
2,0.1,removal,2,1000,0.12,6,0.9669378480311174,0.10243167019003252
1,0.25,removal,2,800,0.1,10,0.9540171519429596,0.2542353545595315
2,0.1,removal,1,1600,0.08,10,0.973721279536455,0.21451576719535648
2,0.0,removal,3,1000,0.08,4,0.8650097984377652,0.27021392665963073
3,0.25,removal,3,800,0.05,6,0.8963564486211519,0.3152216875848952
3,0.1,replacement,2,1300,0.08,4,0.9491437233538689,0.30919775437351993
2,0.0,removal,2,1600,0.08,10,0.9744279939659451,0.12969463914941537
0,0.25,replacement,2,600,0.12,6,0.9590368473413066,0.30940995434212426
3,0.1,replacement,1,1300,0.05,10,0.9854446065156599,0.32289686452856825
2,0.0,replacement,1,400,0.05,4,0.6805966228815471,0.32832307100393865
0,0.1,replacement,3,600,0.08,10,0.9626822666782971,0.2648796181142835
2,0.0,removal,2,1300,0.1,8,0.9745864159008528,0.13121614183021402
1,0.2,replacement,2,600,0.1,6,0.9567788609613941,0.29739931013616283
0,0.25,replacement,1,1600,0.05,8,0.9753056848375379,0.1333676283485733
1,0.1,replacement,3,1300,0.08,10,0.991431052343049,0.28093490688033373
1,0.0,replacement,3,1000,0.15,10,0.9751448824821384,0.26114468569802396
2,0.1,removal,3,1600,0.08,8,0.972394189001215,0.26140377184038455
1,0.2,replacement,1,800,0.1,4,0.8982919173373456,0.2795783327359016
1,0.1,replacement,3,600,0.1,4,0.878491042617111,0.32594574463151316
3,0.25,replacement,3,1000,0.15,8,0.9967854342741521,0.30991221678727865
0,0.1,replacement,2,400,0.15,10,0.9731406702078316,0.31048721397820034
0,0.2,removal,1,600,0.05,10,0.8748909041101616,0.10803806695380103
0,0.1,replacement,2,400,0.1,6,0.9240942043194277,0.31560460617080754
2,0.2,replacement,2,800,0.08,4,0.8966743082934643,0.22407499906737893
3,0.1,replacement,1,600,0.1,8,0.9809932227261264,0.3178860908340573
1,0.1,removal,1,800,0.15,6,0.954448387147882,0.1844413695106829
0,0.0,replacement,1,600,0.05,6,0.8355747470066397,0.1350410526301249
0,0.1,replacement,1,1300,0.1,10,0.9918249952197788,0.10817445331785813
3,0.25,removal,3,600,0.12,6,0.9462349944038789,0.2547786472727477
1,0.0,removal,2,1600,0.08,4,0.8959850338898823,0.2819432568820899
0,0.2,removal,1,1300,0.05,6,0.912827105813738,0.08174582719637025
0,0.0,removal,1,800,0.15,6,0.9467399658717115,0.03184727102356588
0,0.1,removal,3,1600,0.08,8,0.9576154140860634,-0.052258915453857524
0,0.2,replacement,2,1000,0.1,6,0.9762025928330217,0.304998050932782
3,0.2,replacement,1,600,0.15,8,0.9903967838364669,0.32149012035598357
1,0.2,removal,3,600,0.08,10,0.923321863044378,0.3003160738151667
3,0.0,removal,1,1600,0.12,10,0.9859620735008441,0.25205344172648425
2,0.1,removal,3,1000,0.05,4,0.8057321029038431,0.29712194856011476
2,0.25,replacement,2,400,0.08,4,0.7986954633262159,0.2582247105989395
1,0.2,removal,2,1300,0.12,8,0.9754807051224297,0.23400338109576202
3,0.25,removal,1,1300,0.05,4,0.8532175300566881,0.28273605631023935
3,0.25,replacement,1,800,0.08,6,0.9684435432008556,0.3294774307669358
1,0.0,replacement,2,800,0.15,8,0.9674135530177999,0.24833734781189531
3,0.25,replacement,2,1300,0.15,8,0.9978828843078018,0.31748631533401184
3,0.25,replacement,3,800,0.1,10,0.9891967787419085,0.30779620040757816
0,0.0,replacement,1,400,0.08,10,0.8754811954388299,0.12117819014132458
0,0.1,removal,3,1300,0.1,6,0.9500258883577768,-0.061039535507661835
3,0.0,replacement,2,400,0.1,4,0.7792333555389066,0.4068004162772866
2,0.1,removal,3,800,0.05,6,0.887100597406435,0.30476349795424695
2,0.2,removal,1,1000,0.05,8,0.9311443627066632,0.19423871149479022
2,0.1,replacement,3,600,0.05,8,0.9390282350547112,0.3182426614948246
0,0.25,replacement,2,800,0.15,4,0.9257221611068532,0.28319646220316563
2,0.2,removal,1,1300,0.05,8,0.9471012915160093,0.17422676971354012
1,0.2,replacement,2,1300,0.08,8,0.9901527220319103,0.26193848346756343
2,0.0,replacement,3,400,0.05,8,0.8359341915185179,0.3122857113879357
3,0.2,removal,2,600,0.15,10,0.9676211154695774,0.2835807923501509
3,0.2,removal,3,1600,0.1,4,0.9329104506850274,0.2822055454665464
3,0.0,replacement,1,1300,0.12,4,0.9296194007679863,0.2731906709454829
2,0.1,replacement,3,400,0.08,8,0.9440704758932402,0.30744758751741896
3,0.1,replacement,1,400,0.08,8,0.948455794414144,0.31404492862259237
2,0.2,replacement,2,600,0.15,6,0.9834602277676775,0.20566614316169818
2,0.25,removal,1,1600,0.05,6,0.9470860288718673,0.20982596613793214
2,0.0,replacement,2,1000,0.05,4,0.8157321706417477,0.23728153236000016
3,0.25,replacement,1,1600,0.15,10,0.9984904441571861,0.2993068282527006
1,0.1,replacement,1,1600,0.12,10,0.9976048424927126,0.20708233539335674
1,0.1,removal,3,1300,0.15,8,0.9795966753738921,0.22786424911883063
2,0.1,replacement,1,1000,0.15,6,0.9935841578072417,0.2024219916785328
2,0.0,replacement,3,400,0.1,10,0.9111206354104122,0.27678917850761087
1,0.25,removal,2,400,0.15,10,0.9419197223959941,0.25237334729765815
2,0.0,removal,3,1600,0.15,8,0.9862727917235121,0.1913104653667026
2,0.2,removal,1,1600,0.05,6,0.9466752967761564,0.16716233544059234
2,0.1,replacement,3,600,0.15,8,0.9897104623142422,0.2845871500209861
