min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
1,0.25,removal,1,1000,0.05,13,7,0.4843286229064665,0.019978615329901972,0.6382477894863443,0.29676601250205326
3,0.0,removal,3,1000,0.1,13,9,0.19625226883805857,0.6434055019934826,0.9480045896085231,0.3133340424560047
3,0.1,replacement,1,800,0.01,4,9,0.13935400196969194,0.49099306869190196,0.6694204179952058,0.3198666477425013
2,0.25,replacement,3,800,0.05,7,6,0.24062695551504065,0.3788865127755101,0.8552828076040826,0.29176973745904533
3,0.2,removal,2,1000,0.08,13,7,0.8049929832881635,0.1598501364502094,0.9184632912200472,0.3843328355135567
1,0.0,replacement,2,800,0.08,25,6,0.07126457791248231,0.6831270451764244,0.8157312644145656,0.34189108111437294
1,0.2,replacement,2,800,0.01,10,6,0.12241710690637131,0.2817159189857379,0.5398916244045653,0.2863169149475593
1,0.1,replacement,3,1000,0.05,4,4,0.08883344069154409,0.7278386416399099,0.6973317358461979,0.3559532597656204
0,0.2,removal,1,600,0.08,7,9,0.7591214638837618,0.3181187753604555,0.8831929945169091,0.1153166211368869
3,0.1,replacement,1,600,0.01,13,7,0.1017852588253021,0.20336145907659553,0.5420330791635031,0.2910041474547368
3,0.1,replacement,3,600,0.01,13,6,0.3616926592070049,0.9004747207709392,0.6395757942897755,0.3195912313653363
1,0.25,removal,3,800,0.1,13,8,0.7929466181229012,0.839578117127898,0.9487725254683383,0.24048529907491378
1,0.1,removal,1,600,0.01,10,8,0.008754077602269428,0.6456611600103332,0.46659088516317415,0.33306638082673357
1,0.0,removal,2,800,0.05,25,6,0.7690370151909689,0.3255810889536337,0.8418012169529717,0.31317054883658
0,0.1,removal,1,600,0.1,7,6,0.11360055613711384,0.6136619202402371,0.8420087078488511,0.1476366706068093
3,0.25,removal,3,800,0.1,13,4,0.3510013684110562,0.518110586117891,0.848619372272739,0.30150306925309445
3,0.1,removal,3,1000,0.01,10,4,0.6106757028734566,0.673969927816461,0.5768743049010931,0.31951599924624263
2,0.2,replacement,1,1000,0.05,25,6,0.9206452507323539,0.6336553212407154,0.9340267152275862,0.24816273478346296
2,0.1,replacement,3,800,0.1,13,8,0.9652035653949642,0.8958990446893065,0.9879643833305648,0.2863007906517504
0,0.2,replacement,3,1000,0.01,25,8,0.5944914323769408,0.9678691848578418,0.7368956437424135,0.2981763802813162
0,0.0,removal,2,600,0.1,10,5,0.7226565165449192,0.29158775700029493,0.8121609230297688,0.3854674936636976
1,0.0,removal,1,1000,0.01,13,5,0.9886706264375091,0.8469108736686504,0.6138756846178122,0.33577704760235727
1,0.2,removal,3,600,0.01,7,4,0.22500086905945627,0.46801323969684416,0.48026697202872026,0.3280574243501918
3,0.1,removal,3,1000,0.08,13,8,0.469461742790372,0.9273929773941825,0.9574887379024424,0.30962841048723244
3,0.2,replacement,1,1000,0.1,13,5,0.44983808687640825,0.05373600554581226,0.8689388765420067,0.3022941062601999
3,0.0,removal,3,1000,0.01,13,5,0.46001016146625195,0.4032697616448837,0.6204938827775754,0.3409748820343601
1,0.2,replacement,1,1000,0.05,4,9,0.26621399411946656,0.4012848451573139,0.9116303945749527,0.29263209720886074
0,0.1,replacement,2,600,0.01,10,10,0.8017093215155795,0.5904051481957349,0.6545190742192226,0.3021050053815487
1,0.2,replacement,1,800,0.01,7,8,0.7034891633324922,0.47393881106033997,0.6638519670109188,0.330586291664293
1,0.2,removal,1,800,0.1,25,6,0.9335092823094715,0.2751323895985063,0.9034865091103267,0.21908542429370048
3,0.0,replacement,2,1000,0.1,25,4,0.6007539392363306,0.18506813793899712,0.8241389105842154,0.38734378653485824
1,0.25,replacement,2,600,0.08,7,9,0.24668206469474074,0.6929848563210725,0.9183705307443593,0.30874684279987397
3,0.25,replacement,2,600,0.01,7,7,0.37444409571590986,0.18670933041854654,0.5808007487918398,0.36846359943369045
0,0.2,removal,1,800,0.05,7,7,0.4879933415171869,0.5965364250196301,0.8697774483390998,0.14247717091515277
2,0.25,replacement,3,1000,0.08,10,5,0.13879579103052309,0.2613227568257348,0.8178660358650602,0.30069179071743857
0,0.1,removal,2,600,0.08,10,9,0.3169105273640527,0.04175313431751193,0.6760011381468315,0.3601354264981733
0,0.0,removal,1,800,0.08,25,9,0.8035628579097762,0.8832951041824246,0.9254926810323394,0.06109719836727212
0,0.1,removal,2,600,0.08,4,7,0.4049623361711725,0.17670149693894066,0.7973510725464534,0.39795198557744804
2,0.0,removal,1,800,0.1,4,8,0.19059415682619973,0.3362933734073563,0.9079932480812898,0.26284562086541974
1,0.1,removal,3,1000,0.05,7,8,0.8214180506779651,0.12419167551156929,0.8358597510917208,0.3231743792695847
2,0.2,removal,2,600,0.1,25,7,0.3609007127191042,0.8526800627834421,0.9307875582227605,0.13353176623135976
1,0.0,removal,3,800,0.08,7,4,0.8291425157822396,0.5317680300483363,0.8071179021362873,0.3226672032405806
3,0.25,removal,3,800,0.05,4,5,0.9501729536729089,0.3247476036716479,0.8397092332060335,0.32366324349788067
1,0.2,replacement,3,800,0.05,25,6,0.9731106891978294,0.8852656977330935,0.9199756995707297,0.31414181190460055
0,0.0,replacement,1,600,0.1,10,6,0.16560329238777527,0.21981999526620988,0.8017901484501462,0.1718302283050781
2,0.2,removal,1,600,0.08,4,6,0.37317657215801003,0.24365044029506877,0.8558124357976904,0.2578908556450692
0,0.2,replacement,1,800,0.05,25,10,0.8727346531425033,0.17189940111006252,0.9194634400212753,0.17569203933200261
3,0.25,removal,1,800,0.01,7,5,0.33745383921581307,0.5855172468624112,0.6186400651231801,0.33271069477896165
0,0.0,replacement,2,1000,0.08,7,7,0.9212766913275305,0.016290438481271208,0.6379627004294897,0.3111838974218796
3,0.0,replacement,3,800,0.01,7,8,0.231855605354357,0.199158290234966,0.626245794988452,0.34422643366617733
1,0.1,replacement,2,800,0.1,10,10,0.21072300608555294,0.6986025860715146,0.946118782723592,0.2974220904404282
1,0.0,replacement,2,600,0.08,25,6,0.15508960959826124,0.3274154674283549,0.8067729516567707,0.3136857121631642
0,0.1,replacement,2,1000,0.1,4,6,0.9934528700489855,0.26517253556260334,0.969534818673062,0.3009744372757266
2,0.0,removal,3,600,0.08,13,10,0.7457378984536727,0.4388866979972377,0.9157559603771198,0.2719146081361421
1,0.2,removal,2,600,0.08,13,9,0.9152319087036569,0.9278646487388433,0.9206862671311606,0.26924563443204097
0,0.0,replacement,1,800,0.1,7,6,0.8594794044603082,0.021652326524146615,0.6490920336072912,0.19643103361353986
2,0.25,removal,3,1000,0.08,4,7,0.5568247755594102,0.8322592662780794,0.9479758702477958,0.22439190727082015
2,0.0,removal,3,600,0.08,25,4,0.33434876970299476,0.952963054097338,0.783756364693877,0.31370259141580226
0,0.0,replacement,3,1000,0.01,13,4,0.7870866218482229,0.18499644057742115,0.48818135034694554,0.31994028720480105
1,0.1,removal,3,800,0.01,7,10,0.29417254219864963,0.2135834682196529,0.6305769770126471,0.344949825483849
2,0.0,removal,3,1000,0.1,25,10,0.09465588070709141,0.009566085405654068,0.658524614712771,0.2843761175601045
