leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,500,1,0.04,3,0.8298,0.4186,0.1766
10,1600,1,0.12,2,0.8997,0.0123,0.2343
10,500,1,0.02,1,0.7712,0.4241,0.2143
10,1200,1,0.8,1,0.8972,0.2057,0.2143
6,1400,1,0.1,2,0.898,0.0163,0.2343
4,600,1,0.6,2,0.9027,-0.3054,0.2343
6,800,1,0.14,1,0.8875,0.4273,0.2143
10,200,1,0.02,3,0.6905,0.3807,0.1766
4,200,1,0.06,1,0.7846,0.424,0.2143
6,600,1,0.6,2,0.9026,-0.3224,0.2343
6,300,1,0.2,3,0.8789,0.2795,0.1766
8,500,1,0.2,1,0.8857,0.4508,0.2143
4,600,1,0.04,1,0.8414,0.4403,0.2143
10,600,1,0.1,1,0.8762,0.4294,0.2143
6,800,1,0.08,3,0.8796,0.373,0.1766
10,1000,1,0.6,3,0.8964,0.2111,0.1766
6,200,1,0.6,1,0.8888,0.3138,0.2143
4,600,1,0.02,3,0.7861,0.4047,0.1766
4,800,1,0.2,3,0.8917,0.301,0.1766
4,1400,1,0.04,1,0.8749,0.4496,0.2143
4,200,1,0.12,1,0.8385,0.4108,0.2143
8,1600,1,0.14,1,0.8932,0.3978,0.2143
4,1000,1,0.2,2,0.9002,-0.0255,0.2343
6,1000,1,0.06,2,0.8862,0.0858,0.2343
4,300,1,0.1,1,0.852,0.4543,0.2143
10,300,1,0.2,1,0.8749,0.4535,0.2143
6,1200,1,0.08,1,0.8858,0.48,0.2143
6,1600,1,0.02,2,0.8662,0.1047,0.2343
10,1400,1,0.12,3,0.8915,0.3645,0.1766
8,500,1,0.12,3,0.8778,0.3786,0.1766
10,200,1,0.08,2,0.8244,0.1071,0.2343
10,100,1,0.02,1,0.5907,0.3213,0.2143
10,400,1,0.4,1,0.8912,0.3238,0.2143
4,1000,1,0.08,1,0.8828,0.498,0.2143
4,400,1,0.02,3,0.7481,0.3961,0.1766
4,1000,1,0.06,3,0.8789,0.4106,0.1766
6,600,1,0.2,1,0.8886,0.3993,0.2143
8,500,1,0.1,3,0.8735,0.3638,0.1766
6,1000,1,0.04,2,0.8746,0.0813,0.2343
8,200,1,0.06,2,0.8014,0.1219,0.2343
10,300,1,0.1,1,0.8535,0.4389,0.2143
8,800,1,0.1,3,0.8837,0.3525,0.1766
8,1000,1,0.6,3,0.8965,0.3208,0.1766
6,1000,1,0.2,2,0.9001,0.0134,0.2343
8,1200,1,0.06,3,0.8817,0.3687,0.1766
8,600,1,0.2,1,0.888,0.4492,0.2143
10,1000,1,0.1,3,0.8864,0.3878,0.1766
8,200,1,0.6,2,0.896,-0.309,0.2343
4,400,1,0.02,1,0.7453,0.3967,0.2143
4,1400,1,0.8,3,0.897,0.1724,0.1766
8,400,1,0.2,2,0.891,-0.0176,0.2343
6,400,1,0.08,2,0.8654,0.079,0.2343
8,600,1,0.8,3,0.8961,0.2055,0.1766
6,1200,1,0.12,3,0.8909,0.3308,0.1766
4,300,1,0.8,2,0.9012,-0.5823,0.2343
10,600,1,0.1,2,0.8856,0.0533,0.2343
6,400,1,0.1,2,0.8766,0.0688,0.2343
