leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
4,600,14,0.02,3,0.7398,0.5406,0.223
6,800,14,0.06,1,0.8459,0.4888,0.2098
4,400,14,0.4,3,0.8773,0.5207,0.223
10,400,14,0.08,1,0.8162,0.4894,0.2098
8,600,14,0.6,2,0.8852,0.52,0.1827
6,100,14,0.8,1,0.8716,0.4729,0.2098
4,100,14,0.06,1,0.6971,0.4862,0.2098
8,200,14,0.2,2,0.8194,0.5087,0.1827
10,600,14,0.04,2,0.7806,0.474,0.1827
4,800,14,0.06,3,0.8359,0.5282,0.223
6,200,14,0.4,1,0.873,0.4488,0.2098
10,1200,14,0.06,3,0.854,0.5233,0.223
10,200,14,0.14,3,0.8032,0.5172,0.223
8,400,14,0.1,1,0.8334,0.4833,0.2098
8,200,14,0.14,3,0.7975,0.4989,0.223
6,400,14,0.2,1,0.8696,0.5045,0.2098
10,1200,14,0.2,3,0.8808,0.5075,0.223
4,500,14,0.6,3,0.8864,0.3941,0.223
10,1600,14,0.02,3,0.8111,0.532,0.223
4,1600,14,0.12,2,0.8785,0.5291,0.1827
4,1200,14,0.2,1,0.8917,0.4469,0.2098
6,200,14,0.8,1,0.8881,0.474,0.2098
10,800,14,0.4,2,0.8819,0.4647,0.1827
10,1000,14,0.6,1,0.8977,0.3712,0.2098
6,1200,14,0.14,1,0.8882,0.4939,0.2098
6,800,14,0.04,1,0.8172,0.5132,0.2098
8,400,14,0.4,1,0.8868,0.4558,0.2098
4,800,14,0.14,1,0.8804,0.5198,0.2098
10,400,14,0.06,1,0.7961,0.4886,0.2098
6,1600,14,0.1,1,0.887,0.4944,0.2098
6,1000,14,0.6,1,0.8986,0.3867,0.2098
8,1600,14,0.08,3,0.87,0.554,0.223
8,400,14,0.14,1,0.8559,0.5213,0.2098
10,1400,14,0.12,2,0.8727,0.5361,0.1827
4,500,14,0.6,3,0.8864,0.3941,0.223
8,800,14,0.1,3,0.857,0.5174,0.223
4,600,14,0.12,1,0.867,0.5261,0.2098
10,400,14,0.12,1,0.8479,0.5092,0.2098
4,800,14,0.14,2,0.868,0.5179,0.1827
6,1200,14,0.1,1,0.8806,0.4946,0.2098
10,1400,14,0.2,3,0.8826,0.5109,0.223
6,1000,14,0.1,1,0.8762,0.4913,0.2098
4,300,14,0.04,3,0.7425,0.5508,0.223
8,1600,14,0.14,3,0.8796,0.4766,0.223
8,600,14,0.12,3,0.8538,0.5194,0.223
6,800,14,0.02,1,0.765,0.493,0.2098
4,1000,14,0.4,3,0.887,0.5199,0.223
10,300,14,0.12,2,0.8088,0.5265,0.1827
6,400,14,0.2,3,0.8571,0.517,0.223
10,500,14,0.2,3,0.8652,0.5064,0.223
10,300,14,0.8,3,0.8821,0.4635,0.223
4,1400,14,0.4,2,0.8875,0.5263,0.1827
4,800,14,0.1,1,0.869,0.5394,0.2098
6,1600,14,0.08,2,0.87,0.5309,0.1827
8,800,14,0.8,1,0.8987,0.4533,0.2098
6,1200,14,0.1,2,0.8685,0.4946,0.1827
10,400,14,0.6,1,0.8912,0.3685,0.2098
8,100,14,0.12,3,0.7435,0.5146,0.223
6,600,14,0.12,1,0.8651,0.5216,0.2098
4,800,14,0.06,3,0.8359,0.5282,0.223
4,1400,14,0.04,1,0.8549,0.5265,0.2098
6,1600,14,0.12,3,0.8787,0.532,0.223
6,300,14,0.8,2,0.8822,0.4992,0.1827
8,200,14,0.04,1,0.7136,0.4823,0.2098
10,200,14,0.6,1,0.8812,0.3732,0.2098
8,800,14,0.1,1,0.8695,0.5015,0.2098
10,1000,14,0.6,1,0.8977,0.3712,0.2098
6,1600,14,0.1,2,0.8739,0.4976,0.1827
4,1200,14,0.4,1,0.8976,0.4335,0.2098
4,300,14,0.2,3,0.8471,0.5094,0.223
8,1600,14,0.4,1,0.8978,0.4519,0.2098
10,1200,14,0.6,3,0.889,0.4324,0.223
6,300,14,0.06,2,0.763,0.45,0.1827
10,800,14,0.4,3,0.884,0.5435,0.223
4,1200,14,0.4,2,0.8868,0.5254,0.1827
10,1200,14,0.2,3,0.8808,0.5075,0.223
10,200,14,0.8,2,0.874,0.4441,0.1827
4,1000,14,0.6,2,0.8885,0.4973,0.1827
6,800,14,0.4,3,0.886,0.4588,0.223
8,400,14,0.06,1,0.7956,0.4824,0.2098
4,600,14,0.6,3,0.8874,0.3941,0.223
10,1000,14,0.08,3,0.8563,0.5412,0.223
6,1600,14,0.8,2,0.8899,0.507,0.1827
4,200,14,0.6,2,0.8694,0.5014,0.1827
6,1600,14,0.08,1,0.8812,0.5549,0.2098
4,1200,14,0.4,2,0.8868,0.5254,0.1827
4,1400,14,0.08,2,0.8675,0.514,0.1827
4,600,14,0.06,1,0.8292,0.4992,0.2098
10,500,14,0.14,2,0.8485,0.4934,0.1827
10,100,14,0.6,2,0.8465,0.4221,0.1827
6,1400,14,0.06,3,0.8595,0.5516,0.223
10,1600,14,0.6,2,0.889,0.4476,0.1827
10,100,14,0.08,2,0.6994,0.4534,0.1827
6,200,14,0.4,2,0.8572,0.4428,0.1827
4,200,14,0.8,1,0.8884,0.4471,0.2098
8,1600,14,0.4,1,0.8978,0.4519,0.2098
6,100,14,0.4,3,0.8297,0.4552,0.223
6,500,14,0.12,1,0.858,0.5217,0.2098
4,100,14,0.2,2,0.7698,0.4327,0.1827
8,100,14,0.6,2,0.8481,0.53,0.1827
8,100,15,0.08,3,0.6623,0.1995,0.2044
6,1400,15,0.2,2,0.8932,0.3606,0.2356
10,1400,15,0.04,2,0.8378,0.3571,0.2356
8,100,15,0.8,1,0.8577,0.0834,0.2027
8,300,15,0.02,2,0.658,0.316,0.2356
4,500,15,0.08,1,0.8116,0.3068,0.2027
8,1600,15,0.4,3,0.8869,0.209,0.2044
6,100,15,0.4,3,0.8015,0.3641,0.2044
8,800,15,0.12,2,0.8665,0.3834,0.2356
8,1600,15,0.6,2,0.902,0.1968,0.2356
10,100,15,0.4,3,0.7973,0.2293,0.2044
6,1000,15,0.12,3,0.8615,0.2552,0.2044
8,600,15,0.1,3,0.8239,0.2738,0.2044
10,200,15,0.12,2,0.7817,0.3265,0.2356
8,800,15,0.04,1,0.8035,0.3238,0.2027
6,500,15,0.6,1,0.8912,0.2679,0.2027
8,500,15,0.06,3,0.7778,0.2477,0.2044
10,1600,15,0.8,1,0.899,0.0074,0.2027
6,100,15,0.08,2,0.6855,0.3191,0.2356
6,1200,15,0.2,2,0.8912,0.3629,0.2356
6,600,15,0.04,1,0.7803,0.3264,0.2027
8,100,15,0.14,1,0.7414,0.3583,0.2027
6,1000,15,0.2,1,0.8863,0.1707,0.2027
6,1600,15,0.12,3,0.8735,0.25,0.2044
8,500,15,0.12,1,0.8407,0.2751,0.2027
10,100,15,0.02,1,0.5318,0.26,0.2027
4,800,15,0.2,3,0.8707,0.2784,0.2044
8,100,15,0.8,2,0.8613,-0.012,0.2356
6,1200,15,0.06,2,0.8542,0.3798,0.2356
6,600,15,0.1,1,0.8424,0.3006,0.2027
8,100,15,0.4,2,0.8163,0.3159,0.2356
10,300,15,0.4,2,0.8746,0.3924,0.2356
10,800,15,0.2,1,0.8772,0.2907,0.2027
8,300,15,0.04,2,0.7255,0.3409,0.2356
4,400,15,0.1,2,0.821,0.3553,0.2356
10,400,15,0.8,1,0.8921,0.0136,0.2027
4,1400,15,0.6,1,0.8987,0.1461,0.2027
6,500,15,0.04,2,0.7727,0.3447,0.2356
6,500,15,0.06,1,0.7944,0.2843,0.2027
10,600,15,0.08,1,0.8253,0.2814,0.2027
10,1400,15,0.8,2,0.9026,0.1235,0.2356
6,500,15,0.06,3,0.781,0.2784,0.2044
4,300,15,0.8,3,0.8818,0.2609,0.2044
8,1600,15,0.02,2,0.8048,0.3654,0.2356
6,100,15,0.12,2,0.7275,0.3541,0.2356
6,600,15,0.8,2,0.9006,0.1055,0.2356
10,300,15,0.6,2,0.8868,0.2254,0.2356
8,300,15,0.1,1,0.7972,0.3276,0.2027
6,300,15,0.12,2,0.8132,0.3736,0.2356
10,1000,15,0.12,2,0.8739,0.3495,0.2356
10,1400,15,0.6,3,0.8883,0.1075,0.2044
10,600,15,0.06,1,0.8072,0.3308,0.2027
4,600,15,0.08,2,0.8281,0.3426,0.2356
4,100,15,0.2,2,0.7745,0.2691,0.2356
6,300,15,0.14,1,0.8141,0.3105,0.2027
8,800,15,0.12,2,0.8665,0.3834,0.2356
4,1000,15,0.06,2,0.8432,0.3661,0.2356
10,300,15,0.02,3,0.6367,0.2332,0.2044
6,1200,15,0.08,1,0.8619,0.3114,0.2027
8,500,15,0.2,3,0.8477,0.2277,0.2044
10,1000,15,0.12,3,0.8568,0.2436,0.2044
8,100,15,0.6,3,0.8238,0.2073,0.2044
8,500,15,0.12,3,0.8239,0.2465,0.2044
8,1600,15,0.06,2,0.8656,0.3704,0.2356
6,600,15,0.8,2,0.9006,0.1055,0.2356
4,1200,15,0.08,3,0.8496,0.2615,0.2044
10,200,15,0.14,1,0.7906,0.334,0.2027
10,100,15,0.4,1,0.8116,0.2108,0.2027
10,1200,15,0.8,3,0.8894,0.1228,0.2044
4,400,15,0.1,3,0.7971,0.2369,0.2044
6,1200,15,0.2,3,0.8781,0.2959,0.2044
8,1600,15,0.8,2,0.9031,-0.0252,0.2356
6,1000,15,0.6,1,0.8964,0.2626,0.2027
4,300,15,0.06,1,0.7627,0.2956,0.2027
6,500,15,0.06,3,0.781,0.2784,0.2044
8,500,15,0.2,3,0.8477,0.2277,0.2044
4,400,15,0.06,3,0.7599,0.2362,0.2044
4,400,15,0.06,1,0.7832,0.2918,0.2027
8,1600,15,0.08,2,0.8757,0.3385,0.2356
8,1000,15,0.12,2,0.8743,0.3794,0.2356
4,1600,15,0.8,3,0.8909,0.2468,0.2044
8,1000,15,0.12,2,0.8743,0.3794,0.2356
4,100,15,0.4,2,0.8168,0.3288,0.2356
8,1000,15,0.8,2,0.9017,-0.0219,0.2356
8,500,15,0.02,1,0.7086,0.3261,0.2027
6,600,15,0.1,1,0.8424,0.3006,0.2027
8,800,15,0.4,1,0.8914,0.2117,0.2027
10,1000,15,0.06,1,0.8371,0.3241,0.2027
6,800,15,0.02,2,0.7517,0.3582,0.2356
4,200,15,0.02,1,0.6199,0.3081,0.2027
10,1200,15,0.04,1,0.8239,0.2914,0.2027
8,1400,15,0.8,3,0.8902,0.1218,0.2044
8,1000,15,0.06,2,0.8428,0.3623,0.2356
8,1400,15,0.06,2,0.8593,0.3692,0.2356
10,1200,15,0.8,1,0.8984,0.0083,0.2027
10,1000,15,0.14,2,0.8762,0.333,0.2356
10,1200,15,0.06,1,0.8465,0.3229,0.2027
10,1000,15,0.08,2,0.8558,0.3455,0.2356
8,300,15,0.04,3,0.7068,0.2379,0.2044
6,200,15,0.06,3,0.7068,0.2457,0.2044
