leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
12,1000,14,0.02,2,0.8188,0.5216,0.1964
16,1200,14,0.04,3,0.8676,0.5355,0.2005
16,100,14,0.1,2,0.7281,0.4925,0.1964
12,300,14,0.02,2,0.6706,0.4725,0.1964
10,1000,14,0.12,1,0.9751,0.5403,0.2
14,1000,14,0.15,1,0.966,0.51,0.2
12,500,14,0.08,1,0.9179,0.557,0.2
12,1600,14,0.1,1,0.9874,0.5384,0.2
16,300,14,0.12,2,0.833,0.5234,0.1964
16,800,14,0.06,3,0.9239,0.5086,0.2005
10,300,14,0.18,2,0.9243,0.4969,0.1964
8,1400,14,0.15,1,0.9868,0.5571,0.2
14,1600,14,0.12,2,0.9874,0.534,0.1964
10,300,14,0.15,3,0.9051,0.5186,0.2005
16,500,14,0.15,2,0.9151,0.5476,0.1964
8,1600,14,0.04,3,0.9531,0.4912,0.2005
10,1600,14,0.12,2,0.9885,0.5245,0.1964
14,500,14,0.02,1,0.7201,0.5155,0.2
10,800,14,0.04,3,0.8942,0.5147,0.2005
12,1000,14,0.18,1,0.9902,0.52,0.2
14,500,14,0.25,3,0.9753,0.4607,0.2005
6,500,14,0.25,3,0.9624,0.475,0.2005
16,800,14,0.25,3,0.9802,0.4426,0.2005
10,100,14,0.25,1,0.8466,0.5144,0.2
12,1600,14,0.08,1,0.9667,0.5451,0.2
12,100,14,0.25,2,0.8055,0.5014,0.1964
16,100,14,0.04,3,0.6059,0.4863,0.2005
6,300,14,0.08,3,0.8537,0.5186,0.2005
14,300,14,0.25,1,0.9496,0.5275,0.2
16,100,14,0.15,1,0.7278,0.4989,0.2
10,1200,14,0.1,3,0.9737,0.4692,0.2005
14,500,14,0.18,3,0.955,0.4624,0.2005
12,300,14,0.25,3,0.9484,0.4832,0.2005
10,800,14,0.06,1,0.8751,0.5394,0.2
8,1200,14,0.02,2,0.8449,0.5158,0.1964
8,100,14,0.08,2,0.714,0.4799,0.1964
14,1400,14,0.06,2,0.9391,0.547,0.1964
10,1000,14,0.15,2,0.9701,0.5381,0.1964
6,800,14,0.08,3,0.9414,0.487,0.2005
6,1000,14,0.1,2,0.9419,0.538,0.1964
16,800,14,0.04,1,0.8938,0.5451,0.2
14,500,14,0.15,1,0.945,0.5361,0.2
10,1400,14,0.06,1,0.9569,0.5517,0.2
14,1400,14,0.04,1,0.9226,0.5543,0.2
8,500,14,0.18,1,0.9442,0.5369,0.2
10,100,14,0.02,2,0.5234,0.4019,0.1964
10,500,14,0.06,2,0.8274,0.5034,0.1964
12,1200,14,0.12,3,0.9771,0.4472,0.2005
8,1200,14,0.12,1,0.988,0.5316,0.2
14,1000,14,0.04,2,0.9165,0.5165,0.1964
12,800,14,0.06,2,0.933,0.514,0.1964
16,100,14,0.25,1,0.8169,0.5469,0.2
10,1000,14,0.1,3,0.9425,0.5152,0.2005
16,1600,14,0.1,2,0.9737,0.5211,0.1964
14,500,14,0.02,3,0.7062,0.526,0.2005
6,300,14,0.06,3,0.7539,0.5533,0.2005
6,100,14,0.02,2,0.5102,0.3899,0.1964
6,1400,14,0.15,2,0.995,0.489,0.1964
12,300,14,0.15,3,0.9241,0.4989,0.2005
12,1200,14,0.06,1,0.9135,0.5461,0.2
16,100,14,0.12,2,0.723,0.482,0.1964
6,1200,14,0.25,3,0.9949,0.4568,0.2005
6,1200,14,0.15,2,0.9791,0.5035,0.1964
16,100,14,0.06,1,0.6303,0.4775,0.2
6,1600,14,0.1,1,0.9855,0.5519,0.2
8,800,14,0.1,1,0.943,0.5544,0.2
12,1000,14,0.25,2,0.9895,0.5186,0.1964
10,800,14,0.08,3,0.9223,0.5262,0.2005
6,500,14,0.15,3,0.9548,0.5098,0.2005
10,500,14,0.15,2,0.9369,0.5101,0.1964
12,100,14,0.12,2,0.7382,0.4884,0.1964
14,500,14,0.1,2,0.9156,0.5204,0.1964
14,1200,14,0.08,1,0.9714,0.5444,0.2
12,1400,14,0.08,1,0.9573,0.5464,0.2
10,800,14,0.25,1,0.992,0.4827,0.2
14,300,14,0.06,3,0.7533,0.5303,0.2005
10,500,14,0.02,1,0.6977,0.5183,0.2
6,100,14,0.12,2,0.7816,0.5011,0.1964
16,1200,14,0.25,1,0.994,0.5304,0.2
10,800,14,0.06,2,0.914,0.5405,0.1964
10,300,14,0.06,2,0.7954,0.4966,0.1964
16,100,14,0.08,1,0.6682,0.4888,0.2
12,1600,14,0.06,2,0.9752,0.5049,0.1964
16,1600,14,0.08,1,0.9698,0.5353,0.2
10,1400,14,0.1,1,0.9858,0.538,0.2
16,100,14,0.04,3,0.5915,0.4909,0.2005
6,800,14,0.08,1,0.9394,0.5311,0.2
16,100,14,0.04,1,0.6172,0.465,0.2
16,500,14,0.06,3,0.8614,0.5187,0.2005
