leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
14,100,6,0.12,1,0.7614,0.4963,0.1974
16,100,6,0.15,2,0.8098,0.4306,0.2072
8,500,6,0.12,3,0.933,0.5702,0.1985
16,800,6,0.08,3,0.9218,0.5882,0.1985
8,300,6,0.1,1,0.8731,0.5094,0.1974
16,1400,6,0.04,3,0.8844,0.5826,0.1985
12,500,6,0.18,1,0.9548,0.4764,0.1974
8,1600,6,0.25,1,0.9946,0.447,0.1974
12,100,6,0.08,2,0.723,0.4253,0.2072
12,1600,6,0.12,3,0.9793,0.5598,0.1985
6,300,6,0.18,3,0.9007,0.5525,0.1985
10,100,6,0.25,2,0.8516,0.4456,0.2072
16,500,6,0.02,1,0.7563,0.4899,0.1974
14,1200,6,0.04,2,0.8694,0.4537,0.2072
16,1400,6,0.1,3,0.9472,0.5984,0.1985
8,1400,6,0.02,3,0.8262,0.5566,0.1985
8,1400,6,0.25,2,0.9965,0.3288,0.2072
16,1000,6,0.25,1,0.9892,0.4321,0.1974
16,800,6,0.02,1,0.8249,0.5056,0.1974
12,1200,6,0.18,3,0.9874,0.5669,0.1985
12,100,6,0.12,3,0.7697,0.5123,0.1985
14,800,6,0.15,1,0.966,0.4729,0.1974
12,1200,6,0.04,1,0.9289,0.5125,0.1974
8,1200,6,0.12,1,0.9786,0.4731,0.1974
8,1000,6,0.04,2,0.879,0.4384,0.2072
16,1000,6,0.18,1,0.9666,0.5046,0.1974
8,1000,6,0.15,1,0.9862,0.4805,0.1974
8,1200,6,0.02,3,0.8508,0.5786,0.1985
16,1400,6,0.06,3,0.9204,0.5962,0.1985
6,100,6,0.08,3,0.7115,0.5229,0.1985
12,1400,6,0.18,3,0.9893,0.565,0.1985
12,300,6,0.06,2,0.8209,0.4506,0.2072
6,800,6,0.12,2,0.9612,0.4158,0.2072
8,1600,6,0.08,2,0.9826,0.3775,0.2072
10,500,6,0.12,3,0.9133,0.589,0.1985
8,500,6,0.04,1,0.8333,0.5101,0.1974
8,1600,6,0.1,2,0.9655,0.3916,0.2072
12,1600,6,0.06,2,0.941,0.4192,0.2072
16,300,6,0.02,3,0.6925,0.4963,0.1985
12,1000,6,0.12,3,0.9545,0.5949,0.1985
14,1400,6,0.1,1,0.9542,0.5032,0.1974
10,500,6,0.25,1,0.9532,0.489,0.1974
16,1000,6,0.18,2,0.9857,0.3401,0.2072
6,1400,6,0.15,2,0.9936,0.3646,0.2072
6,1400,6,0.15,2,0.9836,0.3952,0.2072
6,1000,6,0.04,2,0.918,0.4381,0.2072
14,1000,6,0.15,2,0.966,0.4103,0.2072
10,300,6,0.06,3,0.8004,0.5631,0.1985
10,500,6,0.25,2,0.9643,0.3905,0.2072
10,300,6,0.18,2,0.905,0.4433,0.2072
12,1400,6,0.04,1,0.9223,0.4946,0.1974
8,1000,6,0.15,1,0.9862,0.4805,0.1974
10,1200,6,0.04,2,0.8768,0.4763,0.2072
12,1600,6,0.02,2,0.8368,0.4623,0.2072
10,100,6,0.04,1,0.654,0.4373,0.1974
8,300,6,0.25,3,0.9497,0.5849,0.1985
14,300,6,0.18,1,0.8871,0.5047,0.1974
8,800,6,0.15,2,0.9626,0.4464,0.2072
16,1200,6,0.02,1,0.8075,0.507,0.1974
16,1600,6,0.06,3,0.93,0.5973,0.1985
6,1600,6,0.06,2,0.9749,0.4093,0.2072
8,500,6,0.06,1,0.8348,0.5172,0.1974
16,800,6,0.04,2,0.8322,0.4548,0.2072
10,100,6,0.1,1,0.7333,0.4832,0.1974
10,500,6,0.15,2,0.9429,0.411,0.2072
12,300,6,0.1,1,0.869,0.5102,0.1974
6,100,6,0.02,3,0.535,0.4035,0.1985
16,1000,6,0.1,1,0.932,0.5215,0.1974
8,1200,6,0.18,2,0.9892,0.3876,0.2072
16,300,6,0.06,1,0.8142,0.5232,0.1974
8,100,6,0.02,3,0.543,0.4155,0.1985
16,800,6,0.02,1,0.7687,0.4981,0.1974
8,100,6,0.04,3,0.6403,0.4697,0.1985
14,1000,6,0.12,1,0.9555,0.5009,0.1974
16,100,6,0.08,2,0.7325,0.4177,0.2072
16,1000,6,0.1,2,0.9561,0.4307,0.2072
8,1000,6,0.08,3,0.9622,0.6023,0.1985
12,300,6,0.06,1,0.8049,0.506,0.1974
16,1400,6,0.15,2,0.9786,0.3703,0.2072
12,1200,6,0.1,2,0.9777,0.3954,0.2072
14,500,6,0.06,2,0.8286,0.445,0.2072
12,1600,6,0.25,1,0.9889,0.4655,0.1974
8,100,6,0.06,1,0.7138,0.4564,0.1974
6,1400,6,0.06,3,0.9664,0.5901,0.1985
14,1200,6,0.25,3,0.9845,0.5729,0.1985
10,1000,6,0.1,2,0.9624,0.4136,0.2072
14,300,6,0.15,1,0.9222,0.4783,0.1974
6,100,6,0.02,2,0.5294,0.2995,0.2072
14,800,6,0.18,2,0.9745,0.3575,0.2072
16,1000,6,0.02,3,0.822,0.5564,0.1985
12,1600,6,0.18,2,0.9888,0.3472,0.2072
14,300,6,0.12,3,0.8766,0.584,0.1985
14,1200,6,0.15,1,0.986,0.4578,0.1974
16,100,6,0.04,1,0.6388,0.4298,0.1974
16,800,6,0.25,2,0.9839,0.3541,0.2072
6,500,6,0.08,3,0.9195,0.5881,0.1985
16,1400,6,0.15,2,0.9822,0.3385,0.2072
16,1000,6,0.02,2,0.8209,0.4574,0.2072
8,1200,6,0.04,2,0.8749,0.4653,0.2072
10,1400,6,0.12,1,0.9814,0.4787,0.1974
