leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
7,1000,6,0.1,1,6,0.63,0.68,0.9725,0.5138,0.1974
25,600,6,0.01,2,9,0.99,0.96,0.7514,0.3982,0.2072
25,1000,6,0.1,3,9,0.6,0.15,0.9662,0.5787,0.1985
4,600,6,0.01,2,6,0.87,0.52,0.704,0.3913,0.2072
7,1000,6,0.01,2,5,0.62,0.16,0.7118,0.3983,0.2072
10,600,6,0.08,3,9,0.71,0.87,0.962,0.6053,0.1985
25,1000,6,0.08,1,10,0.75,0.4,0.9759,0.5074,0.1974
7,800,6,0.1,1,5,0.2,0.67,0.8768,0.4652,0.1974
25,1000,6,0.05,1,6,0.18,0.37,0.8045,0.4632,0.1974
10,800,6,0.01,1,8,0.2,0.06,0.68,0.4105,0.1974
4,1000,6,0.05,1,9,0.97,0.45,0.9661,0.5339,0.1974
10,1000,6,0.05,1,10,0.72,0.83,0.9692,0.509,0.1974
25,800,6,0.01,2,10,0.53,0.81,0.7827,0.4231,0.2072
13,600,6,0.1,2,8,0.34,0.77,0.939,0.4479,0.2072
10,800,6,0.01,3,5,0.69,0.05,0.6318,0.4696,0.1985
13,800,6,0.1,1,6,0.66,0.75,0.956,0.4984,0.1974
10,800,6,0.08,3,9,0.71,0.76,0.9728,0.5884,0.1985
7,600,6,0.08,3,9,0.6,0.3,0.9523,0.5835,0.1985
13,1000,6,0.05,3,8,0.8,0.93,0.9565,0.5905,0.1985
7,600,6,0.01,1,7,0.54,0.76,0.7241,0.457,0.1974
13,800,6,0.1,3,4,0.69,0.96,0.8949,0.5771,0.1985
4,800,6,0.08,2,5,0.33,0.07,0.8689,0.428,0.2072
10,600,6,0.1,2,6,0.58,0.72,0.9412,0.4333,0.2072
10,1000,6,0.01,1,10,0.31,0.06,0.7438,0.4321,0.1974
13,600,6,0.01,1,8,0.33,0.28,0.699,0.4481,0.1974
7,600,6,0.1,1,10,0.68,0.45,0.9726,0.5205,0.1974
13,800,6,0.1,2,6,0.93,0.22,0.9525,0.4219,0.2072
7,600,6,0.1,2,6,0.54,0.67,0.9442,0.4516,0.2072
7,800,6,0.05,2,7,0.35,0.57,0.9138,0.4348,0.2072
10,800,6,0.01,3,4,0.43,0.65,0.6409,0.4906,0.1985
25,800,6,0.08,2,7,0.26,0.18,0.868,0.4443,0.2072
7,600,6,0.05,1,8,0.39,0.15,0.8907,0.4858,0.1974
10,1000,6,0.08,3,8,0.17,0.07,0.8852,0.5637,0.1985
10,600,6,0.08,2,8,0.66,0.85,0.9555,0.4246,0.2072
25,1000,6,0.05,2,4,0.12,0.56,0.7176,0.4472,0.2072
10,800,6,0.01,2,10,0.75,0.92,0.7953,0.4196,0.2072
13,800,6,0.05,1,7,0.71,0.13,0.9132,0.5024,0.1974
13,1000,6,0.1,1,9,0.63,0.86,0.9849,0.4872,0.1974
4,600,6,0.1,2,9,0.89,0.99,0.9779,0.3952,0.2072
13,800,6,0.05,3,4,0.89,0.23,0.8187,0.5651,0.1985
25,600,6,0.08,3,8,0.5,0.7,0.9237,0.5678,0.1985
7,800,6,0.05,2,9,0.95,0.27,0.9525,0.4313,0.2072
25,600,6,0.08,2,6,0.45,0.76,0.8901,0.4531,0.2072
7,600,6,0.05,2,9,0.98,0.25,0.9304,0.4413,0.2072
7,600,6,0.08,3,8,0.54,0.69,0.9508,0.5929,0.1985
13,800,6,0.05,2,9,0.92,0.89,0.9534,0.4203,0.2072
13,600,6,0.01,2,4,0.28,0.46,0.6055,0.3619,0.2072
13,1000,6,0.1,1,6,0.15,0.59,0.8729,0.4983,0.1974
13,800,6,0.01,3,8,0.3,0.6,0.7408,0.5289,0.1985
10,600,6,0.08,2,5,0.26,0.31,0.8378,0.4541,0.2072
7,600,6,0.01,3,7,0.96,0.9,0.7254,0.5179,0.1985
13,600,6,0.1,1,6,0.09,0.91,0.7973,0.4419,0.1974
13,600,6,0.08,3,5,0.08,0.77,0.7455,0.5415,0.1985
7,800,6,0.08,1,7,0.12,0.64,0.8771,0.482,0.1974
4,1000,6,0.01,1,8,0.97,0.56,0.8046,0.496,0.1974
13,800,6,0.01,3,6,0.74,1.0,0.7462,0.5344,0.1985
4,800,6,0.05,3,7,0.49,0.44,0.925,0.5809,0.1985
10,600,6,0.08,1,7,0.23,0.14,0.8707,0.4698,0.1974
10,1000,6,0.08,3,5,0.67,0.64,0.9294,0.5922,0.1985
4,1000,6,0.05,1,10,0.4,0.41,0.9487,0.5098,0.1974
7,1000,6,0.01,1,5,0.5,0.42,0.7257,0.4703,0.1974
4,1000,6,0.01,3,10,0.93,0.34,0.8082,0.5524,0.1985
4,600,6,0.01,2,5,0.23,0.2,0.6277,0.3573,0.2072
13,600,6,0.08,3,9,0.62,0.76,0.9555,0.5936,0.1985
7,1000,6,0.1,3,7,0.17,0.06,0.8928,0.5452,0.1985
13,800,6,0.05,2,4,0.53,0.39,0.8264,0.4748,0.2072
13,1000,6,0.1,2,9,0.73,0.72,0.9875,0.3752,0.2072
25,800,6,0.05,1,4,0.72,0.61,0.8225,0.5019,0.1974
10,1000,6,0.08,1,4,0.92,0.59,0.8984,0.5071,0.1974
4,800,6,0.05,3,9,0.89,0.98,0.9536,0.6086,0.1985
7,600,6,0.08,2,4,0.44,0.12,0.8232,0.4424,0.2072
7,800,6,0.05,3,8,0.84,0.95,0.9456,0.6024,0.1985
10,600,6,0.08,2,7,0.12,0.42,0.8308,0.4312,0.2072
7,800,6,0.01,1,10,0.16,1.0,0.7399,0.4571,0.1974
4,600,6,0.1,2,4,0.14,0.88,0.8071,0.4245,0.2072
25,800,6,0.01,1,5,0.51,0.23,0.6683,0.4381,0.1974
13,600,6,0.08,1,6,0.05,0.33,0.7284,0.4399,0.1974
13,1000,6,0.08,2,8,0.23,0.51,0.9252,0.4444,0.2072
4,1000,6,0.08,1,9,0.52,0.25,0.9712,0.4794,0.1974
7,1000,6,0.01,1,4,0.34,0.7,0.6733,0.4576,0.1974
13,600,6,0.05,3,4,0.68,0.87,0.8068,0.5645,0.1985
10,800,6,0.1,3,6,0.96,0.71,0.9558,0.5818,0.1985
4,1000,6,0.1,3,5,0.87,0.25,0.9458,0.5747,0.1985
25,1000,6,0.08,2,7,0.75,0.66,0.957,0.417,0.2072
7,800,6,0.05,2,10,0.95,0.37,0.9565,0.4253,0.2072
7,600,6,0.01,2,9,0.14,0.49,0.6841,0.3802,0.2072
4,800,6,0.08,2,9,0.19,0.1,0.9109,0.4437,0.2072
4,1000,6,0.08,1,6,0.19,0.7,0.9133,0.49,0.1974
10,600,6,0.08,1,4,0.1,0.4,0.7299,0.4548,0.1974
4,1000,6,0.01,3,8,0.52,0.71,0.8022,0.557,0.1985
13,800,6,0.1,2,5,0.12,0.32,0.8054,0.4466,0.2072
10,600,6,0.08,1,9,0.88,0.4,0.9597,0.484,0.1974
13,600,6,0.01,3,5,1.0,0.76,0.6725,0.4928,0.1985
13,600,6,0.1,2,8,0.09,0.14,0.8227,0.4352,0.2072
7,600,6,0.1,2,6,0.38,0.7,0.9269,0.4534,0.2072
25,1000,6,0.05,3,4,0.1,0.62,0.704,0.527,0.1985
4,600,6,0.01,3,7,0.11,0.66,0.6491,0.4799,0.1985
25,600,6,0.08,1,7,0.48,0.79,0.9136,0.4944,0.1974
10,1000,6,0.01,1,9,0.43,0.66,0.8084,0.4933,0.1974
25,800,6,0.1,1,9,0.62,0.39,0.9681,0.4981,0.1974
