leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8,800,13,0.8,3,0.9993,0.2316,0.2051
6,800,13,0.2,1,0.9897,0.4125,0.219
10,500,13,0.4,2,0.9942,0.2769,0.1784
10,500,13,0.06,1,0.9024,0.4564,0.219
10,500,13,0.04,3,0.8808,0.3662,0.2051
4,400,13,0.06,2,0.8953,0.4108,0.1784
4,1000,13,0.14,1,0.9888,0.4262,0.219
8,800,13,0.6,3,0.9992,0.2615,0.2051
6,100,13,0.02,1,0.5904,0.4532,0.219
10,1400,13,0.04,3,0.9554,0.3672,0.2051
4,1200,13,0.04,1,0.9393,0.4635,0.219
10,1600,13,0.8,3,0.9993,0.2771,0.2051
8,200,13,0.04,2,0.7858,0.4397,0.1784
6,1600,13,0.2,3,0.9986,0.3645,0.2051
10,1600,13,0.04,2,0.9596,0.3831,0.1784
10,300,13,0.02,2,0.7579,0.4094,0.1784
4,1400,13,0.12,1,0.9924,0.4606,0.219
10,1000,13,0.04,3,0.9348,0.3663,0.2051
8,600,13,0.08,3,0.95,0.39,0.2051
10,1600,13,0.2,1,0.9971,0.4106,0.219
4,1400,13,0.04,1,0.9504,0.4631,0.219
8,300,13,0.1,3,0.9209,0.4128,0.2051
8,300,13,0.6,1,0.9931,0.3157,0.219
10,1000,13,0.08,2,0.9683,0.3968,0.1784
10,1600,13,0.14,3,0.9958,0.3968,0.2051
10,400,13,0.08,3,0.9188,0.3623,0.2051
8,1000,13,0.08,2,0.972,0.3983,0.1784
6,100,13,0.12,2,0.834,0.3659,0.1784
10,500,13,0.06,3,0.9165,0.3731,0.2051
8,1000,13,0.02,2,0.8824,0.4069,0.1784
4,1000,13,0.6,3,0.9993,0.333,0.2051
8,400,13,0.14,1,0.9521,0.4899,0.219
8,1600,13,0.04,1,0.9575,0.4663,0.219
10,100,13,0.06,3,0.7541,0.3564,0.2051
6,1400,13,0.8,2,0.9985,0.1426,0.1784
4,1600,13,0.1,2,0.9928,0.3518,0.1784
6,1200,13,0.4,1,0.9985,0.3979,0.219
8,1400,13,0.6,3,0.9993,0.261,0.2051
10,400,13,0.4,3,0.9899,0.3386,0.2051
4,200,13,0.6,3,0.9876,0.3418,0.2051
4,600,13,0.06,1,0.9153,0.4664,0.219
8,500,13,0.8,2,0.9982,0.1202,0.1784
10,1400,13,0.04,1,0.9479,0.4834,0.219
4,200,13,0.12,3,0.8976,0.3687,0.2051
8,1200,13,0.6,3,0.9993,0.261,0.2051
10,500,13,0.1,1,0.9379,0.465,0.219
6,100,13,0.02,2,0.6299,0.381,0.1784
8,1200,13,0.12,3,0.9908,0.3434,0.2051
6,200,13,0.06,1,0.8114,0.4704,0.219
6,100,13,0.12,2,0.834,0.3659,0.1784
6,1200,13,0.04,2,0.9492,0.3872,0.1784
8,1600,13,0.06,3,0.9813,0.3756,0.2051
8,300,13,0.6,3,0.9942,0.2664,0.2051
8,1400,13,0.08,1,0.9795,0.4255,0.219
4,200,13,0.14,1,0.9043,0.4439,0.219
4,200,13,0.1,2,0.8851,0.3965,0.1784
10,1600,13,0.04,1,0.956,0.4817,0.219
6,400,13,0.6,2,0.9965,0.2182,0.1784
4,600,13,0.2,3,0.9873,0.3737,0.2051
6,1600,13,0.8,1,0.9985,0.3454,0.219
4,400,13,0.02,3,0.7815,0.3822,0.2051
10,100,13,0.8,3,0.9716,0.2853,0.2051
4,400,13,0.08,3,0.9191,0.3818,0.2051
8,200,13,0.1,1,0.8628,0.4849,0.219
4,100,13,0.08,3,0.7778,0.3633,0.2051
4,800,13,0.08,1,0.9593,0.4616,0.219
6,800,13,0.8,1,0.9985,0.3458,0.219
6,400,13,0.2,2,0.975,0.261,0.1784
6,1600,13,0.04,3,0.9643,0.4132,0.2051
8,1000,13,0.14,3,0.9893,0.4187,0.2051
8,600,13,0.2,1,0.9839,0.4125,0.219
6,100,13,0.08,2,0.7828,0.4083,0.1784
10,1600,13,0.08,3,0.9871,0.3592,0.2051
4,1000,13,0.12,2,0.9862,0.341,0.1784
4,300,13,0.08,1,0.8859,0.4838,0.219
4,600,13,0.06,3,0.936,0.3707,0.2051
4,600,13,0.08,1,0.9405,0.4675,0.219
4,1600,13,0.02,3,0.9255,0.3871,0.2051
4,1600,13,0.1,3,0.994,0.4024,0.2051
8,200,13,0.04,3,0.7852,0.3731,0.2051
10,200,13,0.02,3,0.7281,0.3727,0.2051
4,1600,13,0.08,1,0.987,0.4486,0.219
4,300,13,0.14,1,0.9324,0.4371,0.219
4,800,13,0.2,3,0.9936,0.3723,0.2051
10,1200,13,0.4,2,0.9983,0.271,0.1784
4,1400,13,0.6,1,0.9985,0.2115,0.219
6,1000,13,0.08,2,0.9709,0.3825,0.1784
8,500,13,0.2,2,0.9776,0.3568,0.1784
4,600,13,0.02,3,0.8308,0.3906,0.2051
10,100,13,0.1,2,0.8053,0.4205,0.1784
6,1400,13,0.12,3,0.9935,0.3808,0.2051
4,400,13,0.8,3,0.9989,0.1145,0.2051
10,100,13,0.02,2,0.6306,0.3824,0.1784
10,300,13,0.04,1,0.8165,0.4773,0.219
10,800,13,0.04,1,0.908,0.4777,0.219
4,300,13,0.8,3,0.998,0.1114,0.2051
4,100,13,0.06,2,0.7554,0.4091,0.1784
8,1600,13,0.4,3,0.9993,0.3448,0.2051
8,1400,13,0.12,3,0.9934,0.3428,0.2051
4,200,13,0.2,1,0.9236,0.4415,0.219
