leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
4,300,14,0.8,1,0.9938,0.1652,0.2
10,1600,14,0.12,3,0.9894,0.5464,0.2005
4,1000,14,0.04,1,0.9334,0.5707,0.2
4,500,14,0.08,1,0.9351,0.5586,0.2
4,1200,14,0.6,3,0.9945,0.3916,0.2005
8,400,14,0.08,2,0.9031,0.5105,0.1964
8,1600,14,0.14,3,0.9917,0.5146,0.2005
4,200,14,0.14,3,0.8913,0.5789,0.2005
10,400,14,0.2,2,0.9709,0.5157,0.1964
6,100,14,0.2,3,0.8515,0.5669,0.2005
4,600,14,0.1,2,0.9641,0.5603,0.1964
8,1000,14,0.2,3,0.9905,0.5283,0.2005
8,1000,14,0.4,1,0.9945,0.4101,0.2
10,1600,14,0.2,3,0.9933,0.5122,0.2005
8,500,14,0.4,2,0.9946,0.4794,0.1964
4,600,14,0.8,3,0.9944,0.4368,0.2005
6,1600,14,0.08,2,0.9894,0.5337,0.1964
4,300,14,0.1,2,0.8993,0.5485,0.1964
10,800,14,0.06,2,0.9413,0.5205,0.1964
10,100,14,0.4,2,0.9337,0.5338,0.1964
4,800,14,0.4,1,0.9943,0.5218,0.2
8,400,14,0.08,1,0.9109,0.5548,0.2
8,100,14,0.8,2,0.9769,0.505,0.1964
8,600,14,0.14,3,0.9721,0.5301,0.2005
8,500,14,0.2,2,0.9807,0.4919,0.1964
8,300,14,0.02,1,0.6787,0.5067,0.2
8,400,14,0.02,1,0.7183,0.5208,0.2
6,1000,14,0.2,3,0.9909,0.5265,0.2005
4,1600,14,0.02,2,0.9098,0.526,0.1964
6,1600,14,0.14,3,0.9918,0.5132,0.2005
4,1600,14,0.12,2,0.9944,0.5454,0.1964
4,1200,14,0.12,1,0.9887,0.5438,0.2
6,1200,14,0.1,3,0.983,0.5723,0.2005
6,800,14,0.14,2,0.9872,0.5154,0.1964
6,200,14,0.6,3,0.9857,0.4527,0.2005
6,1000,14,0.14,2,0.9911,0.5138,0.1964
8,1600,14,0.2,3,0.9936,0.524,0.2005
4,800,14,0.12,1,0.9808,0.5424,0.2
10,1000,14,0.8,3,0.9945,0.3483,0.2005
4,1200,14,0.2,3,0.9927,0.5012,0.2005
4,1000,14,0.08,3,0.9722,0.5592,0.2005
6,800,14,0.2,1,0.9901,0.5555,0.2
6,400,14,0.6,2,0.9964,0.4891,0.1964
8,800,14,0.04,1,0.9105,0.5707,0.2
4,1000,14,0.08,1,0.9731,0.5627,0.2
10,100,14,0.12,1,0.784,0.5208,0.2
4,1000,14,0.08,1,0.9731,0.5627,0.2
6,200,14,0.08,2,0.8253,0.5085,0.1964
10,800,14,0.2,3,0.9873,0.5238,0.2005
4,600,14,0.4,1,0.9937,0.5231,0.2
10,800,14,0.2,3,0.9873,0.5238,0.2005
10,500,14,0.06,3,0.8944,0.5852,0.2005
10,1600,14,0.4,2,0.9973,0.5298,0.1964
6,1400,14,0.06,3,0.9729,0.5584,0.2005
6,100,14,0.12,1,0.7911,0.5309,0.2
10,800,14,0.04,2,0.9064,0.5284,0.1964
10,1400,14,0.6,2,0.9974,0.4515,0.1964
10,200,14,0.1,3,0.8438,0.5749,0.2005
8,100,14,0.6,1,0.9613,0.4669,0.2
10,1400,14,0.06,3,0.9678,0.56,0.2005
6,800,14,0.14,1,0.9834,0.545,0.2
10,1400,14,0.12,2,0.9915,0.53,0.1964
8,1200,14,0.02,3,0.8705,0.5818,0.2005
6,1600,14,0.2,1,0.9941,0.5529,0.2
4,1000,14,0.08,1,0.9731,0.5627,0.2
8,1600,14,0.08,1,0.9857,0.5685,0.2
8,1000,14,0.02,2,0.8483,0.5079,0.1964
4,600,14,0.02,1,0.78,0.5335,0.2
4,800,14,0.4,1,0.9943,0.5218,0.2
10,1400,14,0.1,2,0.9881,0.5394,0.1964
10,400,14,0.06,2,0.872,0.5029,0.1964
8,400,14,0.8,3,0.994,0.3628,0.2005
4,1600,14,0.1,1,0.9898,0.5636,0.2
10,100,14,0.2,3,0.8466,0.5809,0.2005
6,100,14,0.4,2,0.9377,0.5219,0.1964
10,1200,14,0.6,2,0.9973,0.4515,0.1964
10,200,14,0.2,2,0.9212,0.5156,0.1964
6,1200,14,0.06,2,0.9715,0.514,0.1964
10,200,14,0.6,3,0.9833,0.5253,0.2005
10,1000,14,0.4,1,0.9944,0.4988,0.2
10,800,14,0.2,1,0.9892,0.4954,0.2
4,300,14,0.08,1,0.8766,0.5541,0.2
10,800,14,0.1,2,0.9725,0.5395,0.1964
8,200,14,0.2,3,0.9311,0.5602,0.2005
8,600,14,0.1,3,0.9541,0.5652,0.2005
6,800,14,0.12,2,0.9823,0.5239,0.1964
6,1600,14,0.2,2,0.9968,0.4953,0.1964
8,1200,14,0.8,2,0.9974,0.4781,0.1964
4,600,14,0.6,1,0.9945,0.5034,0.2
10,1400,14,0.4,2,0.9973,0.5295,0.1964
10,100,14,0.12,2,0.7805,0.4949,0.1964
8,1400,14,0.1,2,0.9908,0.5131,0.1964
6,300,14,0.14,2,0.9432,0.5198,0.1964
8,500,14,0.6,2,0.9967,0.4194,0.1964
4,200,14,0.02,3,0.6422,0.5524,0.2005
8,800,14,0.06,1,0.9426,0.5754,0.2
6,400,14,0.1,1,0.9352,0.5617,0.2
6,100,14,0.8,3,0.9775,0.4188,0.2005
8,1200,14,0.12,3,0.9864,0.5421,0.2005
8,500,14,0.1,2,0.9526,0.5149,0.1964
4,400,15,0.06,1,0.8229,0.3329,0.2082
4,300,15,0.08,3,0.8244,0.313,0.2
8,100,15,0.04,3,0.5507,0.2056,0.2
8,1200,15,0.6,2,0.9968,0.288,0.2144
4,100,15,0.14,1,0.7564,0.3032,0.2082
8,800,15,0.14,2,0.9619,0.4209,0.2144
6,300,15,0.2,1,0.9306,0.3139,0.2082
4,300,15,0.02,3,0.6156,0.2354,0.2
10,400,15,0.8,2,0.9921,0.3167,0.2144
4,800,15,0.8,3,0.998,0.1129,0.2
6,300,15,0.02,3,0.6144,0.2225,0.2
8,100,15,0.12,1,0.7251,0.3581,0.2082
4,500,15,0.2,3,0.962,0.3185,0.2
6,500,15,0.02,1,0.7017,0.324,0.2082
8,300,15,0.1,1,0.8527,0.3306,0.2082
10,500,15,0.8,2,0.9943,0.3084,0.2144
10,1000,15,0.14,3,0.9678,0.3238,0.2
8,800,15,0.02,1,0.7684,0.3362,0.2082
4,1400,15,0.2,1,0.9937,0.3361,0.2082
10,200,15,0.4,2,0.94,0.431,0.2144
8,800,15,0.14,3,0.9619,0.3099,0.2
10,100,15,0.8,2,0.9414,0.3239,0.2144
4,1400,15,0.4,2,0.9967,0.3608,0.2144
10,400,15,0.04,3,0.7612,0.2662,0.2
6,800,15,0.4,2,0.9939,0.3949,0.2144
10,1000,15,0.02,2,0.7804,0.4675,0.2144
4,200,15,0.14,2,0.8373,0.4386,0.2144
6,1600,15,0.04,1,0.9311,0.3498,0.2082
10,100,15,0.4,2,0.8827,0.4375,0.2144
8,100,15,0.12,3,0.7242,0.2518,0.2
10,1000,15,0.12,1,0.9643,0.326,0.2082
8,1600,15,0.12,1,0.9848,0.3699,0.2082
4,300,15,0.12,2,0.8703,0.4375,0.2144
4,500,15,0.1,3,0.9076,0.3131,0.2
8,200,15,0.12,2,0.8171,0.4703,0.2144
8,1200,15,0.08,2,0.9497,0.4359,0.2144
8,800,15,0.6,1,0.9969,0.2248,0.2082
4,300,15,0.04,2,0.7164,0.4466,0.2144
6,1200,15,0.6,1,0.998,0.1165,0.2082
6,800,15,0.1,2,0.945,0.4427,0.2144
10,1200,15,0.08,3,0.9482,0.2871,0.2
8,200,15,0.06,1,0.7265,0.3138,0.2082
8,600,15,0.06,1,0.8687,0.3348,0.2082
8,600,15,0.12,2,0.9316,0.4548,0.2144
10,100,15,0.04,1,0.5624,0.2803,0.2082
8,1200,15,0.4,3,0.9964,0.233,0.2
6,300,15,0.8,2,0.9912,0.2939,0.2144
