leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
12,1200,6,0.08,2,0.9698,0.4164,0.2072
12,1000,6,0.18,2,0.9831,0.3907,0.2072
14,1600,6,0.25,2,0.9944,0.3428,0.2072
10,1000,6,0.25,1,0.9819,0.4954,0.1974
8,1400,6,0.04,3,0.8924,0.5928,0.1985
12,1400,6,0.04,2,0.9031,0.4519,0.2072
10,1200,6,0.04,1,0.8774,0.5274,0.1974
16,500,6,0.25,3,0.9671,0.5862,0.1985
16,1200,6,0.06,3,0.9252,0.6046,0.1985
16,1400,6,0.18,3,0.99,0.5881,0.1985
16,1600,6,0.18,3,0.9876,0.596,0.1985
6,100,6,0.06,3,0.6701,0.517,0.1985
6,1400,6,0.25,2,0.9963,0.3304,0.2072
14,1000,6,0.12,1,0.9769,0.4809,0.1974
6,1000,6,0.1,2,0.9675,0.4618,0.2072
8,500,6,0.25,3,0.9747,0.5668,0.1985
14,300,6,0.02,2,0.6907,0.3819,0.2072
8,100,6,0.25,2,0.843,0.4575,0.2072
8,1400,6,0.15,1,0.9834,0.5075,0.1974
16,1600,6,0.04,3,0.9465,0.6118,0.1985
14,800,6,0.15,2,0.9768,0.4257,0.2072
8,1200,6,0.04,2,0.9167,0.4479,0.2072
16,300,6,0.18,1,0.9392,0.5243,0.1974
10,1400,6,0.1,1,0.9751,0.5173,0.1974
14,1200,6,0.06,1,0.9538,0.5059,0.1974
6,300,6,0.02,3,0.6881,0.5283,0.1985
10,1600,6,0.04,2,0.9158,0.4389,0.2072
10,300,6,0.25,1,0.9381,0.5006,0.1974
6,100,6,0.18,2,0.8299,0.4494,0.2072
10,800,6,0.02,3,0.7892,0.574,0.1985
6,1400,6,0.15,1,0.992,0.4938,0.1974
12,800,6,0.18,2,0.9637,0.4216,0.2072
12,800,6,0.08,3,0.9516,0.5985,0.1985
10,800,6,0.25,1,0.9896,0.4862,0.1974
14,1600,6,0.06,3,0.9563,0.6035,0.1985
8,500,6,0.25,3,0.9543,0.5851,0.1985
12,1600,6,0.18,1,0.9832,0.5385,0.1974
10,1200,6,0.12,2,0.9709,0.434,0.2072
16,1200,6,0.15,3,0.963,0.5948,0.1985
12,800,6,0.08,3,0.9354,0.6107,0.1985
8,1000,6,0.18,3,0.9782,0.598,0.1985
14,300,6,0.18,3,0.9202,0.5681,0.1985
10,300,6,0.02,3,0.6904,0.5301,0.1985
12,1400,6,0.02,1,0.8283,0.5361,0.1974
14,300,6,0.08,2,0.8328,0.439,0.2072
10,500,6,0.12,2,0.9018,0.4676,0.2072
16,800,6,0.15,1,0.9463,0.5107,0.1974
6,500,6,0.08,3,0.877,0.5815,0.1985
14,1400,6,0.04,1,0.9234,0.5184,0.1974
8,1400,6,0.25,3,0.9926,0.5536,0.1985
16,1400,6,0.02,1,0.8586,0.5275,0.1974
10,1600,6,0.15,3,0.9834,0.5935,0.1985
16,1600,6,0.25,3,0.9872,0.5816,0.1985
12,1000,6,0.04,2,0.8745,0.4556,0.2072
12,1000,6,0.15,2,0.9847,0.3978,0.2072
8,1200,6,0.02,3,0.852,0.5904,0.1985
16,800,6,0.18,3,0.9649,0.5815,0.1985
12,500,6,0.15,1,0.9141,0.5049,0.1974
10,500,6,0.04,3,0.8101,0.5793,0.1985
6,300,6,0.15,2,0.8826,0.4589,0.2072
16,1200,6,0.1,1,0.9746,0.5271,0.1974
12,800,6,0.18,2,0.9765,0.3966,0.2072
8,1400,6,0.18,2,0.9839,0.4183,0.2072
12,500,6,0.08,3,0.9201,0.5962,0.1985
6,100,6,0.06,3,0.6859,0.5179,0.1985
8,100,6,0.18,1,0.828,0.5033,0.1974
8,1600,6,0.25,3,0.9921,0.5581,0.1985
14,100,6,0.06,2,0.7095,0.3996,0.2072
8,100,6,0.08,1,0.7257,0.4813,0.1974
14,1600,6,0.25,3,0.9921,0.5952,0.1985
10,1600,6,0.06,2,0.9345,0.4485,0.2072
14,1200,6,0.06,1,0.9416,0.5172,0.1974
6,1400,6,0.15,3,0.9873,0.579,0.1985
8,1000,6,0.15,1,0.9727,0.5114,0.1974
10,500,6,0.18,1,0.9458,0.4921,0.1974
14,1400,6,0.04,1,0.939,0.5123,0.1974
10,1200,6,0.04,1,0.9142,0.533,0.1974
16,100,6,0.06,2,0.6954,0.3919,0.2072
6,1600,6,0.1,2,0.9841,0.4418,0.2072
16,100,6,0.12,1,0.7963,0.5217,0.1974
12,100,6,0.25,3,0.813,0.5618,0.1985
14,1600,6,0.02,2,0.8527,0.4575,0.2072
16,1200,6,0.15,3,0.9776,0.5724,0.1985
14,300,6,0.25,1,0.9203,0.4812,0.1974
8,800,6,0.08,1,0.9565,0.5141,0.1974
14,300,6,0.15,1,0.9032,0.5244,0.1974
16,800,6,0.15,1,0.9751,0.4976,0.1974
10,800,6,0.08,2,0.9367,0.4551,0.2072
6,300,6,0.12,1,0.8643,0.5195,0.1974
16,1200,6,0.02,3,0.8447,0.5921,0.1985
10,1600,6,0.08,3,0.9801,0.6083,0.1985
12,1000,6,0.18,2,0.9728,0.4208,0.2072
8,1600,6,0.15,1,0.9923,0.4851,0.1974
12,800,6,0.18,1,0.9707,0.5086,0.1974
12,1000,6,0.1,3,0.9698,0.6079,0.1985
8,500,6,0.12,3,0.9533,0.61,0.1985
12,1200,6,0.04,3,0.9326,0.602,0.1985
10,1600,6,0.15,1,0.9888,0.4968,0.1974
16,1600,6,0.25,3,0.9934,0.59,0.1985
6,800,6,0.1,3,0.9538,0.6004,0.1985
