leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
4,600,6,0.08,3,10,0.82,0.7,0.9683,0.6124,0.1985
25,1000,6,0.08,3,8,1.0,0.62,0.9758,0.5993,0.1985
10,600,6,0.05,2,10,0.61,1.0,0.9473,0.4549,0.2072
25,600,6,0.08,2,7,0.4,0.69,0.9078,0.4585,0.2072
7,800,6,0.08,3,6,0.43,0.81,0.9393,0.6068,0.1985
13,800,6,0.05,3,6,0.93,0.78,0.9119,0.6009,0.1985
10,600,6,0.05,2,7,0.11,0.38,0.7973,0.4274,0.2072
10,600,6,0.05,1,5,0.36,0.88,0.8463,0.5157,0.1974
4,1000,6,0.05,2,6,0.79,0.17,0.9309,0.4547,0.2072
10,1000,6,0.05,1,9,0.55,0.48,0.9612,0.535,0.1974
4,800,6,0.01,1,9,1.0,0.71,0.7912,0.5114,0.1974
13,1000,6,0.01,3,7,0.45,0.88,0.79,0.5723,0.1985
7,1000,6,0.08,2,4,0.96,1.0,0.9122,0.4411,0.2072
10,1000,6,0.08,1,6,0.81,0.58,0.9647,0.51,0.1974
10,600,6,0.1,2,10,0.54,0.63,0.975,0.4186,0.2072
25,1000,6,0.08,3,8,0.33,0.49,0.9298,0.6109,0.1985
4,1000,6,0.08,3,6,0.05,0.18,0.8414,0.5784,0.1985
25,800,6,0.05,1,4,0.69,0.39,0.822,0.5023,0.1974
7,1000,6,0.1,3,9,0.46,0.93,0.9829,0.5883,0.1985
13,1000,6,0.08,3,9,0.48,0.51,0.9722,0.6067,0.1985
7,800,6,0.1,3,8,0.6,0.21,0.9709,0.5917,0.1985
13,1000,6,0.01,2,7,0.16,0.19,0.715,0.4113,0.2072
13,1000,6,0.01,3,7,0.64,0.87,0.7986,0.576,0.1985
7,1000,6,0.1,1,6,0.76,0.96,0.9775,0.5141,0.1974
13,800,6,0.08,1,9,0.32,0.37,0.9468,0.525,0.1974
13,800,6,0.01,3,7,0.58,0.82,0.7672,0.5603,0.1985
4,600,6,0.01,3,5,0.55,0.2,0.6584,0.5103,0.1985
7,1000,6,0.08,3,8,0.96,0.66,0.9824,0.6018,0.1985
7,600,6,0.01,2,8,0.34,0.64,0.735,0.4043,0.2072
13,1000,6,0.08,1,7,0.91,0.69,0.9726,0.5309,0.1974
4,1000,6,0.1,2,9,0.68,0.18,0.9851,0.4272,0.2072
7,800,6,0.05,2,8,0.12,0.41,0.8699,0.4482,0.2072
10,800,6,0.01,3,4,0.49,0.35,0.6526,0.5138,0.1985
10,800,6,0.1,3,8,0.23,0.71,0.9442,0.6091,0.1985
10,800,6,0.01,1,5,0.27,0.26,0.6779,0.4594,0.1974
13,600,6,0.01,1,4,0.38,0.51,0.6297,0.4511,0.1974
10,600,6,0.01,3,4,0.45,0.1,0.5932,0.4744,0.1985
13,1000,6,0.05,2,10,0.83,0.75,0.9714,0.4499,0.2072
25,1000,6,0.1,3,9,0.19,0.24,0.913,0.609,0.1985
13,600,6,0.08,1,10,0.29,0.13,0.9218,0.5296,0.1974
7,1000,6,0.08,2,6,0.42,0.46,0.9529,0.4491,0.2072
13,1000,6,0.01,1,7,0.08,0.15,0.6586,0.4454,0.1974
7,800,6,0.05,1,8,0.1,0.86,0.8617,0.5148,0.1974
7,800,6,0.08,3,7,0.27,0.29,0.927,0.592,0.1985
25,1000,6,0.01,3,6,0.09,0.83,0.63,0.5015,0.1985
10,800,6,0.01,3,5,0.83,0.89,0.719,0.5438,0.1985
13,1000,6,0.01,2,10,0.1,0.42,0.7256,0.402,0.2072
4,800,6,0.08,1,9,0.75,0.64,0.9783,0.5311,0.1974
25,800,6,0.08,2,6,0.31,0.49,0.8849,0.4527,0.2072
7,800,6,0.1,3,5,0.79,0.57,0.9439,0.5911,0.1985
10,1000,6,0.08,1,6,0.88,1.0,0.9622,0.5164,0.1974
10,600,6,0.08,3,8,0.18,0.28,0.8895,0.6021,0.1985
13,1000,6,0.01,3,6,0.33,0.25,0.7325,0.5449,0.1985
13,1000,6,0.05,2,5,0.83,0.46,0.9006,0.4385,0.2072
