leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,500,13,0.6,2,0.9967,0.2506,0.1784
8,1000,13,0.4,2,0.9973,0.3287,0.1784
6,1600,13,0.6,3,0.9987,0.1816,0.2051
10,1600,13,0.6,2,0.998,0.274,0.1784
8,500,13,0.04,2,0.8685,0.4546,0.1784
6,1000,13,0.02,2,0.8677,0.4586,0.1784
6,600,13,0.1,2,0.9554,0.4172,0.1784
10,200,13,0.14,1,0.8859,0.3135,0.219
10,100,13,0.6,1,0.9461,0.2574,0.219
10,600,13,0.6,3,0.9978,0.2197,0.2051
4,500,13,0.12,3,0.952,0.3715,0.2051
6,800,13,0.1,3,0.9721,0.3689,0.2051
4,400,13,0.02,2,0.7647,0.4224,0.1784
4,300,13,0.4,1,0.9837,0.2836,0.219
10,1600,13,0.12,3,0.9924,0.3238,0.2051
8,200,13,0.04,2,0.7623,0.4321,0.1784
10,1000,13,0.1,3,0.9748,0.3631,0.2051
4,400,13,0.8,2,0.9973,0.1709,0.1784
8,100,13,0.04,1,0.6555,0.4103,0.219
10,600,13,0.14,2,0.9669,0.4297,0.1784
10,200,13,0.4,2,0.9661,0.3717,0.1784
8,200,13,0.2,3,0.9311,0.3548,0.2051
6,1200,13,0.14,1,0.9902,0.3003,0.219
8,1000,13,0.6,3,0.9986,0.1679,0.2051
10,1400,13,0.2,1,0.9961,0.2807,0.219
6,1000,13,0.02,2,0.8677,0.4586,0.1784
10,300,13,0.14,2,0.9311,0.4439,0.1784
4,200,13,0.1,3,0.8689,0.4022,0.2051
6,1600,13,0.8,2,0.998,0.2613,0.1784
8,600,13,0.6,1,0.9979,0.2559,0.219
10,1000,13,0.06,1,0.9463,0.3354,0.219
10,500,13,0.02,3,0.7947,0.3794,0.2051
6,600,13,0.12,3,0.9659,0.3415,0.2051
8,500,13,0.14,1,0.9585,0.311,0.219
10,800,13,0.04,2,0.9123,0.4452,0.1784
10,1200,13,0.4,3,0.9984,0.2913,0.2051
4,800,13,0.04,3,0.91,0.3907,0.2051
6,1400,13,0.8,3,0.9987,0.2368,0.2051
8,500,13,0.12,3,0.9516,0.3673,0.2051
10,1600,13,0.02,3,0.9121,0.3838,0.2051
6,100,13,0.2,2,0.8727,0.3938,0.1784
10,800,13,0.2,2,0.9868,0.3903,0.1784
8,100,13,0.6,3,0.9507,0.2185,0.2051
6,1000,13,0.1,3,0.9795,0.3627,0.2051
8,600,13,0.02,1,0.8069,0.3803,0.219
8,600,13,0.04,1,0.8753,0.3806,0.219
6,500,13,0.8,1,0.9983,0.2197,0.219
4,800,13,0.2,2,0.9897,0.3868,0.1784
6,1200,13,0.06,2,0.9656,0.4318,0.1784
6,600,13,0.14,2,0.9695,0.3887,0.1784
10,200,13,0.4,3,0.967,0.3295,0.2051
4,1600,13,0.4,1,0.9986,0.2667,0.219
8,1000,13,0.04,2,0.9262,0.4454,0.1784
8,500,13,0.06,3,0.9061,0.3816,0.2051
8,100,13,0.6,1,0.9459,0.278,0.219
6,200,13,0.2,2,0.9293,0.3704,0.1784
10,400,13,0.8,1,0.9971,0.1432,0.219
10,400,13,0.04,3,0.8518,0.3701,0.2051
6,300,13,0.1,3,0.9053,0.3769,0.2051
4,800,13,0.1,2,0.9689,0.3971,0.1784
4,1200,13,0.4,1,0.9985,0.2681,0.219
6,300,13,0.04,3,0.8233,0.3714,0.2051
6,800,13,0.14,1,0.9791,0.3117,0.219
6,1200,13,0.04,1,0.9348,0.3372,0.219
10,1200,13,0.12,2,0.9842,0.3869,0.1784
10,200,13,0.2,3,0.931,0.3893,0.2051
4,800,13,0.04,2,0.9094,0.4358,0.1784
4,1600,13,0.1,3,0.9916,0.3871,0.2051
6,600,13,0.6,2,0.9975,0.249,0.1784
4,100,13,0.14,2,0.8341,0.4031,0.1784
4,100,13,0.12,2,0.8161,0.4167,0.1784
6,400,13,0.8,3,0.9979,0.2398,0.2051
6,300,13,0.02,1,0.7076,0.4016,0.219
6,1200,13,0.04,1,0.9348,0.3372,0.219
8,1000,13,0.02,2,0.8734,0.4598,0.1784
4,200,13,0.12,1,0.8793,0.3782,0.219
6,100,13,0.08,1,0.7431,0.3872,0.219
10,1200,13,0.14,3,0.9888,0.3039,0.2051
6,800,13,0.12,2,0.9738,0.3593,0.1784
10,1200,13,0.12,2,0.9842,0.3869,0.1784
6,1000,13,0.02,1,0.8589,0.3785,0.219
8,800,13,0.12,2,0.9736,0.4223,0.1784
6,800,13,0.04,1,0.9019,0.3461,0.219
4,1200,13,0.14,2,0.9909,0.3421,0.1784
6,1200,13,0.14,1,0.9902,0.3003,0.219
10,1200,13,0.02,3,0.8894,0.386,0.2051
4,500,13,0.12,2,0.9542,0.3849,0.1784
8,500,13,0.2,1,0.9709,0.3793,0.219
6,600,13,0.4,2,0.9947,0.2522,0.1784
6,100,13,0.06,3,0.7247,0.3301,0.2051
4,1200,13,0.2,3,0.9966,0.2974,0.2051
8,1400,13,0.04,3,0.9515,0.3793,0.2051
10,500,13,0.14,3,0.9614,0.325,0.2051
8,200,13,0.6,1,0.9817,0.2763,0.219
8,1400,13,0.12,3,0.9907,0.3484,0.2051
8,1600,13,0.1,3,0.99,0.3294,0.2051
10,400,13,0.4,3,0.9883,0.3074,0.2051
8,400,13,0.8,3,0.998,0.1322,0.2051
10,500,13,0.2,3,0.9742,0.3552,0.2051
4,500,13,0.14,3,0.9659,0.3369,0.2051
