leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,200,1,0.4,3,0.9879,0.328,0.1923
6,200,1,0.02,2,0.6762,0.1946,0.2113
10,1600,1,0.06,1,0.9894,0.3693,0.2051
8,100,1,0.08,1,0.7885,0.3562,0.2051
4,800,1,0.4,2,0.9964,0.0312,0.2113
10,300,1,0.6,3,0.9952,0.2682,0.1923
6,600,1,0.2,3,0.9924,0.3654,0.1923
8,1400,1,0.8,1,0.997,0.0947,0.2051
8,1400,1,0.1,2,0.9945,0.0421,0.2113
6,300,1,0.1,2,0.9557,0.1127,0.2113
6,400,1,0.12,2,0.9774,0.1099,0.2113
10,800,1,0.02,3,0.8958,0.4442,0.1923
10,1200,1,0.06,1,0.9841,0.3741,0.2051
8,1000,1,0.6,3,0.9961,0.3116,0.1923
4,100,1,0.02,2,0.5407,0.1791,0.2113
4,200,1,0.8,2,0.9955,-0.268,0.2113
8,800,1,0.8,3,0.9961,0.2131,0.1923
4,1200,1,0.14,1,0.9957,0.3729,0.2051
8,200,1,0.4,1,0.9878,0.3424,0.2051
6,1400,1,0.08,2,0.9926,0.0454,0.2113
6,800,1,0.06,2,0.9757,0.1368,0.2113
10,1600,1,0.06,3,0.989,0.4196,0.1923
10,600,1,0.6,1,0.9969,0.2049,0.2051
4,1600,1,0.06,1,0.9902,0.379,0.2051
8,200,1,0.02,1,0.6654,0.3114,0.2051
4,1600,1,0.14,1,0.9965,0.3708,0.2051
8,1400,1,0.6,2,0.9964,-0.2835,0.2113
6,1000,1,0.6,2,0.9964,-0.1928,0.2113
10,500,1,0.4,2,0.9959,-0.2166,0.2113
6,1600,1,0.12,2,0.9958,0.044,0.2113
10,100,1,0.14,3,0.88,0.435,0.1923
10,200,1,0.12,1,0.9395,0.3717,0.2051
4,1400,1,0.08,3,0.9916,0.4048,0.1923
8,400,1,0.06,2,0.9428,0.183,0.2113
6,1400,1,0.02,1,0.9487,0.4131,0.2051
4,500,1,0.4,1,0.9964,0.2538,0.2051
10,400,1,0.06,1,0.9411,0.3802,0.2051
4,1200,1,0.4,2,0.9964,0.0294,0.2113
6,300,1,0.4,1,0.9935,0.3324,0.2051
8,1200,1,0.4,3,0.9961,0.3533,0.1923
4,200,1,0.08,3,0.8947,0.4218,0.1923
10,1000,1,0.4,3,0.9961,0.3171,0.1923
10,200,1,0.6,3,0.9928,0.2748,0.1923
10,400,1,0.02,2,0.7981,0.2107,0.2113
4,300,1,0.4,2,0.9937,0.0628,0.2113
8,1000,1,0.6,1,0.997,0.2014,0.2051
6,800,1,0.06,2,0.9757,0.1368,0.2113
6,1000,1,0.14,3,0.9936,0.3677,0.1923
10,200,1,0.02,2,0.682,0.1994,0.2113
4,1000,1,0.2,3,0.9954,0.3644,0.1923
6,1200,1,0.6,2,0.9964,-0.1928,0.2113
6,400,1,0.06,1,0.9366,0.3966,0.2051
8,400,1,0.2,2,0.988,0.0209,0.2113
4,500,1,0.1,3,0.9759,0.4157,0.1923
4,800,1,0.1,2,0.9882,0.0546,0.2113
6,800,1,0.04,3,0.9552,0.4404,0.1923
10,400,1,0.1,1,0.9665,0.3808,0.2051
8,100,1,0.6,1,0.9804,0.2335,0.2051
4,600,1,0.1,1,0.9814,0.3963,0.2051
6,1400,1,0.2,3,0.9959,0.3579,0.1923
10,1600,1,0.4,1,0.997,0.3267,0.2051
8,800,1,0.06,3,0.9735,0.4284,0.1923
4,400,1,0.14,2,0.9809,0.0709,0.2113
4,800,1,0.12,2,0.9912,0.0948,0.2113
4,800,1,0.08,1,0.9823,0.3958,0.2051
4,300,1,0.2,2,0.9829,0.0597,0.2113
10,200,1,0.4,1,0.9874,0.3441,0.2051
6,600,1,0.2,3,0.9924,0.3654,0.1923
8,1600,1,0.14,3,0.9955,0.3987,0.1923
8,1200,1,0.4,1,0.997,0.3283,0.2051
6,600,1,0.02,3,0.8569,0.4293,0.1923
8,200,1,0.6,2,0.9937,-0.2338,0.2113
