leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
16,800,6,0.04,3,0.8621,0.5771,0.1985
16,1200,6,0.08,1,0.9457,0.5373,0.1974
8,100,6,0.04,1,0.6232,0.4711,0.1974
6,1400,6,0.12,3,0.9812,0.5911,0.1985
12,800,6,0.02,2,0.7664,0.4215,0.2072
10,800,6,0.15,1,0.9508,0.524,0.1974
12,300,6,0.04,1,0.7323,0.5106,0.1974
6,100,6,0.02,2,0.5464,0.3154,0.2072
16,300,6,0.18,3,0.9088,0.5838,0.1985
12,300,6,0.08,3,0.8179,0.5616,0.1985
12,800,6,0.02,3,0.7571,0.5493,0.1985
10,1600,6,0.06,1,0.9646,0.5234,0.1974
16,1600,6,0.06,2,0.9241,0.4272,0.2072
14,100,6,0.12,2,0.7493,0.4167,0.2072
8,1000,6,0.12,3,0.9662,0.5901,0.1985
12,1000,6,0.18,2,0.9718,0.4054,0.2072
8,800,6,0.25,1,0.9681,0.5089,0.1974
6,100,6,0.12,1,0.7648,0.5481,0.1974
8,1400,6,0.12,1,0.9688,0.5196,0.1974
10,1000,6,0.02,2,0.828,0.4409,0.2072
12,500,6,0.04,1,0.8148,0.5436,0.1974
8,1600,6,0.1,2,0.9843,0.3799,0.2072
8,100,6,0.25,3,0.8399,0.5503,0.1985
16,500,6,0.1,1,0.8617,0.5445,0.1974
16,1600,6,0.18,2,0.9822,0.3778,0.2072
12,100,6,0.08,2,0.7051,0.3948,0.2072
6,1600,6,0.08,1,0.9781,0.5106,0.1974
14,100,6,0.25,2,0.8657,0.3537,0.2072
16,500,6,0.06,2,0.8377,0.4281,0.2072
14,1000,6,0.08,1,0.9052,0.5414,0.1974
16,1200,6,0.15,1,0.967,0.496,0.1974
14,1200,6,0.08,1,0.9623,0.5377,0.1974
14,1200,6,0.04,3,0.9047,0.5937,0.1985
12,500,6,0.15,3,0.9521,0.5635,0.1985
12,300,6,0.1,1,0.881,0.5617,0.1974
8,300,6,0.08,1,0.8596,0.5543,0.1974
10,100,6,0.12,1,0.7889,0.5445,0.1974
8,300,6,0.06,3,0.8344,0.5448,0.1985
16,500,6,0.08,2,0.8453,0.4383,0.2072
16,800,6,0.08,1,0.9011,0.5364,0.1974
8,300,6,0.1,2,0.8879,0.4035,0.2072
14,1400,6,0.06,1,0.9558,0.5386,0.1974
10,300,6,0.02,3,0.6551,0.4981,0.1985
8,500,6,0.06,3,0.8166,0.5627,0.1985
14,1600,6,0.25,1,0.9911,0.488,0.1974
10,1400,6,0.12,1,0.9763,0.5123,0.1974
14,500,6,0.1,3,0.9092,0.6003,0.1985
16,100,6,0.15,2,0.7554,0.4104,0.2072
14,1200,6,0.04,3,0.9047,0.5937,0.1985
8,1600,6,0.1,3,0.9595,0.5799,0.1985
8,1400,6,0.02,2,0.8375,0.4196,0.2072
10,500,6,0.08,3,0.8498,0.5665,0.1985
16,1600,6,0.06,1,0.9594,0.534,0.1974
12,800,6,0.15,3,0.961,0.5657,0.1985
6,1400,6,0.02,2,0.8397,0.4298,0.2072
14,1400,6,0.02,3,0.8535,0.5693,0.1985
16,800,6,0.04,2,0.8838,0.4136,0.2072
14,300,6,0.12,1,0.8315,0.545,0.1974
6,300,6,0.02,2,0.7084,0.3729,0.2072
8,500,6,0.06,3,0.8621,0.5794,0.1985
14,300,6,0.04,2,0.7532,0.4151,0.2072
6,800,6,0.1,1,0.9476,0.5246,0.1974
8,300,6,0.15,2,0.9259,0.3783,0.2072
10,1200,6,0.1,2,0.9551,0.4241,0.2072
14,500,6,0.06,2,0.8412,0.439,0.2072
8,100,6,0.25,1,0.8131,0.5442,0.1974
16,100,6,0.1,1,0.743,0.5307,0.1974
16,800,6,0.06,3,0.8876,0.572,0.1985
6,100,6,0.15,3,0.7519,0.5427,0.1985
6,1600,6,0.1,1,0.9775,0.5099,0.1974
6,800,6,0.08,1,0.8956,0.5371,0.1974
14,100,6,0.15,1,0.7752,0.5258,0.1974
8,1400,6,0.1,3,0.9731,0.5744,0.1985
14,1000,6,0.15,1,0.9695,0.5207,0.1974
16,500,6,0.12,3,0.9025,0.592,0.1985
10,100,6,0.08,2,0.747,0.4128,0.2072
10,300,6,0.06,1,0.8252,0.5483,0.1974
10,1600,6,0.08,1,0.9553,0.5423,0.1974
16,1200,6,0.18,1,0.9667,0.4978,0.1974
10,500,6,0.25,3,0.9771,0.5714,0.1985
6,500,6,0.02,3,0.7288,0.5391,0.1985
14,1200,6,0.04,3,0.8642,0.5706,0.1985
8,1400,6,0.02,3,0.8114,0.5622,0.1985
16,1000,6,0.02,3,0.7734,0.5503,0.1985
16,1200,6,0.25,3,0.9835,0.5294,0.1985
12,1200,6,0.08,1,0.9654,0.5278,0.1974
12,1200,6,0.1,2,0.9423,0.4115,0.2072
10,100,6,0.02,3,0.5409,0.4205,0.1985
6,1400,6,0.15,3,0.9797,0.5732,0.1985
10,1000,6,0.18,1,0.985,0.5,0.1974
6,500,6,0.04,2,0.7876,0.4318,0.2072
12,100,6,0.08,2,0.7372,0.3966,0.2072
6,500,6,0.15,2,0.945,0.4187,0.2072
16,1600,6,0.18,2,0.9876,0.3737,0.2072
6,500,6,0.18,3,0.967,0.5661,0.1985
14,1200,6,0.25,3,0.9849,0.5344,0.1985
12,500,6,0.06,1,0.883,0.5417,0.1974
6,1400,6,0.06,3,0.9642,0.5901,0.1985
6,500,6,0.25,2,0.9648,0.4202,0.2072
10,100,6,0.02,2,0.5505,0.3166,0.2072
