leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
25,600,6,0.1,2,4,0.3,0.45,0.8026,0.4111,0.2072
13,1000,6,0.1,2,6,0.81,0.29,0.9601,0.3983,0.2072
25,800,6,0.08,2,9,0.88,0.32,0.9639,0.4136,0.2072
10,600,6,0.01,2,10,0.94,0.21,0.7097,0.3792,0.2072
10,600,6,0.1,2,5,0.79,0.14,0.9011,0.4178,0.2072
10,600,6,0.1,1,9,0.73,0.21,0.962,0.5365,0.1974
4,600,6,0.05,3,4,0.99,0.8,0.7955,0.5534,0.1985
7,600,6,0.1,1,7,0.59,0.36,0.952,0.5492,0.1974
7,1000,6,0.1,3,9,0.42,0.42,0.9739,0.5775,0.1985
4,600,6,0.1,1,6,0.17,0.27,0.8771,0.5234,0.1974
25,1000,6,0.01,1,10,0.98,0.14,0.7804,0.5168,0.1974
25,1000,6,0.08,3,6,0.15,0.96,0.8282,0.5684,0.1985
7,800,6,0.1,1,9,0.06,0.34,0.8648,0.5249,0.1974
4,1000,6,0.08,2,8,0.26,0.35,0.95,0.4501,0.2072
7,1000,6,0.01,1,5,0.61,0.1,0.684,0.4859,0.1974
7,1000,6,0.1,3,7,0.16,0.77,0.926,0.5743,0.1985
10,1000,6,0.1,3,8,0.76,0.15,0.9746,0.5662,0.1985
4,1000,6,0.01,1,10,0.21,0.46,0.7633,0.5217,0.1974
7,1000,6,0.05,1,4,0.53,0.21,0.8364,0.5432,0.1974
10,800,6,0.1,3,6,0.2,0.41,0.8863,0.5615,0.1985
25,800,6,0.1,1,8,0.99,0.97,0.9712,0.511,0.1974
4,800,6,0.05,1,8,0.73,0.29,0.9382,0.5329,0.1974
10,1000,6,0.08,1,4,0.69,0.9,0.8977,0.5467,0.1974
7,600,6,0.1,1,8,0.95,0.06,0.9408,0.5024,0.1974
13,1000,6,0.05,1,8,0.64,0.26,0.9435,0.5261,0.1974
10,800,6,0.1,3,4,0.63,0.68,0.8914,0.5798,0.1985
4,1000,6,0.1,1,8,0.74,0.96,0.9852,0.5199,0.1974
25,600,6,0.05,2,8,0.5,0.15,0.8816,0.4375,0.2072
25,600,6,0.05,3,5,0.55,0.71,0.8252,0.5714,0.1985
10,600,6,0.05,2,5,1.0,0.63,0.8543,0.4407,0.2072
10,1000,6,0.1,2,8,0.96,0.65,0.986,0.4146,0.2072
10,800,6,0.05,1,10,0.19,0.42,0.8921,0.531,0.1974
10,600,6,0.08,3,7,0.36,0.45,0.9146,0.5831,0.1985
10,800,6,0.08,1,9,0.12,0.44,0.8898,0.5308,0.1974
25,1000,6,0.05,1,7,0.14,0.65,0.8071,0.5336,0.1974
4,600,6,0.01,2,5,0.42,0.27,0.6434,0.3649,0.2072
10,1000,6,0.08,3,9,0.37,0.52,0.9618,0.5706,0.1985
13,1000,6,0.1,3,8,1.0,0.38,0.9831,0.5725,0.1985
25,800,6,0.08,3,9,0.89,0.98,0.9679,0.5796,0.1985
7,800,6,0.1,2,9,0.93,0.59,0.9827,0.412,0.2072
13,800,6,0.01,3,8,0.12,0.28,0.6573,0.4929,0.1985
13,800,6,0.1,2,4,0.24,0.69,0.8388,0.426,0.2072
25,800,6,0.08,1,9,0.6,0.8,0.9589,0.5357,0.1974
7,800,6,0.05,2,10,0.91,0.07,0.9365,0.4291,0.2072
25,800,6,0.1,1,8,0.34,0.54,0.9247,0.5439,0.1974
25,600,6,0.08,2,8,0.81,1.0,0.9433,0.4121,0.2072
25,1000,6,0.08,2,9,0.7,0.48,0.9707,0.4328,0.2072
13,600,6,0.08,2,9,0.39,0.68,0.9425,0.4198,0.2072
13,600,6,0.1,1,7,0.26,0.67,0.9044,0.5409,0.1974
25,600,6,0.01,1,4,0.91,0.26,0.5924,0.4639,0.1974
7,600,6,0.05,2,5,0.72,0.49,0.8577,0.4175,0.2072
4,600,6,0.1,1,5,0.54,0.78,0.9196,0.5312,0.1974
10,800,6,0.05,3,8,0.58,0.57,0.9391,0.5907,0.1985
13,800,6,0.1,3,7,0.29,0.57,0.9267,0.5636,0.1985
