INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,3.3332572163648737,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.006061639517654,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.01616442053247,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,3.9984438190028353,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.293711892752138,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.293711892752138,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.293711892752138,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.293711892752138,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.293711892752138,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.293711892752138,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.305188605025612,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.3063426998892806,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.3063426998892806,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.3063426998892806,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.3063426998892806,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.3063426998892806,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.33600452955323,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.33600452955323,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.5440569920091693,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.5440569920091693,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.5267051070154927,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.5267051070154927,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.5267051070154927,train
