INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,3.0295188279284226,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,3.564437486017926,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,3.5041835506222645,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,3.515481430339992,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0035389914410846,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0035389914410846,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0035389914410846,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0035389914410846,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0035389914410846,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0035389914410846,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0035389914410846,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0003137802935402,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0003137802935402,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0003137802935402,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0003137802935402,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0003137802935402,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0666908613551698,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0748165886046785,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.144709452913675,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.144709452913675,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.1436161385197265,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.1436161385197265,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.1436161385197265,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.1436161385197265,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.1436161385197265,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.1436161385197265,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.176840227590283,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.0554015437568403,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5376228909282637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5376228909282637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5376228909282637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5376228909282637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5376228909282637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5376228909282637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5410081570524694,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5466461818497526,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5466461818497526,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5466461818497526,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5466461818497526,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5466461818497526,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.619260926072744,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.6121341801772588,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.4966862826371496,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.4966862826371496,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5353307472256321,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5353307472256321,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5353307472256321,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5353307472256321,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5353307472256321,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5239643053695893,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5461046715229825,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.5165038205789354,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.130608289939143,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.130608289939143,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.130608289939143,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.130608289939143,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.130608289939143,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.130608289939143,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.130608289939143,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.14195416964379,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.14195416964379,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.14195416964379,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.14195416964379,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.14195416964379,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.173294447132238,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.1822363959364752,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.2813807948762572,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.2813807948762572,train
