INCHIKEY,pH_aq,IE,IE_hat_fp,class_fp
KIEQPXTUHQNADD-UHFFFAOYSA-N,2.7,5.18,5.043761494169022,train
KTUBSXMBPVHJQY-INIZCTEOSA-N,2.7,2.26,2.133251418053472,test
JQKHNBQZGUKYPX-UHFFFAOYSA-N,2.7,5.59,3.3940153944379157,test
DGEZNRSVGBDHLK-UHFFFAOYSA-N,2.7687500000000003,3.61,3.9257745248008398,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,10.699999999999998,3.62,3.3634925911599223,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,2.0,3.29,3.356235609943691,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,7.833333333333333,3.61,3.4703017974610764,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,6.767999999999999,3.65,3.790071064042453,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,5.613333333333333,4.1,3.7983942982416425,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.368696830758872,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,3.914166666666667,4.514068877,4.031275528010198,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,6.022857142857143,3.761798304,3.4166603134537317,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.8244000000000007,3.984466141,4.138913851101819,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,7.987500000000001,3.006186644,3.1506006534464555,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,9.24,2.77725215,3.176355390500471,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,6.794999999999999,3.875611918,3.3409774708360116,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,10.015,3.25,3.179345741078275,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.193333333333334,4.245007884,4.246086907291486,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,5.09875,3.82524871,3.641283563436702,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,1.42,3.550195098,3.6374326862882027,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,12.24,2.828358322,2.6996495122476816,train
ABBAPQUJOVTVPJ-UHFFFAOYSA-N,2.95,0.4,1.4789488735403926,test
ABBAPQUJOVTVPJ-UHFFFAOYSA-N,2.0,0.6,0.7188129087300461,test
ROFVEXUMMXZLPA-UHFFFAOYSA-N,2.6999999999999997,3.84,3.612353110042631,train
ROFVEXUMMXZLPA-UHFFFAOYSA-N,10.0,2.232921785,2.709502644276948,train
BWZVCCNYKMEVEX-UHFFFAOYSA-N,2.7,3.93,3.815770717640139,test
IAHOUQOWMXVMEH-UHFFFAOYSA-N,2.7,1.11,1.0990125758279636,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,1.9,1.06,1.1716028046064235,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,6.5,-0.16,-0.17462390699293762,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,7.0,0.75,-0.029973528142337447,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,2.8200000000000003,0.87,1.07354886124818,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,1.9,1.18,1.2818438574028008,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,4.01,-0.03,-0.18190795290674844,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,5.01,-1.22,-0.6493388137417342,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,6.0200000000000005,-0.46,-0.3754378640977811,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,7.0,-0.74,-0.22101030333865657,train
UHUCLRKNQALDRP-UHFFFAOYSA-N,2.7,5.52,5.400055472361273,train
SICWDJGRPKJYSF-UHFFFAOYSA-N,2.7750000000000004,4.9,4.287468695914198,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,1.9,5.07,3.867449707058195,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,4.01,5.0,3.8365454279715765,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,5.01,4.66,3.553116582536383,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,6.0225,5.38,3.666828998864818,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,7.0,5.01,3.6159990989015958,test
VHNQIURBCCNWDN-UHFFFAOYSA-N,3.8183333333333334,4.320231902,4.156018809086796,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,6.0777777777777775,4.138948812,3.680107853383029,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,2.9509999999999996,4.091767899,4.170711882338701,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,7.987500000000001,4.072010055,3.761470271630139,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,9.24,3.84589317,3.8105179475280746,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,6.754,3.761267576,3.566841824194117,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,10.1475,3.699460919,3.7837024582458545,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,2.193333333333334,4.167746884,4.34353853256182,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,5.1875,3.949079071,3.6189824322024036,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,1.42,3.528191554,3.744601558385484,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,12.24,3.515534716,3.51530714682276,train
IBTGEEMBZJBBSH-UHFFFAOYSA-N,2.7,1.12,3.2878120813630742,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,2.8200000000000003,3.57,3.569073380450877,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,1.9,3.39,3.296772357826232,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,4.01,2.67,3.358319666049974,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,5.01,2.32,3.139324008142945,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,6.0200000000000005,2.255277236,2.9619113034274083,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,7.0,2.13,2.6043496583428976,test
UJRRDDHEMZLWFI-UHFFFAOYSA-N,2.7,1.28074366,0.9593765029017525,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,10.7,0.41,0.6039995581222124,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,6.785,0.64,0.8833150240469156,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,5.52,1.11,0.8156913120568197,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,7.8,1.23,1.0450180575672248,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,2.0,0.1,0.3665029227957848,train
JWYUFVNJZUSCSM-UHFFFAOYSA-N,2.7750000000000004,3.67,3.787182852380255,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,1.9,3.39,3.4070613487391266,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,4.01,3.47,3.6008269861016555,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,5.01,3.37,3.368820437502143,test
JWYUFVNJZUSCSM-UHFFFAOYSA-N,5.924,3.33,3.3296910774880715,test
