INCHIKEY,pH_aq,IE,IE_hat_fp,class_fp
KIEQPXTUHQNADD-UHFFFAOYSA-N,2.7,5.18,4.69224769518592,train
KTUBSXMBPVHJQY-INIZCTEOSA-N,2.7,2.26,2.0663465515593153,test
JQKHNBQZGUKYPX-UHFFFAOYSA-N,2.7,5.59,3.0131976895116406,test
DGEZNRSVGBDHLK-UHFFFAOYSA-N,2.7687500000000003,2.7664513015625,3.1674533319111626,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,10.699999999999998,3.313333333333333,3.2894414218572603,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,2.0,3.1025,2.891802854860983,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,7.833333333333333,3.59,3.205320307265203,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,6.767999999999999,3.284,3.2868961356522295,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,5.613333333333333,3.1766666666666663,3.296866974387155,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.354552010860017,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,3.914166666666667,2.6604228088333333,2.802865856118443,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,6.022857142857143,2.6339890504285712,2.556636014001462,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.8244000000000007,3.149863206920001,3.106200270052324,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,7.987500000000001,2.3658228575000004,2.5367278647630696,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,9.24,2.5935190423333334,2.719320113197974,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,6.794999999999999,2.4839120620000004,2.471782254625789,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,10.015,2.9259120301666663,2.6638987619363967,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.193333333333334,3.401886427166667,3.3870925365195514,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,5.09875,2.7186287105,2.7278845992353737,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,1.42,3.550195098,3.4624698805323852,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,12.24,2.828358322,2.603914194025409,train
ABBAPQUJOVTVPJ-UHFFFAOYSA-N,2.95,0.245,1.318471329183627,test
ABBAPQUJOVTVPJ-UHFFFAOYSA-N,2.0,0.35,1.0120454152300165,test
ROFVEXUMMXZLPA-UHFFFAOYSA-N,2.6999999999999997,2.861883189875,3.1840094166667376,train
ROFVEXUMMXZLPA-UHFFFAOYSA-N,10.0,2.232921785,2.6746027732230044,train
BWZVCCNYKMEVEX-UHFFFAOYSA-N,2.7,3.37,3.6343264905545807,test
IAHOUQOWMXVMEH-UHFFFAOYSA-N,2.7,1.11,0.9692291645360398,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,1.9,1.06,1.0609395226921994,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,6.5,-0.16,-0.15982591771179777,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,7.0,0.75,-0.021964889595074588,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,2.8200000000000003,-0.08536185399999996,0.022078137253048524,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,1.9,0.63,0.8273927535216208,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,4.01,-0.6605475634,-0.5081741617284248,train
