INCHIKEY,pH_aq,IE,IE_hat_fp,class_fp
KIEQPXTUHQNADD-UHFFFAOYSA-N,2.7,5.18,4.767629568440111,train
KTUBSXMBPVHJQY-INIZCTEOSA-N,2.7,2.26,2.10264088892791,test
JQKHNBQZGUKYPX-UHFFFAOYSA-N,2.7,5.59,2.9724097657638286,test
DGEZNRSVGBDHLK-UHFFFAOYSA-N,2.7687500000000003,1.80170499,2.295573247437423,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,10.699999999999998,3.0,2.9547844348283734,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,2.0,2.9,2.6757549591538226,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,7.833333333333333,3.56,2.9408139208854265,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,6.767999999999999,2.82,2.7324904459777044,train
DGEZNRSVGBDHLK-UHFFFAOYSA-N,5.613333333333333,2.27,2.6019787153143032,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.184965664932769,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,3.914166666666667,1.336956427,1.6902120244280887,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,6.022857142857143,1.62,1.7164899294871532,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.8244000000000007,1.35,1.6122367566870675,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,7.987500000000001,1.08,1.7700641720455774,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,9.24,2.401941938,2.1519051971574497,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,6.794999999999999,1.56,1.6052453550468155,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,10.015,2.6,2.23353638954448,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.193333333333334,2.68,2.4749587560746202,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,5.09875,1.582842848,1.7068297890616053,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,1.42,3.550195098,3.3025875007321543,train
RUFPHBVGCFYCNW-UHFFFAOYSA-N,12.24,2.828358322,2.5657303000356633,train
ABBAPQUJOVTVPJ-UHFFFAOYSA-N,2.95,0.09,0.5430214075479118,test
ABBAPQUJOVTVPJ-UHFFFAOYSA-N,2.0,0.1,0.22336277878635835,test
ROFVEXUMMXZLPA-UHFFFAOYSA-N,2.6999999999999997,2.221201337,2.785833798887934,train
ROFVEXUMMXZLPA-UHFFFAOYSA-N,10.0,2.232921785,2.4813189206772233,train
BWZVCCNYKMEVEX-UHFFFAOYSA-N,2.7,2.81,3.41668421926457,test
IAHOUQOWMXVMEH-UHFFFAOYSA-N,2.7,1.11,1.0286107940446276,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,1.9,1.06,1.0134023943570578,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,6.5,-0.16,-0.15328576145265416,train
IAHOUQOWMXVMEH-UHFFFAOYSA-N,7.0,0.75,0.08696761194936231,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,2.8200000000000003,-1.15,-1.0141413580614875,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,1.9,0.08,0.33973702934020844,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,4.01,-1.202737817,-1.0818500848423134,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,5.01,-1.22,-1.018228317639724,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,6.0200000000000005,-1.3,-0.997969724355698,train
LXQOQPGNCGEELI-UHFFFAOYSA-N,7.0,-0.74,-0.6273013433033712,train
UHUCLRKNQALDRP-UHFFFAOYSA-N,2.7,5.52,5.23055267162133,train
SICWDJGRPKJYSF-UHFFFAOYSA-N,2.7750000000000004,4.730864117,3.139879775643518,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,1.9,4.29,4.064684538861702,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,4.01,4.294659104,3.2488715379979016,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,5.01,4.415062742,3.2845339040724624,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,6.0225,4.64,3.3519039555520433,test
SICWDJGRPKJYSF-UHFFFAOYSA-N,7.0,4.45,3.5126501628928537,test
VHNQIURBCCNWDN-UHFFFAOYSA-N,3.8183333333333334,3.751175521,2.8913219627133393,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,6.0777777777777775,2.53,2.850402765179057,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,2.9509999999999996,2.707388584,2.878503929188505,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,7.987500000000001,3.0,2.9586759304291776,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,9.24,3.741341983,3.267096593604632,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,6.754,2.85,2.8304965619734537,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,10.1475,3.379633617,3.2443876457735255,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,2.193333333333334,2.77,3.20973572733818,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,5.1875,3.667505924,2.9239788284092203,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,1.42,3.528191554,3.751220384050824,train
VHNQIURBCCNWDN-UHFFFAOYSA-N,12.24,3.515534716,3.645603406059829,train
IBTGEEMBZJBBSH-UHFFFAOYSA-N,2.7,1.12,3.045383997808328,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,2.8200000000000003,1.72,2.484575924539625,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,1.9,2.86,3.304198193127503,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,4.01,1.62,2.574799780610511,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,5.01,1.475648995,2.5801594345580723,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,6.0200000000000005,1.61,2.468139591668358,test
OISVCGZHLKNMSJ-UHFFFAOYSA-N,7.0,1.45,2.431729288679582,test
UJRRDDHEMZLWFI-UHFFFAOYSA-N,2.7,0.05,0.3549174646761881,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,10.7,0.38,0.5249542543436445,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,6.785,-0.08,0.2050796647497446,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,5.52,0.52,0.28205531804157635,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,7.8,1.15,0.6100149934508778,train
UJRRDDHEMZLWFI-UHFFFAOYSA-N,2.0,0.03,-0.009243673347655967,train
