iter	RMSE
0	1.039021014
1	1.024087555
2	1.008861015
3	0.9930504591
4	0.9786210577
5	0.9647067114
6	0.9521961539
7	0.9400877179
8	0.9289755766
9	0.9172801351
10	0.9060810904
11	0.8961157207
12	0.8842933402
13	0.8745362125
14	0.8651241007
15	0.8550723967
16	0.8463566324
17	0.8363066724
18	0.8286049272
19	0.8200454293
20	0.8127081163
21	0.8049490514
22	0.7971080697
23	0.7896801601
24	0.7827657677
25	0.7751646173
26	0.7674242753
27	0.7603349304
28	0.7546166261
29	0.7476401993
30	0.7426271384
31	0.7360782052
32	0.7302987703
33	0.7250027881
34	0.7196677747
35	0.7147610255
36	0.709854775
37	0.7040279491
38	0.6988097621
39	0.6940294941
40	0.6891697525
41	0.6851971303
42	0.6811533062
43	0.6774433943
44	0.6734967953
45	0.6697502262
46	0.6659232309
47	0.6619579678
48	0.6580979646
49	0.6547827297
50	0.6515451498
51	0.6481764145
52	0.6453649138
53	0.6418244233
54	0.6388992184
55	0.636059852
56	0.6334451453
57	0.6307860304
58	0.6282267245
59	0.6255685029
60	0.6225729742
61	0.6194585325
62	0.6176054716
63	0.6152990512
64	0.6130596901
65	0.6110200636
66	0.6091532257
67	0.6073926391
68	0.6052566208
69	0.603315736
70	0.6012034474
71	0.5994944079
72	0.5977827643
73	0.595519441
74	0.5938161162
75	0.592502644
76	0.5907881915
77	0.5893283713
78	0.5877195469
79	0.586357708
80	0.5852166619
81	0.5841527691
82	0.5827190192
83	0.5814567082
84	0.5803042407
85	0.5791209522
86	0.578063733
87	0.5768315781
88	0.5758884118
89	0.5747275878
90	0.5737038798
91	0.5724454851
92	0.5711680072
93	0.5703508905
94	0.5691171513
95	0.5682972939
96	0.5675616882
97	0.5669108713
98	0.5655824501
99	0.5644485493
