iter	Passed	Remaining
0	15	9093
1	31	9460
2	45	9035
3	57	8589
4	70	8386
5	83	8250
6	97	8270
7	111	8265
8	123	8131
9	137	8083
10	149	8030
11	161	7897
12	173	7823
13	186	7804
14	197	7718
15	211	7711
16	224	7713
17	240	7760
18	251	7702
19	264	7665
20	277	7655
21	293	7720
22	308	7740
23	323	7763
24	337	7756
25	349	7721
26	363	7712
27	375	7666
28	385	7586
29	396	7541
30	410	7525
31	422	7495
32	434	7461
33	444	7399
34	456	7371
35	468	7344
36	479	7301
37	490	7259
38	501	7210
39	511	7166
40	523	7136
41	530	7053
42	543	7036
43	554	7000
44	565	6972
45	572	6892
46	581	6843
47	592	6815
48	604	6800
49	612	6740
50	619	6664
51	628	6620
52	632	6527
53	642	6501
54	654	6484
55	667	6484
56	676	6444
57	687	6428
58	699	6414
59	709	6387
60	719	6361
61	726	6300
62	735	6265
63	741	6206
64	748	6163
65	755	6113
66	764	6081
67	772	6046
68	779	6000
69	790	5988
70	801	5968
71	812	5957
72	824	5952
73	833	5921
74	838	5869
75	847	5840
76	854	5804
77	865	5789
78	877	5789
79	886	5760
80	890	5703
81	900	5691
82	911	5674
83	922	5667
84	933	5657
85	938	5608
86	950	5606
87	962	5598
88	973	5588
89	986	5590
90	993	5559
91	1002	5534
92	1009	5505
93	1022	5505
94	1033	5493
95	1042	5472
96	1048	5439
97	1055	5405
98	1062	5375
99	1071	5358
100	1083	5350
101	1092	5331
102	1097	5297
103	1101	5254
104	1112	5244
105	1118	5213
106	1122	5171
107	1133	5162
108	1142	5146
109	1155	5146
110	1166	5139
111	1179	5138
112	1188	5122
113	1194	5091
114	1197	5051
115	1208	5044
116	1221	5043
117	1235	5044
118	1247	5041
119	1253	5013
120	1258	4981
121	1267	4965
122	1280	4965
123	1287	4942
124	1291	4907
125	1299	4887
126	1309	4876
127	1315	4852
128	1322	4827
129	1327	4800
130	1333	4773
131	1340	4751
132	1348	4734
133	1355	4713
134	1359	4681
135	1366	4663
136	1379	4661
137	1389	4651
138	1397	4633
139	1410	4635
140	1425	4639
141	1438	4638
142	1445	4620
143	1457	4613
144	1470	4613
145	1477	4593
146	1487	4583
147	1490	4552
148	1497	4531
149	1510	4531
150	1516	4507
151	1528	4504
152	1537	4491
153	1550	4489
154	1560	4480
155	1569	4465
156	1574	4441
157	1579	4417
158	1587	4404
159	1599	4398
160	1608	4385
161	1622	4385
162	1630	4371
163	1634	4346
164	1643	4331
165	1647	4307
166	1657	4297
167	1668	4289
168	1682	4290
169	1694	4284
170	1699	4262
171	1710	4257
172	1718	4242
173	1730	4235
174	1741	4228
175	1748	4212
176	1755	4194
177	1762	4179
178	1770	4165
179	1781	4157
180	1794	4152
181	1799	4132
182	1804	4112
183	1811	4096
184	1823	4090
185	1830	4075
186	1842	4070
187	1850	4054
188	1864	4054
189	1872	4041
190	1882	4031
191	1889	4015
192	1901	4009
193	1909	3996
194	1917	3982
195	1922	3963
196	1934	3956
197	1941	3941
198	1955	3939
199	1965	3931
200	1973	3916
201	1978	3898
202	1989	3891
203	2000	3883
204	2014	3881
205	2028	3878
206	2039	3871
207	2047	3858
208	2056	3847
209	2062	3830
210	2070	3816
211	2081	3809
212	2093	3804
213	2101	3790
214	2109	3778
215	2119	3767
216	2129	3758
217	2142	3754
218	2146	3734
219	2155	3723
220	2162	3707
221	2170	3696
222	2183	3691
223	2193	3682
224	2198	3663
225	2202	3645
226	2210	3632
227	2222	3626
228	2228	3610
229	2236	3598
230	2246	3588
231	2254	3575
232	2264	3566
233	2268	3547
234	2276	3535
235	2290	3533
236	2298	3520
237	2305	3507
238	2319	3503
239	2325	3488
240	2334	3476
241	2343	3467
242	2355	3460
243	2367	3454
244	2372	3438
245	2383	3429
246	2394	3422
247	2401	3409
248	2414	3402
249	2425	3396
250	2434	3384
251	2444	3375
252	2452	3363
253	2461	3353
254	2465	3335
255	2470	3320
256	2483	3315
257	2489	3299
258	2498	3290
259	2503	3273
260	2514	3266
261	2523	3255
262	2536	3249
263	2548	3242
264	2556	3231
265	2567	3223
266	2572	3208
267	2579	3195
268	2587	3183
269	2596	3173
270	2603	3160
271	2606	3143
272	2617	3135
273	2631	3130
274	2643	3124
275	2649	3110
276	2662	3104
277	2669	3091
278	2674	3076
279	2679	3062
280	2687	3050
281	2700	3044
282	2711	3037
283	2724	3031
284	2733	3021
285	2745	3014
286	2756	3005
287	2766	2997
288	2771	2982
289	2783	2975
290	2789	2962
291	2801	2955
292	2809	2943
293	2814	2929
294	2825	2921
295	2835	2912
296	2845	2902
297	2855	2894
298	2861	2880
299	2874	2874
300	2880	2861
301	2890	2852
302	2898	2840
303	2908	2831
304	2919	2823
305	2928	2813
306	2939	2805
307	2948	2795
308	2955	2783
309	2964	2773
310	2970	2760
311	2979	2750
312	2985	2737
313	2993	2726
314	3003	2717
315	3010	2705
316	3023	2699
317	3030	2687
318	3039	2677
319	3045	2664
320	3055	2655
321	3062	2644
322	3069	2632
323	3079	2623
324	3087	2612
325	3091	2598
326	3100	2588
327	3105	2575
328	3116	2566
329	3125	2557
330	3134	2547
331	3144	2538
332	3152	2527
333	3163	2519
334	3174	2511
335	3185	2503
336	3190	2490
337	3203	2483
338	3214	2474
339	3220	2462
340	3228	2452
341	3237	2441
342	3244	2431
343	3256	2423
344	3262	2411
345	3268	2399
346	3279	2390
347	3288	2381
348	3299	2372
349	3314	2367
350	3321	2356
351	3331	2347
352	3337	2335
353	3349	2327
354	3354	2314
355	3357	2301
356	3367	2291
357	3373	2280
358	3382	2270
359	3390	2260
360	3402	2252
361	3409	2241
362	3418	2231
363	3428	2223
364	3439	2214
