SMILES;pH_aq;name;logIE;instrument;source;solvent;doi
CC[N+](CC)(CC)CC;3.7;tetraethylammonium;4.16;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
CN(C)c1ccccc1;3.7;N,N-dimethylaniline;1.94;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;3.7;4-methoxy-N,N-dimethylaniline;3.89;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
c1ccc2ncccc2c1;3.7;quinoline;2.82;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
Nc1cccc(N)n1;3.7;2,6-diaminopyridine;3.8;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;3.7;4-aminobenzoic acid;3.12;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
Nc1cccc2ccccc12;3.7;1-naphthylamine;3.54;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
NC(CO)(CO)CO;3.7;trizma base;2.89;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
Nc1ccccc1O;3.7;2-aminophenol;3.65;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
COc1ccc(N)cc1;3.7;4-methoxyaniline;3.87;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;3.7;8-aminoquinaldine;3.84;Agilent 3Q;JetStream;0.1 mM formic acid;10.1002/slct.201702269
CC[N+](CC)(CC)CC;2.7;tetraethylammonium;3.51;Agilent XCT;ESI;0.1% formic acid;Measured in this study
Clc1ccccc1N=P(N=P(N1CCCC1)(N1CCCC1)N1CCCC1)(N1CCCC1)N1CCCC1;2.7;1,1,1,3,3-Pentapyrrolizino-4-(2-chlorophenyl)-1,3-diphospha(V)-2,4-diaza-1,3-butadiene;3.81;Agilent XCT;ESI;0.1% formic acid;Measured in this study
FC(F)(F)c1ccc(N=P(N2CCCC2)(N2CCCC2)N2CCCC2)cc1;2.7;N-[4-(Trifluoromethyl)phenyl]-P,P,P-tripyrrolizinophosphazene;3.75;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CCC[N+](CCC)(CCC)CCC;2.7;tetrapropylammonium;3.3;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CCCN(CCC)CCC;2.7;tripropylamine;3.41;Agilent XCT;ESI;0.1% formic acid;Measured in this study
c1ccncc1;2.7;pyridine;2.47;Agilent XCT;ESI;0.1% formic acid;Measured in this study
C1CCNC1;2.7;pyrrolidine;2.4;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CCNCC;2.7;diethylamine;2.53;Agilent XCT;ESI;0.1% formic acid;Measured in this study
COc1cccc(c1)N(C)C;2.7;3-methoxy-N,N-dimethylaniline;3.4;Agilent XCT;ESI;0.1% formic acid;Measured in this study
Nc1ccccn1;2.7;2-aminopyridine;1.94;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CN(C)c1ccc(cc1)N(C)C;2.7;N,N,N',N'-Tetramethyl-P-phenylenediamine;2.55;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6;2.7;reserpine;3.27;Agilent XCT;ESI;0.1% formic acid;Measured in this study
N[C@@H](CCC(N)=O)C(O)=O;2.7;glutamine;1.33;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CC(N)C(=O)O;2.7;alpha-alanine;1.35;Agilent XCT;ESI;0.1% formic acid;Measured in this study
NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O;2.7;DL-phenylalanyl-DL-phenylalanyl-DL-phenylalanyl-DL-phenylalanine;3.96;Agilent XCT;ESI;0.1% formic acid;Measured in this study
c1cnc2c(c1)ccc3cccnc23;2.7;1,10-phenanthroline;2.72;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CN(C)c1ccc(N=Nc2ccc(N=P(c3ccccc3)(c3ccccc3)N3CCCC3)cc2)cc1;2.7;N,N-Dimethyl-4'-[(pyrrolizinodiphenylphosphoranylidene)amino]azobenzene-4-amine;2.38;Agilent XCT;ESI;0.1% formic acid;Measured in this study
O=[N+]([O-])c1ccc(N=Nc2ccc(N=P(c3ccccc3)(N3CCCC3)N3CCCC3)cc2)cc1;2.7;4-[(Phenyldipyrrolizinophosphoranylidene)amino]-4'-nitroazobenzene;3.25;Agilent XCT;ESI;0.1% formic acid;Measured in this study
COc1cccc(O)c1O;2.7;3-methoxycatechol;0.77;Agilent XCT;ESI;0.1% formic acid;Measured in this study
COc1ccncc1;2.7;4-methoxypyridine;2.82;Agilent XCT;ESI;0.1% formic acid;Measured in this study
OC(=O)c1ccccc1C(O)=O;2.7;phthalic acid;1.11;Agilent XCT;ESI;0.1% formic acid;Measured in this study
Nc1ccc(O)cc1;2.7;4-aminophenol;1.9;Agilent XCT;ESI;0.1% formic acid;Measured in this study
[nH]1ncc2ccccc12;2.7;indazole;2.37;Agilent XCT;ESI;0.1% formic acid;Measured in this study
